Mi	Mi	DP1CSS	mi
Padre	padre	NP00000	padre
fray	fray	NP00000	fray
Alonsso	Alonso	NP00000	alonso
de	de	SPS00	de
Puga	Puga	NP00000	puga
y	y	CC	y
Parzero	Parcero	NP00000	parcero
	.	Fp	.
mucha	Mucha	DI0FS0	mucho
falta	falta	NCFS000	falta
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
el	el	DA0MS0	el
no	no	RN	no
Poder	poder	VMN0000	poder
ejecutar	ejecutar	VMN0000	ejecutar
Joseph	José	NP00000	josé
guillen	Guillén	NP00000	guillén
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
tanto	tanto	RC	tanto
le	le	PP3CSD00	le
encargue	encargué	VMIS1S0	encargar
,	,	Fc	,
Por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
imPortaba	importaba	VMII0S0	importar
;	,	Fc	,
y	y	CC	y
me	me	PP1CS000	me
quede	quedé	VMIS1S0	quedar
aun	aún	RG	aun
Con	con	SPS00	con
mayor	mayor	AQ0CS0	mayor
Cuidado	cuidado	NCMS000	cuidado
;	,	Fc	,
Pues	pues	CS	pues
no	no	RN	no
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
ninguna	ninguna	DI0FS0	ninguno
notizia	noticia	NCFS000	noticia
d	de	SPS00	de
el	él	PP3MS000	él
	.	Fp	.
y	Y	CC	y
abiendo	habiendo	VAG0000	haber
Podido	podido	VMP0000	poder
estar	estar	VMN0000	estar
con	con	SPS00	con
Vm	VM	NP00000	VM
,	,	Fc	,
suPiera	supiera	VMSI0S0	saber
yo	yo	PP1CSN00	yo
estaba	estaba	VMII0S0	estar
con	con	SPS00	con
salud	salud	NCFS000	salud
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
Prinzipal	principal	AQ0CS0	principal
;	.	Fp	.
la	La	DA0FS0	el
mia	mía	PX1FS0S0	mío
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
algo	algo	RQ	algo
meJorada	mejorada	VMP00SF	mejorar
y	y	CC	y
Para	para	SPS00	para
servir	servir	VMN0000	servir
a	a	SPS00	a
Vm	VM	NP00000	VM
Con	con	SPS00	con
muy	muy	RQ	muy
segura	segura	AQ0FS0	seguro
boluntad	voluntad	NCFS000	voluntad
	.	Fp	.
abiendo	Habiendo	VAG0000	haber
aPretado	apretado	VMP0000	apretar
demaziado	demasiado	RG	demasiado
la	la	DA0FS0	el
nezezidad	necesidad	NCFS000	necesidad
y	y	CC	y
Con	con	SPS00	con
unas	unas	DI0FP0	uno
