Muy	Muy	RQ	muy
Sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	,	Fc	,
Las	las	DA0FP0	el
Religiosas	religiosas	NCFP000	religioso
de	de	SPS00	de
Me	Madre	NP00000	madre
de	de	SPS00	de
Dios	Dios	NP00000	dios
han	han	VAIP3P0	haber
pedido	pedido	VMP0000	pedir
al	al	SPS00+DA0MS0	a+el
Arpo	arzobispo	NCMS000	arzobispo
Obpo	obispo	NCMS000	obispo
mi	mi	DP1CSS	mi
Sr	señor	NP00000	señor
qe	que	CS	que
dé	dé	VMSP0S0	dar
providencia	providencia	NCFS000	providencia
para	para	SPS00	para
la	la	DA0FS0	el
satisfaccion	satisfacción	NCFS000	satisfacción
de	de	SPS00	de
los	los	DA0MP0	el
alimentos	alimentos	NCMP000	alimento
y	y	CC	y
piso	piso	NCMS000	piso
de	de	SPS00	de
las	las	DA0FP0	el
dos	dos	Z	2
sras	señoras	NCFP000	señor
Corvarí	Corbarí	RG	corbarí
,	.	Fp	.
y	Y	CC	y
se	se	P00CN000	se
les	les	PP3CPD00	le
ha	ha	VAIP3S0	haber
respondido	respondido	VMP0000	responder
qe	que	CS	que
Vm	VM	NP00000	VM
los	los	PP3MPA00	lo
entregara	entregará	VMIF3S0	entregar
,	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
S	su	DP3CS0	su
S	señor	NP00000	señor
decir	decir	VMN0000	decir
a	a	SPS00	a
Vm	VM	NP00000	VM
qe	que	CS	que
se	se	P00CN000	se
sirva	sirva	VMSP0S0	servir
dar	dar	VMN0000	dar
providencia	providencia	NCFS000	providencia
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
los	los	DA0MP0	el
referidos	referidos	NCMP000	referido
alimentos	alimentos	NCMP000	alimento
y	y	CC	y
piso	piso	NCMS000	piso
como	como	CS	como
lo	lo	PP3CNA00	lo
tiene	tiene	VMIP3S0	tener
comunicado	comunicado	VMP0000	comunicar
con	con	SPS00	con
Vmd	VM	NP00000	VM
su	su	DP3CS0	su
Illma	ilustrísima	AQSFS0	ilustre
.	.	Fp	.
Y	Y	CC	y
quedo	quedo	VMIP1S0	quedar
con	con	SPS00	con
segura	segura	AQ0FS0	seguro
voluntad	voluntad	NCFS000	voluntad
a	a	SPS00	a
la	la	DA0FS0	el
obediencia	obediencia	NCFS000	obediencia
de	de	SPS00	de
Vm	VM	NP00000	VM
,	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
ruego	ruego	VMIP1S0	rogar
a	a	SPS00	a
Nro	Nuestro	DP1MSP	nuestro
Sor	Señor	NP00000	señor
ge	guarde	VMSP0S0	guardar
â	a	SPS00	a
vm	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Murcia	Murcia	NP00000	murcia
	,	Fc	,
y	y	CC	y
Febrero	febrero	NCMS000	febrero
8	8	Z	8
de	de	SPS00	de
1733	1733	Z	1733
.	.	Fp	.
B	Besa	VMIP3S0	besar
L	las	DA0FP0	el
m	manos	NCFP000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
Su	su	DP3CS0	su
mor	mayor	AQ0CS0	mayor
seror	servidor	NCMS000	servidor
	,	Fc	,
amo	amigo	NP00000	amigo
y	y	CC	y
cappn	capellán	NCMS000	capellán
	,	Fc	,
D	don	NP00000	don
Franco	Francisco	NP00000	francisco
García	García	NP00000	garcía
de	de	SPS00	de
Avila	Ávila	NP00000	ávila
Sr	Señor	NP00000	señor
Dn	don	NP00000	don
Joseph	José	NP00000	josé
Navarro	Navarro	NP00000	navarro
	.	Fp	.
