yllmo	Ilustrísimo	AQSMS0	ilustre
señor	señor	NP00000	señor
y	y	CC	y
mui	muy	RQ	muy
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	.	Fp	.
e	He	VAIP1S0	haber
leido	leído	VMP0000	leer
la	la	DA0FS0	el
apreziavle	apreciable	AQ0CS0	apreciable
de	de	SPS00	de
vueseñoria	vueseñoría	NP00000	vueseñoría
drijida	dirigida	VMP00SF	dirigir
al	al	SPS00+DA0MS0	a+el
padre	padre	NCMS000	padre
cura	cura	NCMS000	cura
de	de	SPS00	de
la	la	DA0FS0	el
parroquial	parroquial	AQ0CS0	parroquial
casttrense	castrense	AQ0CS0	castrense
de	de	SPS00	de
esta	esta	DD0FS0	este
plaza	plaza	NCFS000	plaza
sittuada	situada	VMP00SF	situar
en	en	SPS00	en
el	el	DA0MS0	el
rreal	Real	NP00000	real
ospital	Hospital	NP00000	hospital
de	de	SPS00	de
ella	ella	PP3FS000	él
	(	Fba	(
su	su	DP3CS0	su
fecha	fecha	NCFS000	fecha
en	en	SPS00	en
la	la	DA0FS0	el
ziuda	ciudad	NCFS000	ciudad
de	de	SPS00	de
la	La	DA0FS0	el
guarda	Guarda	NCFS000	guarda
a	a	SPS00	a
veinte	veinte	Z	20
y	y	CC	y
quatro	cuatro	Z	4
dias	días	NCMP000	día
de	de	SPS00	de
el	el	DA0MS0	el
mes	mes	NCMS000	mes
de	de	SPS00	de
noviemvre	noviembre	NCMS000	noviembre
proxsimo	próximo	AQ0MS0	próximo
pasado	pasado	NCMS000	pasado
;	)	Fbt	)
	,	Fc	,
cuio	cuyo	PU0MS000	cuyo
contenido	contenido	NCMS000	contenido
	,	Fc	,
a	a	SPS00	a
el	el	DA0MS0	el
paso	paso	NCMS000	paso
que	que	PR0CN000	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
llenado	llenado	VMP0000	llenar
de	de	SPS00	de
gozo	gozo	NCMS000	gozo
por	por	SPS00	por
ver	ver	VMN0000	ver
en	en	SPS00	en
ella	ella	PP3FS000	él
q	que	CS	que
v	vuestra	DP2FSP	vuestro
señoria	señoría	NP00000	señoría
goza	goza	VMIP3S0	gozar
de	de	SPS00	de
entera	entera	AQ0FS0	entero
