Muy	Muy	RQ	muy
sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
Deseo	Deseo	VMIP1S0	desear
qe	que	CS	que
Vm	VM	NP00000	VM
disfrute	disfrute	VMSP0S0	disfrutar
la	la	DA0FS0	el
mejor	mejor	AQ0CS0	mejor
salud	salud	NCFS000	salud
en	en	SPS00	en
compa	compañía	NCFS000	compañía
del	del	SPS00+DA0MS0	de+el
sor	señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Manl	Manuel	NP00000	manuel
su	su	DP3CS0	su
Hijo	hijo	NCMS000	hijo
(	(	Fba	(
C	cuyas	PU0FP000	cuyo
M	manos	NCFP000	mano
B	beso	VMIP1S0	besar
)	)	Fbt	)
y	y	CC	y
qe	que	CS	que
egercite	ejercite	VMSP0S0	ejercitar
la	la	DA0FS0	el
qe	que	PR0CN000	que
igualmte	igualmente	RG	igualmente
disfruto	disfruto	VMIP1S0	disfrutar
en	en	SPS00	en
qto	cuanto	PA000000	cuanto
sea	sea	VSSP0S0	ser
de	de	SPS00	de
su	su	DP3CS0	su
agrado	agrado	NCMS000	agrado
.	.	Fp	.
Noticio	Noticio	VMIP1S0	noticiar
a	a	SPS00	a
Vm	VM	NP00000	VM
como	como	CS	como
en	en	SPS00	en
este	este	DD0MS0	este
Correo	correo	NCMS000	correo
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
librado	librado	VMP0000	librar
Dn	don	NP00000	don
Geronimo	Gerónimo	NP00000	gerónimo
Belloni	Belloni	NP00000	belloni
de	de	SPS00	de
Roma	Roma	NP00000	roma
pr	por	SPS00	por
qta	cuenta	NCFS000	cuenta
de	de	SPS00	de
Vm	VM	NP00000	VM
una	una	DI0FS0	uno
Lra	letra	NCFS000	letra
de	de	SPS00	de
Rs	reales	NCMP000	real
1U	1000	Z	1000
y	y	CC	y
20	20	Z	20
mrs	maravedís	NCMP000	maravedí
	(	Fba	(
pta	peseta	NCFS000	peseta
vieja	vieja	AQ0FS0	viejo
	)	Fbt	)
de	de	SPS00	de
a	a	SPS00	a
16	16	Z	16
qtos	cuartos	NCMP000	cuarto
cada	cada	DI0CN0	cada
uno	uno	PI0MS000	uno
a	a	SPS00	a
favor	favor	NCMS000	favor
de	de	SPS00	de
Dn	don	NP00000	don
Carlos	Carlos	NP00000	carlos
Ma	María	NP00000	maría
Marracci	Marracci	NP00000	marracci
,	,	Fc	,
qe	que	PR0CN000	que
vale	vale	VMIP3S0	valer
Rs	reales	NCMP000	real
1U883	1883	Z	1883
16/m	16/m	Z	16/m
de	de	SPS00	de
vn	vellón	NCMS000	vellón
en	en	SPS00	en
pta	peseta	NCFS000	peseta
	,	Fc	,
que	que	PR0CN000	que
con	con	SPS00	con
6	6	Z	6
Rs	reales	NCMP000	real
del	del	SPS00+DA0MS0	de+el
porte	porte	NCMS000	porte
de	de	SPS00	de
la	la	DA0FS0	el
Carta	carta	NCFS000	carta
importa	importa	VMIP3S0	importar
todo	todo	PI0MS000	todo
Rs	reales	NCMP000	real
1U889	1889	Z	1889
16/m	16/m	Z	16/m
vn	vellón	NCMS000	vellón
	,	Fc	,
de	de	SPS00	de
cuya	cuya	PU0FS000	cuyo
cantd	cantidad	NCFS000	cantidad
se	se	P00CN000	se
servira	servirá	VMIF3S0	servir
Vm	VM	NP00000	VM
embiarme	enviarme	VMN0000+PP1CS000	enviar+me
Lra	letra	NCFS000	letra
para	para	SPS00	para
mi	mi	DP1CSS	mi
reembolso	reembolso	NCMS000	reembolso
.	.	Fp	.
En	En	SPS00	en
7	7	Z	7
de	de	SPS00	de
Julio	julio	NCMS000	julio
pasado	pasado	VMP00SM	pasar
remiti	remití	VMIS1S0	remitir
a	a	SPS00	a
Vm	VM	NP00000	VM
un	un	DI0MS0	uno
Despo	despacho	NCMS000	despacho
del	del	SPS00+DA0MS0	de+el
sor	señor	NP00000	señor
Presidente	presidente	NP00000	presidente
de	de	SPS00	de
Mesta	Mesta	NP00000	mesta
para	para	SPS00	para
que	que	CS	que
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
de	de	SPS00	de
Quadrilla	Cuadrilla	NP00000	cuadrilla
le	le	PP3CSD00	le
oyese	oyese	VMSI0S0	oír
brebemte	brevemente	RG	brevemente
en	en	SPS00	en
Justa	justicia	NCFS000	justicia
en	en	SPS00	en
el	el	DA0MS0	el
pleito	pleito	NCMS000	pleito
con	con	SPS00	con
Dn	don	NP00000	don
Mathias	Matías	NP00000	matías
Baquero	Vaquero	NP00000	vaquero
sre	sobre	SPS00	sobre
los	los	DA0MP0	el
Pastos	pastos	NCMP000	pasto
de	de	SPS00	de
Torrepaderne	Torrepaderne	NP00000	torrepaderne
,	,	Fc	,
cuyo	cuyo	PU0MS000	cuyo
coste	coste	NCMS000	coste
fue	fue	VSIS3S0	ser
de	de	SPS00	de
51	51	Z	51
Rs	reales	NCMP000	real
Vn	vellón	NCMS000	vellón
(	(	Fba	(
sin	sin	SPS00	sin
haver	haber	VAN0000	haber
llebado	llevado	VMP0000	llevar
dros	derechos	NCMP000	derecho
de	de	SPS00	de
dar	dar	VMN0000	dar
qta	cuenta	NCFS000	cuenta
y	y	CC	y
de	de	SPS00	de
dho	dicho	VMP00SM	decir
Despo	despacho	NCMS000	despacho
el	el	DA0MS0	el
ssno	escribano	NCMS000	escribano
Dn	don	NP00000	don
Alexdro	Alejandro	NP00000	alejandro
Artaza	Artaza	NP00000	artaza
)	)	Fbt	)
	,	Fc	,
los	los	DA0MP0	el
que	que	PR0CN000	que
podra	podrá	VMIF3S0	poder
Vm	VM	NP00000	VM
incluir	incluir	VMN0000	incluir
en	en	SPS00	en
la	la	DA0FS0	el
Lra	letra	NCFS000	letra
qe	que	PR0CN000	que
me	me	PP1CS000	me
remita	remita	VMSP0S0	remitir
,	.	Fp	.
y	Y	CC	y
ademas	además	RG	además
lo	lo	DA0NS0	el
que	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
servido	servido	VMP00SM	servir
considerar	considerar	VMN0000	considerar
por	por	SPS00	por
razon	razón	NCFS000	razón
de	de	SPS00	de
la	la	DA0FS0	el
asistencia	asistencia	NCFS000	asistencia
a	a	SPS00	a
sus	sus	DP3CP0	su
dependas	dependencias	NCFP000	dependencia
desde	desde	SPS00	desde
el	el	DA0MS0	el
año	año	NCMS000	año
de	de	SPS00	de
1749	1749	Z	1749
y	y	CC	y
por	por	SPS00	por
los	los	DA0MP0	el
portes	portes	NCMP000	porte
de	de	SPS00	de
Cartas	cartas	NCFP000	carta
,	,	Fc	,
pues	pues	CS	pues
hasta	hasta	SPS00	hasta
aora	ahora	RG	ahora
no	no	RN	no
he	he	VAIP1S0	haber
cargado	cargado	VMP0000	cargar
a	a	SPS00	a
Vm	VM	NP00000	VM
cosa	cosa	NCFS000	cosa
algna	alguna	DI0FS0	alguno
pr	por	SPS00	por
estos	estos	DD0MP0	este
respetos	respetos	NCMP000	respeto
,	.	Fp	.
y	Y	CC	y
desdo	deseando	VMG0000	desear
qe	que	CS	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
facilite	facilite	VMSP0S0	facilitar
muchas	muchas	DI0FP0	mucho
ocasnes	ocasiones	NCFP000	ocasión
en	en	SPS00	en
qe	que	PR0CN000	que
servirle	servirle	VMN0000+PP3CSA00	servir+le
,	,	Fc	,
quedo	quedo	VMIP1S0	quedar
rogdo	rogando	VMG0000	rogar
a	a	SPS00	a
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
ge	guarde	VMSP0S0	guardar
su	su	DP3CS0	su
Vida	vida	NCFS000	vida
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Madrid	Madrid	NP00000	madrid
	,	Fc	,
31	31	Z	31
de	de	SPS00	de
enro	enero	NCMS000	enero
de	de	SPS00	de
1752	1752	Z	1752
	.	Fp	.
B	Besa	VMIP3S0	besar
l	las	DA0FP0	el
ms	manos	NCFP000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
su	su	DP3CS0	su
mr	mayor	AQ0CS0	mayor
y	y	CC	y
ms	más	RC	más
segro	seguro	AQ0MS0	seguro
sr	servidor	NCMS000	servidor
	,	Fc	,
Tomas	Tomás	NP00000	tomás
de	de	SPS00	de
la	la	DA0FS0	el
Puente	Puente	NP00000	puente
y	y	CC	y
Velasco	Velasco	NP00000	velasco
sor	Señor	NP00000	señor
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Thome	Tomé	NP00000	tomé
Gonzz	González	NP00000	gonzález
	.	Fp	.
