Mi	Mi	DP1CSS	mi
Padre	padre	NP00000	padre
fray	fray	NP00000	fray
Alonso	Alonso	NP00000	alonso
de	de	SPS00	de
Puga	Puga	NP00000	puga
y	y	CC	y
Parzero	Parcero	NP00000	parcero
;	.	Fp	.
mucho	Mucho	RQ	mucho
deseaba	deseaba	VMII0S0	desear
ber	ver	VMN0000	ver
la	la	DA0FS0	el
Carta	carta	NCFS000	carta
que	que	CS	que
oy	hoy	RG	hoy
Rezibo	recibo	NCMS000	recibo
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
,	,	Fc	,
la	la	DA0FS0	el
cual	cual	PR0CS000	cual
le	le	PP3CSD00	le
estimo	estimo	VMIP1S0	estimar
mucho	mucho	RQ	mucho
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
tenia	tenía	VMII0S0	tener
Con	con	SPS00	con
grandisimo	grandísimo	AQSMS0	grande
Cuidado	cuidado	NCMS000	cuidado
	,	Fc	,
lo	lo	PP3CNA00	lo
Primero	primero	RG	primero
,	,	Fc	,
el	el	DA0MS0	el
saber	saber	VMN0000	saber
de	de	SPS00	de
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
,	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
imPorta	importa	VMIP3S0	importar
	.	Fp	.
y	Y	CC	y
ziento	siento	VMIP1S0	sentir
no	no	RN	no
sea	sea	VSSP0S0	ser
la	la	DA0FS0	el
qe	que	PR0CN000	que
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
deseo	deseo	VMIP1S0	desear
	.	Fp	.
quiera	Quiera	VMSP0S0	querer
dios	Dios	NP00000	dios
mejorarla	mejorarla	VMN0000+PP3FSA00	mejorar+lo
Como	como	CS	como
Puede	puede	VMIP3S0	poder
;	.	Fp	.
y	Y	CC	y
tambien	también	RG	también
Por	por	SPS00	por
saber	saber	VMN0000	saber
donde	dónde	PA000000	dónde
Paraban	paraban	VMII3P0	parar
otras	otras	DI0FP0	otro
dos	dos	Z	2
Cartas	cartas	NCFP000	carta
qe	que	PR0CN000	que
e	he	VAIP1S0	haber
sCrito	escrito	VMP0000	escribir
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
,	,	Fc	,
qe	que	CS	que
le	le	PP3CSD00	le
estimare	estimaré	VMIF1S0	estimar
mucho	mucho	RQ	mucho
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
si	si	CS	si
