Muy	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	.	Fp	.
Aviendo	Habiendo	VAG0000	haber
venido	venido	VMP0000	venir
el	el	DA0MS0	el
Capn	capellán	NCMS000	capellán
de	de	SPS00	de
Vm	VM	NP00000	VM
por	por	SPS00	por
la	la	DA0FS0	el
lista	lista	NCFS000	lista
de	de	SPS00	de
las	las	DA0FP0	el
ajas	ajas	X	X
que	que	PR0CN000	que
piden	piden	VMIP3P0	pedir
se	se	P00CN000	se
les	les	PP3CPD00	le
haga	haga	VMSP0S0	hacer
las	las	DA0FP0	el
sras	señoras	NCFP000	señor
menores	menores	AQ0CP0	menor
de	de	SPS00	de
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Corbarí	Corbarí	NP00000	corbarí
,	,	Fc	,
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
el	el	DA0MS0	el
Arpo	arzobispo	NCMS000	arzobispo
obpo	obispo	NCMS000	obispo
mi	mi	DP1CSS	mi
sr	señor	NCMS000	señor
decir	decir	VMN0000	decir
a	a	SPS00	a
Vm	VM	NP00000	VM
que	que	CS	que
	,	Fc	,
ahora	ahora	RG	ahora
y	y	CC	y
en	en	SPS00	en
adelante	adelante	RG	adelante
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
se	se	P00CN000	se
les	les	PP3CPD00	le
ofrezca	ofrezca	VMSP0S0	ofrecer
,	,	Fc	,
solo	sólo	RG	sólo
se	se	P00CN000	se
ha	ha	VMIP3S0	haber
de	de	SPS00	de
executar	ejecutar	VMN0000	ejecutar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
dispussiere	dispusiere	VMSF0S0	disponer
la	la	DA0FS0	el
sra	señora	NP00000	señor
Da	doña	NP00000	don
Germa	Gerónima	NP00000	gerónima
Corbari	Corbarí	NP00000	corbarí
	,	Fc	,
su	su	DP3CS0	su
tía	tía	NCFS000	tía
,	,	Fc	,
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
participo	participo	VMIP1S0	participar
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
cuya	cuya	PU0FS000	cuyo
oblon	obligación	NCFS000	obligación
quedo	quedo	VMIP1S0	quedar
con	con	SPS00	con
segra	segura	AQ0FS0	seguro
voluntad	voluntad	NCFS000	voluntad
	.	Fp	.
y	Y	CC	y
ruego	ruego	VMIP1S0	rogar
a	a	SPS00	a
Nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
ge	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Murcia	Murcia	NP00000	murcia
	,	Fc	,
y	y	CC	y
Junio	junio	NCMS000	junio
19	19	Z	19
de	de	SPS00	de
1733	1733	Z	1733
	.	Fp	.
B	Besa	VMIP3S0	besar
L	las	DA0FP0	el
m	manos	NCFP000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
Su	su	DP3CS0	su
mor	mayor	AQ0CS0	mayor
seror	servidor	NCMS000	servidor
y	y	CC	y
afecto	afecto	AQ0MSP	afecto
cappn	capellán	NCMS000	capellán
	,	Fc	,
D	don	NP00000	don
Franco	Francisco	NP00000	francisco
García	García	NP00000	garcía
de	de	SPS00	de
Avila	Ávila	NP00000	ávila
Sr	Señor	NP00000	señor
Dn	don	NP00000	don
Franco	Francisco	NP00000	francisco
Lisson	Lisón	NP00000	lisón
	.	Fp	.
