Mui	Muy	RQ	muy
sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
,	,	Fc	,
mi	mi	DP1CSS	mi
Due-ño	dueño	NP00000	dueño
y	y	CC	y
de	de	SPS00	de
mi	mi	DP1CSS	mi
mayor	mayor	AQ0CS0	mayor
Beneracion	veneración	NCFS000	veneración
:	.	Fp	.
No	No	RN	no
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
permitido	permitido	VMP0000	permitir
la	la	DA0FS0	el
cru-eldad	crueldad	NCFS000	crueldad
del	del	SPS00+DA0MS0	de+el
tiempo	tiempo	NCMS000	tiempo
de	de	SPS00	de
Aguas	aguas	NCFP000	agua
y	y	CC	y
Nieves	nieves	NCFP000	nieve
res-ponder	responder	VMN0000	responder
con	con	SPS00	con
la	la	DA0FS0	el
pun-tualidad	puntualidad	NCFS000	puntualidad
que	que	PR0CN000	que
devia	debía	VMII0S0	deber
a	a	SPS00	a
la	la	DA0FS0	el
favorecida	favorecida	VMP00SF	favorecer
y	y	CC	y
esti-mada	estimada	VMP00SF	estimar
de	de	SPS00	de
vm	VM	NP00000	VM
de	de	SPS00	de
27	27	Z	27
de	de	SPS00	de
septre	septiembre	NCMS000	septiembre
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
executo	ejecuto	VMIP1S0	ejecutar
ahora	ahora	RG	ahora
	,	Fc	,
no	no	RN	no
obstante	obstante	RG	obstante
seguir	seguir	VMN0000	seguir
este	éste	PD0MS000	este
todavia	todavía	RG	todavía
con	con	SPS00	con
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
riguridad	riguridad	NCFS000	riguridad
y	y	CC	y
no	no	RN	no
querer	querer	VMN0000	querer
ir	ir	VMN0000	ir
a	a	SPS00	a
Balmaseda	Valmaseda	NP00000	valmaseda
ninguno	ninguno	PI0MS00N	ninguno
por	por	SPS00	por
esta	esta	DD0FS0	este
causa	causa	NCFS000	causa
	;	Fx	;
dandole	dándole	VMG0000+PP3CSD00	dar+le
gracias	gracias	NCFP000	gracia
por	por	SPS00	por
la	la	DA0FS0	el
promptitud	prontitud	NCFS000	prontitud
con	con	SPS00	con
que	que	PR0CN000	que
vm	VM	NP00000	VM
se	se	P00CN000	se
sirvió	sirvió	VMIS3S0	servir
remitirme	remitirme	VMN0000+PP1CS000	remitir+me
la	la	DA0FS0	el
lra	letra	NCFS000	letra
a	a	SPS00	a
la	la	DA0FS0	el
vista	vista	NCFS000	vista
de	de	SPS00	de
los	los	DA0MP0	el
quatrozientos	cuatrocientos	Z	400
rrs	reales	NCMP000	real
de	de	SPS00	de
vn	vellón	NCMS000	vellón
contra	contra	SPS00	contra
el	el	DA0MS0	el
sr	señor	NP00000	señor
dn	don	NP00000	don
Franco	Francisco	NP00000	francisco
Ignazo	Ignacio	NP00000	ignacio
de	de	SPS00	de
la	la	DA0FS0	el
Quintana	Quintana	NP00000	quintana
	,	Fc	,
con	con	SPS00	con
la	la	DA0FS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
acudió	acudió	VMIS3S0	acudir
despues	después	RG	después
de	de	SPS00	de
algunos	algunos	DI0MP0	alguno
dias	días	NCMP000	día
y	y	CC	y
pago	pagó	VMIS3S0	pagar
al	al	SPS00+DA0MS0	a+el
punto	punto	NCMS000	punto
,	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
servirà	servirá	VMIF3S0	servir
a	a	SPS00	a
vm	VM	NP00000	VM
de	de	SPS00	de
aviso	aviso	NCMS000	aviso
y	y	CC	y
que	que	CS	que
Yo	yo	PP1CSN00	yo
no	no	RN	no
tengo	tengo	VMIP1S0	tener
mas	más	RC	más
alivio	alivio	NCMS000	alivio
hasta	hasta	SPS00	hasta
aho-ra	ahora	RG	ahora
que	que	CS	que
el	el	DA0MS0	el
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
comunica-do	comunicado	VMP00SM	comunicar
a	a	SPS00	a
vm	VM	NP00000	VM
anteri-ormente	anteriormente	RG	anteriormente
,	,	Fc	,
pues	pues	CS	pues
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
està	está	VMIP3S0	estar
tan	tan	RC	tan
malo	malo	AQ0MS0	malo
y	y	CC	y
climate-rico	climatérico	AQ0MS0	climatérico
que	que	CS	que
en	en	SPS00	en
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
àdelantar	adelantar	VMN0000	adelantar
uno	uno	PI0MS000	uno
se	se	P00CN000	se
atrasa	atrasa	VMIP3S0	atrasar
en	en	SPS00	en
todo	todo	PI0MS000	todo
por	por	SPS00	por
no	no	RN	no
poderse	poderse	VMN0000+P00CN000	poder+se
con	con	SPS00	con
èl	él	PP3MS000	él
medicinar	medicinar	VMN0000	medicinar
nada	nada	PI0NN00N	nada
y	y	CC	y
tener	tener	VMN0000	tener
que	que	CS	que
suspenderlo	suspenderlo	VMN0000+PP3MSA00	suspender+lo
,	,	Fc	,
pues	pues	CS	pues
la	la	DA0FS0	el
leche	leche	NCFS000	leche
he	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
que	que	CS	que
dexarla	dejarla	VMN0000+PP3FSA00	dejar+lo
por	por	SPS00	por
el	el	DA0MS0	el
gran	gran	AQ0CS0	gran
frio	frío	AQ0MS0	frío
qe	que	PR0CN000	que
haze	hace	VMIP3S0	hacer
.	.	Fp	.
Hagame	Hágame	VMSP0S0+PP1CS000	hacer+me
Vm	VM	NP00000	VM
el	el	DA0MS0	el
favor	favor	NCMS000	favor
de	de	SPS00	de
ponerme	ponerme	VMN0000+PP1CS000	poner+me
a	a	SPS00	a
los	los	DA0MP0	el
pies	pies	NCMP000	pie
de	de	SPS00	de
mis	mis	DP1CPS	mi
sras	señoras	NCFP000	señor
con	con	SPS00	con
todo	todo	DI0MS0	todo
rendimto	rendimiento	NCMS000	rendimiento
y	y	CC	y
obediencia	obediencia	NCFS000	obediencia
	,	Fc	,
del	del	SPS00+DA0MS0	de+el
sr	señor	NP00000	señor
dn	don	NP00000	don
Anto	Antonio	NP00000	antonio
y	y	CC	y
demas	demás	PI0CP000	demás
;	.	Fp	.
y	Y	CC	y
Quedo	quedo	VMIP1S0	quedar
para	para	SPS00	para
servir	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
con	con	SPS00	con
la	la	DA0FS0	el
mayor	mayor	AQ0CS0	mayor
Voluntad	voluntad	NCFS000	voluntad
y	y	CC	y
rogando	rogando	VMG0000	rogar
à	a	SPS00	a
Nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
ge	guarde	VMSP0S0	guardar
su	su	DP3CS0	su
vida	vida	NCFS000	vida
los	los	DA0MP0	el
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
qe	que	PR0CN000	que
puede	puede	VMIP3S0	poder
y	y	CC	y
necesito	necesito	VMIP1S0	necesitar
.	.	Fp	.
Matienzo	Matienzo	NP00000	matienzo
	,	Fc	,
y	y	CC	y
octre	octubre	NCMS000	octubre
11	11	Z	11
de	de	SPS00	de
1755	1755	Z	1755
	.	Fp	.
B	Besa	VMIP3S0	besar
l	las	DA0FP0	el
ms	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
su	su	DP3CS0	su
mas	más	RC	más
obligdo	obligado	VMP00SM	obligar
