Exmo	Excelentísimo	AQSMS0	excelente
Señor	señor	NP00000	señor
	.	Fp	.
Señor	Señor	NP00000	señor
	.	Fp	.
Antes	Antes	RG	antes
de	de	SPS00	de
aora	ahora	RG	ahora
muchas	muchas	DI0FP0	mucho
vezes	veces	NCFP000	vez
an	han	VAIP3P0	haber
clamado	clamado	VMP0000	clamar
a	a	SPS00	a
la	la	DA0FS0	el
piedad	piedad	NCFS000	piedad
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
esttes	estos	DD0MP0	este
fieles	fieles	AQ0CP0	fiel
vasallos	vasallos	NCMP000	vasallo
con	con	SPS00	con
la	la	DA0FS0	el
prettension	pretensión	NCFS000	pretensión
de	de	SPS00	de
que	que	CS	que
	,	Fc	,
ia	ya	RG	ya
que	que	CS	que
esttamos	estamos	VMIP1P0	estar
contribuiendo	contribuyendo	VMG0000	contribuir
con	con	SPS00	con
las	las	DA0FP0	el
alcabalas	alcabalas	NCFP000	alcabala
que	que	PR0CN000	que
fielmte	fielmente	RG	fielmente
devemos	debemos	VMIP1P0	deber
a	a	SPS00	a
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
mire	mire	VMSP0S0	mirar
como	como	CS	como
es	es	VSIP3S0	ser
justto	justo	AQ0MS0	justo
por	por	SPS00	por
nuesttras	nuestras	DP1FPP	nuestro
pobrezas	pobrezas	NCFP000	pobreza
	,	Fc	,
las	las	DA0FP0	el
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
quiere	quiere	VMIP3S0	querer
aniquilar	aniquilar	VMN0000	aniquilar
vuestro	vuestro	DP2MSP	vuestro
teniente	teniente	NP00000	teniente
Castillo	Castillo	NP00000	castillo
	.	Fp	.
este	Éste	PD0MS000	este
es	es	VSIP3S0	ser
el	el	DA0MS0	el
fomenttador	fomentador	NCMS000	fomentador
de	de	SPS00	de
pleittos	pleitos	NCMP000	pleito
,	,	Fc	,
el	el	DA0MS0	el
consumidor	consumidor	NCMS000	consumidor
de	de	SPS00	de
vuesttras	vuestras	DP2FPP	vuestro
penas	penas	NCFP000	pena
de	de	SPS00	de
camara	cámara	NCFS000	cámara
,	,	Fc	,
el	el	DA0MS0	el
defensor	defensor	NCMS000	defensor
de	de	SPS00	de
algunas	algunas	DI0FP0	alguno
de	de	SPS00	de
la	la	DA0FS0	el
Juridizion	jurisdicción	NCFS000	jurisdicción
de	de	SPS00	de
Palazios	Palacios	NP00000	palacios
conttra	contra	SPS00	contra
las	las	DA0FP0	el
rregalias	regalías	NCFP000	regalía
de	de	SPS00	de
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
el	el	DA0MS0	el
que	que	CS	que
por	por	SPS00	por
hazer	hacer	VMN0000	hacer
del	del	SPS00+DA0MS0	de+el
Correjidor	corregidor	NCMS000	corregidor
lo	lo	DA0NS0	el
que	que	PR0CN000	que
quiere	quiere	VMIP3S0	querer
attropella	atropella	VMIP3S0	atropellar
a	a	SPS00	a
ttodos	todos	DI0MP0	todo
vuesttros	vuestros	DP2MPP	vuestro
vasallos	vasallos	NCMP000	vasallo
,	,	Fc	,
el	el	DA0MS0	el
que	que	CS	que
por	por	SPS00	por
su	su	DP3CS0	su
Direccion	dirección	NCFS000	dirección
	,	Fc	,
la	la	DA0FS0	el
del	del	SPS00+DA0MS0	de+el
Correjidor	corregidor	NCMS000	corregidor
y	y	CC	y
cura	cura	NCMS000	cura
de	de	SPS00	de
Sta	Santa	NP00000	santo
Maria	María	NP00000	maría
a	ha	VAIP3S0	haber
esttado	estado	VMP0000	estar
en	en	SPS00	en
estta	esta	DD0FS0	este
villa	villa	NCFS000	villa
un	un	DI0MS0	uno
comisionado	comisionado	NCMS000	comisionado
del	del	SPS00+DA0MS0	de+el
Consejo	Consejo	NP00000	consejo
rrebolbiendo	revolviendo	VMG0000	revolver
e	e	CC	y
inquiettando	inquietando	VMG0000	inquietar
a	a	SPS00	a
vuesttros	vuestros	DP2MPP	vuestro
pobres	pobres	NCCP000	pobre
vasallos	vasallos	NCMP000	vasallo
,	,	Fc	,
y	y	CC	y
el	el	DA0MS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
dejado	dejado	VMP0000	dejar
dezir	decir	VMN0000	decir
tiene	tiene	VMIP3S0	tener
el	él	PP3MS000	él
y	y	CC	y
el	el	DA0MS0	el
correjidor	corregidor	NCMS000	corregidor
cojido	cogido	VMP0000	coger
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
por	por	SPS00	por
las	las	DA0FP0	el
narizes	narices	NCFP000	nariz
con	con	SPS00	con
el	el	DA0MS0	el
motibo	motivo	NCMS000	motivo
de	de	SPS00	de
tener	tener	VMN0000	tener
de	de	SPS00	de
su	su	DP3CS0	su
partte	parte	NCFS000	parte
a	a	SPS00	a
una	una	DI0FS0	uno
Madama	madama	NCFS000	madama
de	de	SPS00	de
esa	esa	DD0FS0	ese
Cortte	corte	NCFS000	corte
a	a	SPS00	a
quien	quien	PR0CS000	quien
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
cortteja	corteja	VMIP3S0	cortejar
mucho	mucho	RQ	mucho
	.	Fp	.
lo	Lo	PP3CNA00	lo
dizen	dicen	VMIP3P0	decir
ellos	ellos	PP3MP000	ellos
en	en	SPS00	en
tterminos	términos	NCMP000	término
mas	más	RC	más
picanttes	picantes	NCMP000	picante
.	.	Fp	.
Sabe	Sabe	VMIP3S0	saber
V	vuestra	DP2FSP	vuestro
E	excelencia	NP00000	excelencia
que	que	CS	que
Casttillo	Castillo	NP00000	castillo
fue	fue	VMIS3S0	ir
destterrado	desterrado	VMP0000	desterrar
de	de	SPS00	de
tres	tres	Z	3
parttes	partes	NCFP000	parte
.	.	Fp	.
Sabe	Sabe	VMIP3S0	saber
v	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
qe	que	CS	que
fue	fue	VMIS3S0	ir
multado	multado	VMP00SM	multar
por	por	SPS00	por
el	el	DA0MS0	el
Consejo	Consejo	NP00000	consejo
por	por	SPS00	por
la	la	DA0FS0	el
tropelia	tropelía	NCFS000	tropelía
qe	que	PR0CN000	que
hizo	hizo	VMIS3S0	hacer
con	con	SPS00	con
el	el	DA0MS0	el
Correjidor	corregidor	NCMS000	corregidor
de	de	SPS00	de
Venaventte	Benavente	NP00000	benavente
.	.	Fp	.
Save	Sabe	VMIP3S0	saber
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
que	que	CS	que
	,	Fc	,
por	por	SPS00	por
Guiarse	guiarse	VMN0000+P00CN000	guiar+se
estte	este	DD0MS0	este
Burro	burro	NCMS000	burro
de	de	SPS00	de
Correjidor	corregidor	NCMS000	corregidor
de	de	SPS00	de
el	él	PP3MS000	él
	,	Fc	,
fue	fue	VMIS3S0	ir
multado	multado	VMP00SM	multar
por	por	SPS00	por
el	el	DA0MS0	el
Consejo	Consejo	NP00000	consejo
	.	Fp	.
Sabe	Sabe	VMIP3S0	saber
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
que	que	CS	que
	,	Fc	,
queriendo	queriendo	VMG0000	querer
mandar	mandar	VMN0000	mandar
como	como	CS	como
manda	manda	VMIP3S0	mandar
mas	más	RC	más
qe	que	CS	que
este	este	DD0MS0	este
Juez	juez	NCMS000	juez
	,	Fc	,
a	ha	VAIP3S0	haber
ndado	andado	VMP0000	andar
por	por	SPS00	por
la	la	DA0FS0	el
Calles	calles	NCFP000	calle
con	con	SPS00	con
el	el	DA0MS0	el
pregonero	pregonero	NCMS000	pregonero
corttando	cortando	VMG0000	cortar
las	las	DA0FP0	el
orejas	orejas	NCFP000	oreja
a	a	SPS00	a
los	los	DA0MP0	el
marranos	marranos	NCMP000	marrano
de	de	SPS00	de
los	los	DA0MP0	el
pobres	pobres	NCCP000	pobre
vezinos	vecinos	NCMP000	vecino
porqe	porque	CS	porque
no	no	RN	no
los	los	PP3MPA00	lo
