Muy	Muy	RQ	muy
Ille	ilustre	AQ0CS0	ilustre
Sr	señor	NP00000	señor
:	.	Fp	.
en	En	SPS00	en
respuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
la	la	DA0FS0	el
que	que	PR0CN000	que
recibi	recibí	VMIS1S0	recibir
de	de	SPS00	de
VS	VSa	NP00000	VSa
de	de	SPS00	de
25	25	Z	25
del	del	SPS00+DA0MS0	de+el
corriente	corriente	AQ0CS0	corriente
digo	digo	VMIP1S0	decir
qe	que	CS	que
Baudilio	Baudilio	NP00000	baudilio
Ollé	Ollé	NP00000	ollé
falleció	falleció	VMIS3S0	fallecer
a	a	SPS00	a
los	los	DA0MP0	el
20	20	Z	20
de	de	SPS00	de
8bre	octubre	NCMS000	octubre
de	de	SPS00	de
1763	1763	Z	1763
y	y	CC	y
que	que	CS	que
con	con	SPS00	con
el	él	PP3MS000	él
die	die	X	x
vive	vive	VMIP3S0	vivir
una	una	DI0FS0	uno
hija	hija	NCFS000	hijo
heredera	heredera	NCFS000	heredero
del	del	SPS00+DA0MS0	de+el
expresado	expresado	VMP00SM	expresar
,	,	Fc	,
qual	cual	CC	cual
en	en	SPS00	en
el	el	DA0MS0	el
año	año	NCMS000	año
1751	1751	Z	1751
era	era	VSII0S0	ser
de	de	SPS00	de
edat	edad	NCFS000	edad
de	de	SPS00	de
diez	diez	Z	10
ÿ	y	CC	y
ocho	ocho	Z	8
años	años	NCMP000	año
	.	Fp	.
y	Y	CC	y
dice	dice	VMIP3S0	decir
que	que	CS	que
nunca	nunca	RN	nunca
en	en	SPS00	en
su	su	DP3CS0	su
casa	casa	NCFS000	casa
ha	ha	VAIP3S0	haber
vido	habido	VMP0000	haber
hombre	hombre	NCMS000	hombre
llamado	llamado	VMP00SM	llamar
Isidro	Isidro	NP00000	isidro
y	y	CC	y
lo	lo	PP3CNA00	lo
mismo	mismo	RG	mismo
dicen	dicen	VMIP3P0	decir
otros	otros	PI0MP000	otro
,	,	Fc	,
ny	ni	CC	ni
en	en	SPS00	en
la	la	DA0FS0	el
certificacion	certificación	NCFS000	certificación
annual	anual	AQ0CS0	anual
de	de	SPS00	de
las	las	DA0FP0	el
comuniones	comuniones	NCFP000	comunión
de	de	SPS00	de
dicho	dicho	VMP00SM	decir
año	año	NCMS000	año
se	se	P00CN000	se
encuentra	encuentra	VMIP3S0	encontrar
tal	tal	RC	tal
nombre	nombre	NCMS000	nombre
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
por	por	SPS00	por
ahora	ahora	RG	ahora
puedo	puedo	VMIP1S0	poder
informar	informar	VMN0000	informar
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
dignado	dignado	VMP0000	dignar
escribirme	escribirme	VMN0000+PP1CS000	escribir+me
,	,	Fc	,
ofreciendome	ofreciéndome	VMG0000+PP1CS000	ofrecer+me
a	a	SPS00	a
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
se	se	P00CN000	se
digne	digne	VMSP0S0	dignar
mandarme	mandarme	VMN0000+PP1CS000	mandar+me
y	y	CC	y
rogando	rogando	VMG0000	rogar
a	a	SPS00	a
Dios	Dios	NP00000	dios
le	le	PP3CSD00	le
ge	guarde	VMSP0S0	guardar
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Viladecans	Viladecans	NP00000	viladecans
	,	Fc	,
30	30	Z	30
de	de	SPS00	de
9bre	noviembre	NCMS000	noviembre
de	de	SPS00	de
1786	1786	Z	1786
B	Besa	VMIP3S0	besar
L	la	DA0FS0	el
M	mano	NCFS000	mano
d	de	SPS00	de
VS	VSa	NP00000	VSa
su	su	DP3CS0	su
mas	más	RC	más
atento	atento	AQ0MS0	atento
servidor	servidor	NCMS000	servidor
y	y	CC	y
capallan	capellán	NCMS000	capellán
	,	Fc	,
Jayme	Jaime	NP00000	jaime
Montaña	Montaña	NP00000	montan
	,	Fc	,
vicario	vicario	NCMS000	vicario
curado	curado	VMP00SM	curar
d	de	SPS00	de
Viladecans	Viladecans	NP00000	viladecans
