Muy	Muy	RQ	muy
Señor	señor	NP00000	señor
de	de	SPS00	de
mi	mi	DP1CSS	mi
estimacion	estimación	NCFS000	estimación
	.	Fp	.
de	De	SPS00	de
Lo	lo	DA0NS0	el
que	que	PR0CN000	que
uested	usted	PP2CS000	usted
me	me	PP1CS000	me
enbia	envía	VMIP3S0	enviar
a	a	SPS00	a
decir	decir	VMN0000	decir
que	que	CS	que
si	si	CSI	si
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
dn	don	NP00000	don
franco	Francisco	NP00000	francisco
martinez	Martínez	NP00000	martínez
testigo	testigo	NCCS000	testigo
	,	Fc	,
no	no	RN	no
lo	lo	PP3MSA00	lo
an	han	VAIP3P0	haber
llamado	llamado	VMP0000	llamar
	,	Fc	,
ni	ni	CC	ni
a	a	SPS00	a
Juan	Juan	NP00000	juan
Jph	José	NP00000	josé
ni	ni	CC	ni
a	a	SPS00	a
santiago	Santiago	NP00000	santiago
	.	Fp	.
el	El	DA0MS0	el
ciruxano	cirujano	NCCS000	cirujano
tamien	también	RG	también
a	ha	VAIP3S0	haber
declarado	declarado	VMP0000	declarar
y	y	CC	y
Juan	Juan	NP00000	juan
de	de	SPS00	de
lirio	Lirio	NP00000	lirio
	,	Fc	,
Bicente	Vicente	NP00000	vicente
buendia	Buendía	NP00000	buendía
	,	Fc	,
dn	don	NP00000	don
diego	Diego	NP00000	diego
palacios	Palacios	NP00000	palacios
	,	Fc	,
tacones	Tacones	NP00000	tacones
	,	Fc	,
Juan	Juan	NP00000	juan
belares	Velares	NP00000	velares
	.	Fp	.
q	Que	CS	que
le	le	PP3CSD00	le
decian	decían	VMII3P0	decir
a	a	SPS00	a
dn	don	NP00000	don
diego	Diego	NP00000	diego
	«	Fra	«
luego	luego	RG	luego
se	se	P00CN000	se
sabra	sabrá	VMIF3S0	saber
los	los	DA0MP0	el
que	que	PR0CN000	que
an	han	VAIP3P0	haber
sido	sido	VSP0000	ser
	»	Frt	»
	.	Fp	.
y	Y	CC	y
que	que	CS	que
decia	decía	VMII0S0	decir
	«	Fra	«
si	sí	RG	sí
se	se	P00CN000	se
sabra	sabrá	VMIF3S0	saber
	,	Fc	,
pero	pero	CC	pero
sera	será	VSIF3S0	ser
el	el	DA0MS0	el
dia	día	NCMS000	día
del	del	SPS00+DA0MS0	de+el
Juicio	juicio	NCMS000	juicio
	»	Frt	»
	,	Fc	,
el	el	DA0MS0	el
falso	falso	AQ0MS0	falso
	.	Fp	.
y	Y	CC	y
luego	luego	RG	luego
dice	dice	VMIP3S0	decir
usted	usted	PP2CS000	usted
q	que	CS	que
es	es	VSIP3S0	ser
bueno	bueno	AQ0MS0	bueno
	.	Fp	.
yo	Yo	PP1CSN00	yo
rreniego	reniego	VMIP1S0	renegar
d	de	SPS00	de
el	él	PP3MS000	él
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
dicen	dicen	VMIP3P0	decir
que	que	CS	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
conprado	comprado	VMP0000	comprar
usted	usted	PP2CS000	usted
para	para	SPS00	para
q	que	CS	que
los	los	DA0MP0	el
testigos	testigos	NCCP000	testigo
luego	luego	RG	luego
no	no	RN	no
los	los	PP3MPA00	lo
cogan	cojan	VMSP3P0	coger
en	en	SPS00	en
mentira	mentira	NCFS000	mentira
	,	Fc	,
porq	porque	CS	porque
ellos	ellos	PP3MP000	ellos
estan	están	VMIP3P0	estar
en	en	SPS00	en
q	que	CS	que
lo	lo	PP3CNA00	lo
an	han	VMIP3P0	haber
de	de	SPS00	de
declararlo	declararlo	VMN0000+PP3CNA00	declarar+lo
asi	así	RG	así
.	.	Fp	.
La	La	DA0FS0	el
anicorra	Anicorra	NP00000	anicorra
la	la	PP3FSA00	lo
llamaron	llamaron	VMIS3P0	llamar
tanbien	también	RG	también
	.	Fp	.
y	Y	CC	y
porq	porque	CS	porque
declaro	declaró	VMIS3S0	declarar
q	que	CS	que
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
trage	traje	VMIS1S0	traer
yo	yo	PP1CSN00	yo
y	y	CC	y
q	que	CS	que
tanbien	también	RG	también
trage	traje	VMIS1S0	traer
