Mi	Mi	DP1CSS	mi
mas	más	RC	más
querida	querida	VMP00SF	querer
hermana	hermana	NCFS000	hermano
;	.	Fp	.
ya	Ya	RG	ya
veo	veo	VMIP1S0	ver
lo	lo	DA0NS0	el
que	que	PR0CN000	que
en	en	SPS00	en
la	la	DA0FS0	el
tuya	tuya	PX2FS0S0	tuyo
me	me	PP1CS000	me
participas	participas	VMIP2S0	participar
,	,	Fc	,
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
rrespondo	respondo	VMIP1S0	responder
y	y	CC	y
digo	digo	VMIP1S0	decir
que	que	CS	que
no	no	RN	no
hagas	hagas	VMSP2S0	hacer
Juicios	juicios	NCMP000	juicio
de	de	SPS00	de
tales	tales	DD0CP0	tal
disparos	disparos	NCMP000	disparo
	,	Fc	,
pues	pues	CS	pues
sabes	sabes	VMIP2S0	saber
en	en	SPS00	en
distintas	distintas	AQ0FP0	distinto
ocasiones	ocasiones	NCFP000	ocasión
te	te	PP2CS000	te
he	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
digo	digo	VMIP1S0	decir
haora	ahora	RG	ahora
,	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
cumplirte	cumplirte	VMN0000+PP2CS000	cumplir+te
la	la	DA0FS0	el
palabra	palabra	NCFS000	palabra
que	que	PR0CN000	que
te	te	PP2CS000	te
tengo	tengo	VMIP1S0	tener
prometida	prometida	NCFS000	prometido
aunque	aunque	CS	aunque
sea	sea	VSSP0S0	ser
a	a	SPS00	a
pesar	pesar	NCMS000	pesar
de	de	SPS00	de
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
	.	Fp	.
no	No	RN	no
hagas	hagas	VMSP2S0	hacer
caso	caso	NCMS000	caso
de	de	SPS00	de
dichillos	dichillos	NCMP000	dichillo
que	que	PR0CN000	que
te	te	PP2CS000	te
lleven	lleven	VMSP3P0	llevar
	,	Fc	,
q	que	CS	que
si	si	CS	si
no	no	RN	no
he	he	VAIP1S0	haber
ido	ido	VMP0000	ir
ya	ya	RG	ya
a	a	SPS00	a
casa	casa	NCFS000	casa
es	es	VSIP3S0	ser
porque	porque	CS	porque
he	he	VAIP1S0	haber
handado	andado	VMP0000	andar
un	un	DI0MS0	uno
poco	poco	RQ	poco
malo	malo	AQ0MS0	malo
	.	Fp	.
en	En	SPS00	en
esio	eso	PD0NN000	eso
de	de	SPS00	de
volverme	volverme	VMN0000+PP1CS000	volver+me
	,	Fc	,
como	como	CS	como
tu	tú	PP2CSN00	tú
dices	dices	VMIP2S0	decir
que	que	CS	que
te	te	PP2CS000	te
han	han	VAIP3P0	haber
dicho	dicho	VMP0000	decir
	,	Fc	,
no	no	RN	no
puede	puede	VMIP3S0	poder
cer	ser	VSN0000	ser
por	por	SPS00	por
dos	dos	Z	2
motibos	motivos	NCMP000	motivo
,	.	Fp	.
el	El	DA0MS0	el
uno	uno	PI0MS000	uno
porq	porque	CS	porque
como	como	CS	como
sabes	sabes	VMIP2S0	saber
q	que	CS	que
Dn	don	NP00000	don
Joseph	José	NP00000	josé
Salinas	Salinas	NP00000	salinas
y	y	CC	y
el	el	DA0MS0	el
tio	tío	NCMS000	tío
salinas	Salinas	NP00000	salinas
y	y	CC	y
Da	doña	NP00000	don
Juana	Juana	NP00000	juana
cananeo	Cananeo	NP00000	cananeo
sirvieron	sirvieron	VMIS3P0	servir
de	de	SPS00	de
testigos	testigos	NCCP000	testigo
no	no	RN	no
puedo	puedo	VMIP1S0	poder
volverme	volverme	VMN0000+PP1CS000	volver+me
;	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
porque	porque	CS	porque
es	es	VSIP3S0	ser
imposible	imposible	AQ0CS0	imposible
el	el	DA0MS0	el
que	que	CS	que
yo	yo	PP1CSN00	yo
ya	ya	RG	ya
te	te	PP2CS000	te
deje	deje	VMSP0S0	dejar
hasta	hasta	SPS00	hasta
q	que	CS	que
venga	venga	VMSP0S0	venir
la	la	DA0FS0	el
muerte	muerte	NCFS000	muerte
y	y	CC	y
nos	nos	PP1CP000	nos
deshuna	desuna	VMSP0S0	desunir
tanto	tanto	DI0MS0	tanto
amor	amor	NCMS000	amor
como	como	CS	como
yo	yo	PP1CSN00	yo
te	te	PP2CS000	te
tengo	tengo	VMIP1S0	tener
,	;	Fx	;
aunque	aunque	CS	aunque
no	no	RN	no
se	sé	VMIP1S0	saber
si	si	CSI	si
tu	tú	PP2CSN00	tú
seras	serás	VSIF2S0	ser
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
,	,	Fc	,
pero	pero	CC	pero
discurro	discurro	VMIP1S0	discurrir
me	me	PP1CS000	me
pagas	pagas	VMIP2S0	pagar
con	con	SPS00	con
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
	.	Fp	.
D	Dios	NP00000	dios
te	te	PP2CS000	te
gue	guarde	VMSP0S0	guardar
mas	más	RC	más
