Muy	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	.	Fp	.
Respondiendo	Respondiendo	VMG0000	responder
a	a	SPS00	a
la	la	DA0FS0	el
d	de	SPS00	de
VS	VSa	NP00000	VSa
con	con	SPS00	con
fecha	fecha	NCFS000	fecha
d	de	SPS00	de
16	16	Z	16
del	del	SPS00+DA0MS0	de+el
presente	presente	NCMS000	presente
digo	digo	VMIP1S0	decir
q	que	CS	que
la	la	DA0FS0	el
Niña	niña	NCFS000	niño
llamada	llamada	NCFS000	llamada
Ynes	Inés	NP00000	inés
,	,	Fc	,
qe	que	CS	que
se	se	P00CN000	se
crio	crió	VMIS3S0	criar
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
Baudilio	Baudilio	NP00000	baudilio
Olle	Olle	NP00000	olle
	,	Fc	,
esta	está	VMIP3S0	estar
casada	casada	VMP00SF	casar
con	con	SPS00	con
Joan	Joan	NP00000	joan
Padro	Padró	NP00000	padró
,	,	Fc	,
que	que	CS	que
viven	viven	VMIP3P0	vivir
en	en	SPS00	en
la	la	DA0FS0	el
Parra	parroquia	NCFS000	parroquia
d	de	SPS00	de
St	Sant	NP00000	sant
Vicente	Vicente	NP00000	vicente
del	del	SPS00+DA0MS0	de+el
Hors	Hors	NP00000	hors
;	.	Fp	.
se	Se	P00CN000	se
tiene	tiene	VMIP3S0	tener
por	por	SPS00	por
cierto	cierto	AQ0MS0	cierto
que	que	CS	que
dicha	dicha	VMP00SF	decir
Niña	niña	NCFS000	niño
es	es	VSIP3S0	ser
hija	hija	NCFS000	hijo
de	de	SPS00	de
Joan	Joan	NP00000	joan
Ventura	Ventura	NP00000	ventura
,	,	Fc	,
que	que	CS	que
vive	vive	VMIP3S0	vivir
en	en	SPS00	en
Pallaja	Pallaja	NP00000	pallaja
	,	Fc	,
sufraganea	sufragánea	NCFS000	sufragáneo
d	de	SPS00	de
dicha	dicha	VMP00SF	decir
Parra	parroquia	NCFS000	parroquia
;	,	Fc	,
y	y	CC	y
de	de	SPS00	de
Eularia	Eularia	NP00000	eularia
Puigventos	Puigventos	NP00000	puigventos
,	,	Fc	,
que	que	CS	que
fue	fue	VMIS3S0	ir
casada	casada	VMP00SF	casar
con	con	SPS00	con
Bartholomeu	Bartholomeu	NP00000	bartholomeu
Mones	Mones	NP00000	mones
de	de	SPS00	de
la	la	DA0FS0	el
expresada	expresada	VMP00SF	expresar
sufraganea	sufragánea	NCFS000	sufragáneo
,	,	Fc	,
la	la	DA0FS0	el
que	que	PR0CN000	que
fallecio	falleció	VMIS3S0	fallecer
habra	habrá	VMIF3S0	haber
dos	dos	Z	2
años	años	NCMP000	año
	.	Fp	.
Si	Si	CS	si
algo	algo	PI0CS000	algo
mas	más	RC	más
se	se	P00CN000	se
le	le	PP3CSD00	le
ofreciere	ofreciere	VMSF0S0	ofrecer
;	,	Fc	,
estoy	estoy	VMIP1S0	estar
promto	pronto	RG	pronto
para	para	SPS00	para
servirle	servirle	VMN0000+PP3CSA00	servir+le
como	como	CS	como
rogar	rogar	VMN0000	rogar
a	a	SPS00	a
Dios	Dios	NP00000	dios
ge	guarde	VMSP0S0	guardar
su	su	DP3CS0	su
vida	vida	NCFS000	vida
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Viladecans	Viladecans	NP00000	viladecans
	,	Fc	,
21	21	Z	21
d	de	SPS00	de
Enero	enero	NCMS000	enero
d	de	SPS00	de
1786	1786	Z	1786
	.	Fp	.
B	Besa	VMIP3S0	besar
L	la	DA0FS0	el
M	mano	NCFS000	mano
d	de	SPS00	de
VS	VSa	NP00000	VSa
su	su	DP3CS0	su
mas	más	RC	más
atento	atento	AQ0MS0	atento
servidor	servidor	NCMS000	servidor
y	y	CC	y
cappellan	capellán	NCMS000	capellán
	,	Fc	,
Jayme	Jaime	NP00000	jaime
Montaña	Montaña	NP00000	montan
	,	Fc	,
curado	curado	VMP00SM	curar
d	de	SPS00	de
Viladecans	Viladecans	NP00000	viladecans
M	Mi	DP1CSS	mi
Sr	señor	NP00000	señor
Sr	señor	NP00000	señor
Dr	doctor	NP00000	doctor
Dn	don	NP00000	don
Agustin	Agustín	NP00000	agustín
d	de	SPS00	de
Almarza	Almarza	NP00000	almarza
	.	Fp	.
