Muy	Muy	RQ	muy
ss	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
Ayer	Ayer	RG	ayer
remiti	remití	VMIS1S0	remitir
a	a	SPS00	a
Vm	VM	NP00000	VM
con	con	SPS00	con
Santiago	Santiago	NP00000	santiago
de	de	SPS00	de
la	la	DA0FS0	el
fuente	Fuente	NP00000	fuente
,	,	Fc	,
vecino	vecino	NCMS000	vecino
de	de	SPS00	de
Madrid	Madrid	NP00000	madrid
	,	Fc	,
trece	trece	Z	13
P.	P.	X	X
de	de	SPS00	de
lana	lana	NCFS000	lana
lavada	lavada	VMP00SF	lavar
,	,	Fc	,
de	de	SPS00	de
peso	peso	NCMS000	peso
cada	cada	DI0CN0	cada
una	una	PI0FS000	uno
de	de	SPS00	de
seis	seis	Z	6
a	arrobas	NCFP000	arroba
en	en	SPS00	en
limpio	limpio	AQ0MS0	limpio
excepto	excepto	CS	excepto
el	el	DA0MS0	el
nº	número	NCMS000	número
13	13	Z	13
	,	Fc	,
que	que	PR0CN000	que
lleva	lleva	VMIP3S0	llevar
un	un	DI0MS0	uno
quarto	cuarto	NCMS000	cuarto
de	de	SPS00	de
arrova	arroba	NCFS000	arroba
menos	menos	RC	menos
	.	Fp	.
y	Y	CC	y
son	son	VSIP3P0	ser
las	las	DA0FP0	el
once	once	Z	11
de	de	SPS00	de
R	R	NP00000	r
y	y	CC	y
las	las	DA0FP0	el
dos	dos	Z	2
de	de	SPS00	de
F	F	NP00000	F
con	con	SPS00	con
las	las	DA0FP0	el
marcas	marcas	NCFP000	marca
del	del	SPS00+DA0MS0	de+el
margen	margen	NCCS000	margen
,	,	Fc	,
segun	según	SPS00	según
me	me	PP1CS000	me
tenia	tenía	VMII0S0	tener
ordenado	ordenado	VMP00SM	ordenar
el	el	DA0MS0	el
sor	señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
	,	Fc	,
hijo	hijo	NCMS000	hijo
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
A	A	SPS00	a
los	los	DA0MP0	el
Conductores	conductores	NCMP000	conductor
les	les	PP3CPD00	le
entregue	entregué	VMIS1S0	entregar
Guia	guía	NCFS000	guía
y	y	CC	y
Carta	carta	NCFS000	carta
de	de	SPS00	de
