Mui	Muy	RQ	muy
sra	señora	NP00000	señor
Mia	mía	DP1FSS	mío
	.	Fp	.
selebro	Celebro	VMIP1S0	celebrar
aya	haya	VASP0S0	haber
tenido	tenido	VMP0000	tener
vm	VM	NP00000	VM
el	el	DA0MS0	el
consuelo	consuelo	NCMS000	consuelo
qe	que	PR0CN000	que
deseaba	deseaba	VMII0S0	desear
con	con	SPS00	con
la	la	DA0FS0	el
carta	carta	NCFS000	carta
de	de	SPS00	de
mi	mi	DP1CSS	mi
Amigo	amigo	NP00000	amigo
el	el	DA0MS0	el
Marques	marqués	NCMS000	marqués
y	y	CC	y
deseo	deseo	VMIP1S0	desear
se	se	P00CN000	se
le	le	PP3CSD00	le
continuen	continúen	VMSP3P0	continuar
a	a	SPS00	a
vm	VM	NP00000	VM
otros	otros	DI0MP0	otro
muchos	muchos	DI0MP0	mucho
.	.	Fp	.
La	La	DA0FS0	el
Mandadera	mandadera	NCFS000	mandadero
se	se	P00CN000	se
equevico	equivocó	VMIS3S0	equivocar
	,	Fc	,
pues	pues	CS	pues
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
dije	dije	VMIS1S0	decir
me	me	PP1CS000	me
ynviase	enviase	VMSI0S0	enviar
vm	VM	NP00000	VM
Resivo	recibo	NCMS000	recibo
fue	fue	VMIS3S0	ir
de	de	SPS00	de
los	los	DA0MP0	el
tresientos	trescientos	Z	300
Ras	reales	NCMP000	real
qe	que	PR0CN000	que
en	en	SPS00	en
mi	mi	DP1CSS	mi
papel	papel	NCMS000	papel
libre	libré	VMIS1S0	librar
a	a	SPS00	a
vm	VM	NP00000	VM
en	en	SPS00	en
Juan	Juan	NP00000	juan
peres	Pérez	NP00000	pérez
Angel	Ángel	NP00000	ángel
	,	Fc	,
aRendador	arrendador	NCMS000	arrendador
de	de	SPS00	de
Jelo	Gelo	NP00000	gelo
	,	Fc	,
qe	que	CS	que
ya	ya	RG	ya
abra	habrá	VAIF3S0	haber
vm	VM	NP00000	VM
Resevido	recibido	VMP0000	recibir
	;	Fx	;
qe	que	CS	que
lo	lo	PP3CNA00	lo
nesesito	necesito	VMIP1S0	necesitar
para	para	SPS00	para
ynviarlo	enviarlo	VMN0000+PP3CNA00	enviar+lo
el	el	DA0MS0	el
coReo	correo	NCMS000	correo
qe	que	PR0CN000	que
viene	viene	VMIP3S0	venir
a	a	SPS00	a
su	su	DP3CS0	su
padre	padre	NCMS000	padre
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
qeda	queda	VMIP3S0	quedar
el	en	SPS00	en
mi	mi	DP1CSS	mi
poder	poder	NCMS000	poder
el	el	DA0MS0	el
Resivo	recibo	NCMS000	recibo
de	de	SPS00	de
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
la	la	DA0FS0	el
abadesa	abadesa	NCFS000	abade
	;	Fx	;
y	y	CC	y
io	yo	PP1CSN00	yo
a	a	SPS00	a
sus	sus	DP3CP0	su
pies	pies	NCMP000	pie
como	como	CS	como
a	a	SPS00	a
los	los	DA0MP0	el
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
qe	que	CS	que
gde	guarde	VMSP0S0	guardar
dios	Dios	NP00000	dios
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
como	como	CS	como
deseo	deseo	VMIP1S0	desear
	.	Fp	.
d	De	SPS00	de
esta	ésta	PD0FS000	este
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
oi	hoy	RG	hoy
viernes	viernes	NCMN000	viernes
12	12	Z	12
de	de	SPS00	de
dize	diciembre	NCMS000	diciembre
de	de	SPS00	de
710	710	Z	710
	.	Fp	.
s	Seguro	AQ0MS0	seguro
sdor	servidor	NCMS000	servidor
de	de	SPS00	de
vm	VM	NP00000	VM
qe	que	PR0CN000	que
desea	desea	VMIP3S0	desear
servirle	servirle	VMN0000+PP3CSA00	servir+le
	,	Fc	,
Sor	señor	NP00000	señor
D	don	NP00000	don
Diego	Diego	NP00000	diego
Jil	Gil	NP00000	gil
Mi	Mi	DP1CSS	mi
sa	señora	NP00000	señor
doña	doña	NP00000	don
teresa	Teresa	NP00000	teresa
de	de	SPS00	de
ARellano	Arellano	NP00000	arellano
	.	Fp	.
