Jhus	Jesus	NP00000	jesus
	,	Fc	,
de	de	SPS00	de
lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
a	a	SPS00	a
5	5	Z	5
de	de	SPS00	de
junho	junho	NCMS000	junho
de	de	SPS00	de
1544	1544	NP00000	1544
Snor	Senhor	NP00000	senhor
nã	Não	RN	não
sei	sei	VMIP1S0	saber
quaes	quais	PR0CP000	qual
foi	foi	VSIS3S0	ser
a	a	DA0FS0	o
Rezam	razão	NCFS000	razão
q	que	PR0CN000	que
vos	vos	PP2CP000	vos
fez	fez	VMIS3S0	fazer
fazer	fazer	VMN0000	fazer
tam	tão	RC	tão
tam	tão	RC	tão
gramde	grande	AQ0CS0	grande
desmãcho	desmancho	NCMS000	desmancho
e	e	SPS00	de
dardes	dardes	VMN02P0	dar
tam	tão	RC	tão
ma	má	AQ0FS0	mau
comta	conta	NCFS000	conta
de	de	SPS00	de
vos	vós	PP2CP000	vós
	,	Fc	,
temdo	tendo	VMG0000	ter
tam	tão	RC	tão
pouqua	pouca	DI0FS0	pouco
Rezam	razão	NCFS000	razão
	,	Fc	,
q	que	CS	que
por	por	SPS00	por
serto	certo	NCMS000	certo
ẽ	em	SPS00	em
outra	outra	DI0FS0	outro
comta	conta	NCFS000	conta
ereis	éreis	VSII2P0	ser
avido	havido	VMP0000	haver
amtre	entre	SPS00	entre
que	que	PR0CN000	que
vos	vos	PP2CP000	vos
conhecya	conhecia	VMII0S0	conhecer
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
foy	foi	VSIS3S0	ser
cõselho	conselho	NCMS000	conselho
	,	Fc	,
vos	vós	PP2CP000	vós
ho	o	PP3MSA00	o
tivestes	tivestes	VMIP2S0	ter
bem	bem	RG	bem
Roim	ruim	AQ0CS0	ruim
e	e	CC	e
muito	muito	RQ	muito
pyor	pior	RC	pior
cabeça	cabeça	NCFS000	cabeça
	,	Fc	,
pois	pois	CS	pois
tam	tão	RC	tão
prestes	prestes	RG	prestes
vos	vos	PP2CP000	vos
cuadrou	quadrou	VMIS3S0	quadrar
	,	Fc	,
porq	porque	CS	porque
os	os	DA0MP0	o
oumes	homens	NCMP000	homem
de	de	SPS00	de
bem	bem	NCMS000	bem
e	e	CC	e
que	que	PR0CN000	que
tem	têm	VMIP3P0	ter
Vtuosas	virtuosas	AQ0FP0	virtuoso
molheres	mulheres	NCFP000	mulher
	,	Fc	,
como	como	PA000000	como
vos	vós	PP2CP000	vós
temdes	tendes	VMIP2P0	ter
	,	Fc	,
e	e	CC	e
que	que	CS	que
sempre	sempre	RG	sempre
cõ	com	SPS00	com
sua	sua	DP3FS0	seu
ẽdustra	indústria	NCFS000	indústria
vos	vos	PP2CP000	vos
ganhou	ganhou	VMIS3S0	ganhar
de	de	SPS00	de
comer	comer	VMN0000	comer
muito	muito	RQ	muito
homradamẽte	honradamente	RG	honradamente
	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
qua	cá	RG	cá
sabemos	sabemos	VMIP1P0	saber
todos	todos	DI0MP0	todo
	,	Fc	,
asy	assim	RG	assim
paretes	parentes	NCMP000	parente
seus	seus	DP3MP0	seu
como	como	CS	como
hos	os	DA0MP0	o
q	que	PR0CN000	que
a	a	PP3FSA00	o
mais	mais	RC	mais
conhecem	conhecem	VMIP3P0	conhecer
	,	Fc	,
nã	não	RN	não
ouveres	houvéreis	VMIM2P0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
tam	tão	RC	tão
gramde	grande	AQ0CS0	grande
mudamça	mudança	NCFS000	mudança
e	e	CC	e
fazer	fazer	VMN0000	fazer
la	lá	RG	lá
amostras	amostras	NCFP000	amostra
que	que	CS	que
era	era	VSII0S0	ser
ela	ela	PP3FS000	ele
causa	causa	NCFS000	causa
de	de	SPS00	de
vosa	vossa	DP2FSP	vosso
yda	ida	NCFS000	ida
	,	Fc	,
pois	pois	CS	pois
ela	ela	PP3FS000	ele
tynha	tinha	VMII0S0	ter
muita	muita	DI0FS0	muito
Rezam	razão	NCFS000	razão
pa	para	SPS00	para
a	a	PP3FSA00	o
muito	muito	DI0MS0	muito
homrardes	honrardes	VMN02P0	honrar
e	e	CC	e
ystimardes	estimardes	VMN02P0	estimar
e	e	CC	e
terves	ter-vos	VMN0000+PP2CP000	ter+vos
por	por	SPS00	por
muito	muito	DI0MS0	muito
bem avemturado	bem-aventurado	NCMS000	bem-aventurado
tella	tê-la	VMN0000+PP3FSA00	ter+o
por	por	SPS00	por
molher	mulher	NCFS000	mulher
	.	Fp	.
e	E	CC	e
ponho	ponho	VMIP1S0	pôr
ysto	isto	PD0NN000	isto
algũ	algum	DI0MS0	algum
gramde	grande	AQ0CS0	grande
pecado	pecado	NCMS000	pecado
voso	vosso	DP2MSP	vosso
q	que	PR0CN000	que
vos	vos	PP2CP000	vos
quer	quer	VMIP3S0	querer
fazer	fazer	VMN0000	fazer
perder	perder	VMN0000	perder
tam	tão	RC	tão
gramde	grande	AQ0CS0	grande
bem	bem	NCMS000	bem
ou	ou	CC	ou
tambem	também	RG	também
por	por	SPS00	por
a	a	PP3FSA00	o
vos	vós	PP2CP000	vós
nã	não	RN	não
merecerdes	merecerdes	VMN02P0	merecer
	.	Fp	.
e	E	CC	e
nã	não	RN	não
sei	sei	VMIP1S0	saber
como	como	PA000000	como
ysto	isto	PD0NN000	isto
ẽtemda	entenda	VMSP0S0	entender
pa	para	SPS00	para
que	que	CS	que
milhor	melhor	RC	melhor
ho	o	PP3MSA00	o
espreva	escreva	VMSP0S0	escrever
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
por	por	SPS00	por
serto	certo	NCMS000	certo
eu	eu	PP1CSN00	eu
puzer	puser	VMSF0S0	pôr
a	a	DA0FS0	o
mynha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
ẽ	em	SPS00	em
vosa	vossa	DP2FSP	vosso
mão	mão	NCFS000	mão
ao	ao	SPS00+DA0MS0	a+o
q	que	CS	que
me	me	PP1CS000	me
parece	parece	VMIP3S0	parecer
de	de	SPS00	de
bomdade	bondade	NCFS000	bondade
voso	vosso	DP2MSP	vosso
e	e	CC	e
sayr	sair	VMN0000	sair
tam	tão	RC	tão
gramde	grande	AQ0CS0	grande
desmãoço	desmancho	NCMS000	desmancho
	,	Fc	,
nã	não	RN	não
ho	o	PP3MSA00	o
poso	posso	VMIP1S0	poder
ẽtemder	entender	VMN0000	entender
	,	Fc	,
ymdo	indo	VMG0000	ir
vos	vós	PP2CP000	vós
tam	tão	RC	tão
qyeto	quieto	AQ0MS0	quieto
dequy	daqui	SPS00+RG	de+aqui
e	e	CC	e
cõ	com	SPS00	com
tamto	tanto	DI0MS0	tanto
amor	amor	NCMS000	amor
e	e	CC	e
cõ	com	SPS00	com
levar	levar	VMN0000	levar
fazemda	fazenda	NCFS000	fazenda
alhea	alheia	AQ0FS0	alheio
	.	Fp	.
e	E	CC	e
	,	Fc	,
sem	sem	SPS00	sem
este	este	DD0MS0	este
preposyto	propósito	NCMS000	propósito
	,	Fc	,
por	por	SPS00	por
serto	certo	NCMS000	certo
q	que	PR0CN000	que
temdes	tendes	VMIP2P0	ter
dado	dado	VMP0000	dar
ma	má	AQ0FS0	mau
comta	conta	NCFS000	conta
de	de	SPS00	de
vos	vós	PP2CP000	vós
	.	Fp	.
e	E	CC	e
mais	mais	RC	mais
vos	vos	PP2CP000	vos
dyguo	digo	VMIP1S0	dizer
q	que	CS	que
	,	Fc	,
louvores	louvores	NCMP000	louvor
a	a	SPS00	a
ds	Deus	NP00000	deus
	,	Fc	,
nã	não	RN	não
soys	sois	VSIP2P0	ser
qua	cá	RG	cá
necario	necessário	AQ0MS0	necessário
a	à	SPS00+DA0FS0	a+o
vosa	vossa	DP2FSP	vosso
molher	mulher	NCFS000	mulher
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
ganhar	ganhar	VMN0000	ganhar
de	de	SPS00	de
comer	comer	VMN0000	comer
	,	Fc	,
porq	porque	CS	porque
bem	bem	RG	bem
sabeis	sabeis	VMIP2P0	saber
vos	vós	PP2CP000	vós
q	que	CS	que
ho	o	PP3MSA00	o
sabe	sabe	VMIP3S0	saber
ela	ela	PP3FS000	ele
fazer	fazer	VMN0000	fazer
muito	muito	RQ	muito
homradamẽte	honradamente	RG	honradamente
e	e	CC	e
q	que	CS	que
nũqua	nunca	RN	nunca
agardou	aguardou	VMIS3S0	aguardar
por	por	SPS00	por
ho	o	DA0MS0	o
voso	vosso	DP2MSP	vosso
ganho	ganho	NCMS000	ganho
pa	para	SPS00	para
a	a	PP3FSA00	o
mãter	manter	VMN0000	manter
	!	Fa	!
e	E	CC	e
	,	Fc	,
quãdo	quando	CS	quando
ho	o	PP3MSA00	o
ela	ela	PP3FS000	ele
nã	não	RN	não
ganase	ganhasse	VMSI0S0	ganhar
	,	Fc	,
q	que	CS	que
por	por	SPS00	por
ha	a	DA0FS0	o
Rezam	razão	NCFS000	razão
q	que	PR0CN000	que
tem	tem	VMIP3S0	ter
cõ	com	SPS00	com
minha	minha	DP1FSS	meu
molher	mulher	NCFS000	mulher
e	e	CC	e
estam	estão	VMIP3P0	estar
so	só	RG	só
	,	Fc	,
a	a	PP3FSA00	o
teria	teria	VMIC0S0	ter
ẽ	em	SPS00	em
casa	casa	NCFS000	casa
muito	muito	RQ	muito
mymosa	mimosa	AQ0FS0	mimoso
	,	Fc	,
queremdo	querendo	VMG0000	querer
ela	ela	PP3FS000	ele
	,	Fc	,
e	e	CC	e
	,	Fc	,
a	a	SPS00	a
bem	bem	RG	bem
dysto	disto	SPS00+PD0NN000	de+isto
	,	Fc	,
tem	tem	VMIP3S0	ter
outras	outras	DI0FP0	outro
pesoas	pessoas	NCFP000	pessoa
q	que	PR0CN000	que
por	por	SPS00	por
ela	ela	PP3FS000	ele
facam	façam	VMSP3P0	fazer
	,	Fc	,
como	como	CS	como
bem	bem	RG	bem
sabeis	sabeis	VMIP2P0	saber
	.	Fp	.
e	E	CC	e
he	é	VSIP3S0	ser
escuzado	escusado	VMP00SM	escusar
falar	falar	VMN0000	falar
nyso	nisso	SPS00+PD0NN000	em+isso
	,	Fc	,
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
saberem	saberem	VMN03P0	saber
quã	quão	RC	quão
Vtuosa	virtuosa	AQ0FS0	virtuoso
ela	ela	PP3FS000	ele
he	é	VSIP3S0	ser
	,	Fc	,
achara	achará	VMIF3S0	achar
quẽ	quem	PR0CN000	quem
