snora	Senhora	NP00000	senhor
mto	Muito	RQ	muito
amada	amada	VMP00SF	amar
ma	Maria	NP00000	maria
sardinha	Sardinha	NP00000	sardinha
	,	Fc	,
mto	muito	RQ	muito
me	me	PP1CS000	me
peso	peso	NCMS000	peso
cõ	com	SPS00	com
hũa	uma	DI0FS0	um
nova	nova	NCFS000	novo
q	que	PR0CN000	que
ma	ma	PP1CS000+PP3FSA00	me+o
ca	cá	RG	cá
derã	deram	VMIS3P0	dar
de	de	SPS00	de
palava	palavra	NCFS000	palavra
	,	Fc	,
q	que	CS	que
carta	carta	NCFS000	carta
bosa	vossa	DP2FSP	vosso
não	não	RN	não
na	a	SPS00	a
vi	vi	VMIS1S0	ver
	.	Fp	.
bẽ	Bem	RG	bem
sei	sei	VMIP1S0	saber
quantos	quantos	PA000000	quanto
trabalos	trabalhos	NCMP000	trabalho
tendes	tendes	VMIP2P0	ter
	.	Fp	.
sabẽ	Sabe	VMIP3S0	saber
ds	Deus	NP00000	deus
quanto	quanto	PR0CN000	quanto
me	me	PP1CS000	me
doi	doi	VMIS1S0	doer
vervos	ver-vos	VMN0000+PP2CP000	doer
cansada	cansada	VMP00SF	cansar
	.	Fp	.
porẽ	Porém	RG	porém
niso	nisso	SPS00+PD0NN000	em+isso
se	se	P00CN000	se
ven	veem	VMIP3P0	ver
as	as	DA0FP0	o
critans	cristãs	AQ0FP0	cristão
mto	muito	RG	muito
moleres	melhores	AQ0CP0	melhor
porq	porque	CS	porque
nos	nos	SPS00+DA0MP0	em+o
trabalos	trabalhos	NCMP000	trabalho
se	se	P00CN000	se
parecem	parecem	VMIP3P0	parecer
as	as	DA0FP0	o
bdaderas	verdadeiras	AQ0FP0	verdadeiro
amigas	amigas	NCFP000	amigo
de	de	SPS00	de
ds	Deus	NP00000	deus
e	e	CC	e
de	de	SPS00	de
quẽ	quem	PR0CN000	quem
no	no	SPS00+DA0MS0	em+o
san	são	AQ0MS0	são
	,	Fc	,
polo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
peco	peço	VMIP1S0	pedir
	,	Fc	,
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
Jhs	JHS	NP00000	JHS
	,	Fc	,
q	que	CS	que
se	se	CS	se
não	não	RN	não
agaste	agaste	VMSP0S0	agastar
cõ	com	SPS00	com
eles	eles	PP3MP000	ele
porq	porque	CS	porque
crea	creia	VMSP0S0	crer
q	que	CS	que
ds	Deus	NP00000	deus
lho	lho	PP3CSD00+PP3MSA00	lhe+o
hade	há-de	VMIP3S0+SPS00	haver+de
pagar	pagar	VMN0000	pagar
bẽ	bem	RG	bem
e	e	CC	e
mais	mais	RC	mais
a	a	SPS00	a
quẽ	quem	PR0CN000	quem
serve	serve	VMIP3S0	servir
	,	Fc	,
q	que	CS	que
creo	creio	VMIP1S0	crer
eu	eu	PP1CSN00	eu
ser	ser	VSN0000	ser
mto	muito	RQ	muito
agardicido	agradecido	VMP00SM	agradecer
	.	Fp	.
não	Não	RN	não
vos	vos	PP2CP000	vos
lebre	lembre	VMSP0S0	lembrar
outre	outro	PI0MS000	outro
negẽ	ninguém	PI0NN00N	ninguém
porq	porque	CS	porque
bẽ	bem	RG	bem
sabeis	sabeis	VMIP2P0	saber
quẽ	quem	PR0CN000	quem
san	são	VSIP3P0	ser
paretes	parentes	NCMP000	parente
pois	pois	CS	pois
estais	estais	VMIP2P0	estar
no	no	SPS00+DA0MS0	em+o
cabo	cabo	NCMS000	cabo
dos	dos	SPS00+DA0MP0	de+o
trabalos	trabalhos	NCMP000	trabalho
	.	Fp	.
não	Não	RN	não
quiria	queria	VMII0S0	querer
q	que	CS	que
perdeses	perdesses	VMSI2S0	perder
ho	o	DA0MS0	o
mto	muito	NCMS000	muito
polo	pelo	SPS00+DA0MS0	por+o
poquo	pouco	NCMS000	pouco
diso	disso	SPS00+PD0NN000	de+isso
	.	Fp	.
isto	Isto	PD0NN000	isto
porq	porque	CS	porque
me	me	PP1CS000	me
diserã	disseram	VMIS3P0	dizer
q	que	CS	que
nos	nos	SPS00+DA0MP0	em+o
quiries	queríeis	NCMP000	queríei
ver	ver	VMN0000	ver
	.	Fp	.
por	Por	SPS00	por
amor	amor	NCMS000	amor
ds	Deus	NP00000	deus
vos	vos	PP2CP000	vos
peco	peço	VMIP1S0	pedir
q	que	CS	que
ho	o	DA0MS0	o
não	não	RN	não
facais	façais	VMSP2P0	fazer
	.	Fp	.
não	Não	RN	não
nos	nos	PP1CP000	nos
de	dê	VMSP0S0	dar
nada	nada	PI0NN00N	nada
de	de	SPS00	de
negẽ	ninguém	PI0NN00N	ninguém
ne	nem	CC	nem
tenhais	tenhais	VMSP2P0	ter
cõta	conta	NCFS000	conta
cõ	com	SPS00	com
mais	mais	RC	mais
q	que	CS	que
co	com	SPS00	com
ds	Deus	NP00000	deus
e	e	CC	e
cõ	com	SPS00	com
noso	Nosso	NP00000	nosso
snor	Senhor	NP00000	senhor
porq	porque	CS	porque
ele	ele	PP3MS000	ele
e	e	CC	e
ds	Deus	NP00000	deus
volo	vo-lo	PP2CP000+PP3MSA00	vos+o
