considerando	Considerando	VMG0000	considerar
la	la	DA0FS0	el
carestia	carestía	NCFS000	carestía
de	de	SPS00	de
los	los	DA0MP0	el
portes	portes	NCMP000	porte
y	y	CC	y
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
luvioso	lluvioso	AQ0MS0	lluvioso
y	y	CC	y
q	que	CS	que
no	no	RN	no
es	es	VSIP3S0	ser
muy	muy	RQ	muy
a	a	SPS00	a
proposito	propósito	NCMS000	propósito
para	para	SPS00	para
azar	azar	NCMS000	azar
	,	Fc	,
porque	porque	CS	porque
un	un	DI0MS0	uno
rrato	rato	NCMS000	rato
mal	mal	RG	mal
aran	harán	VMIF3P0	hacer
y	y	CC	y
otro	otro	PI0MS000	otro
huelgan	huelgan	VMIP3P0	holgar
	,	Fc	,
me	me	PP1CS000	me
pareçio	pareció	VMIS3S0	parecer
enbiar	enviar	VMN0000	enviar
por	por	SPS00	por
esas	esas	DD0FP0	ese
deçiseis	dieciséis	Z	16
hanegas	hanegas	NCFP000	hanega
de	de	SPS00	de
trigo	trigo	NCMS000	trigo
	.	Fp	.
vmd	VM	NP00000	VM
sea	sea	VSSP0S0	ser
servido	servido	VMP00SM	servir
sea	sea	VSSP0S0	ser
bueno	bueno	AQ0MS0	bueno
y	y	CC	y
linpio	limpio	AQ0MS0	limpio
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
les	les	PP3CPD00	le
diere	diere	VMSF0S0	dar
	.	Fp	.
el	El	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
por	por	SPS00	por
aca	acá	RG	acá
va	va	VMIP3S0	ir
muy	muy	RQ	muy
bueno	bueno	AQ0MS0	bueno
	,	Fc	,
q	que	CS	que
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
muy	muy	RQ	muy
neçesario	necesario	AQ0MS0	necesario
para	para	SPS00	para
rremediar	remediar	VMN0000	remediar
las	las	DA0FP0	el
plantas	plantas	NCFP000	planta
q	que	PR0CN000	que
se	se	P00CN000	se
perdian	perdían	VMII3P0	perder
por	por	SPS00	por
falta	falta	NCFS000	falta
de	de	SPS00	de
agua	agua	NCCS000	agua
	.	Fp	.
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
lo	lo	PP3CNA00	lo
lleve	lleve	VMSP0S0	llevar
adelante	adelante	RG	adelante
como	como	CS	como
puede	puede	VMIP3S0	poder
	.	Fp	.
yo	Yo	PP1CSN00	yo
pregunte	pregunté	VMIS1S0	preguntar
al	al	SPS00+DA0MS0	a+el
mayordomo	mayordomo	NCMS000	mayordomo
de	de	SPS00	de
ju	Juan	NP00000	juan
de	de	SPS00	de
vega	Vega	NP00000	vega
y	y	CC	y
si	si	CS	si
tenia	tenía	VMII0S0	tener
algun	algún	DI0MS0	alguno
niño	niño	NCMS000	niño
y	y	CC	y
me	me	PP1CS000	me
dixo	dijo	VMIS3S0	decir
que	que	CS	que
no	no	RN	no
	.	Fp	.
y	Y	CC	y
entendio	entiendo	VMIP1S0	entender
que	que	CS	que
dixo	dijo	VMIS3S0	decir
verdad	verdad	NCFS000	verdad
porque	porque	CS	porque
	,	Fc	,
en	en	SPS00	en
una	una	DI0FS0	uno
esecuçion	ejecución	NCFS000	ejecución
q	que	PR0CN000	que
le	le	PP3CSD00	le
hiçieron	hicieron	VMIS3P0	hacer
antes	antes	RG	antes
de	de	SPS00	de
s	San	NP00000	san
miguel	Miguel	NP00000	miguel
	,	Fc	,
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
devieron	debieron	VMIS3P0	deber
de	de	SPS00	de
llevar	llevar	VMN0000	llevar
	.	Fp	.
vmd	VM	NP00000	VM
lo	lo	PP3CNA00	lo
sabe	sabe	VMIP3S0	saber
por	por	SPS00	por
otra	otra	DI0FS0	otro
via	vía	NCFS000	vía
lo	lo	DA0NS0	el
q	que	PR0CN000	que
deviere	debiere	VMSF0S0	deber
y	y	CC	y
cobre	cobre	VMSP0S0	cobrar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
deviere	debiere	VMSF0S0	deber
	.	Fp	.
y	Y	CC	y
enbieme	envíeme	VMSP0S0+PP1CS000	enviar+me
dineros	dineros	NCMP000	dinero
	,	Fc	,
pues	pues	CS	pues
se	se	P00CN000	se
cunpliran	cumplirán	VMIF3P0	cumplir
presto	presto	RG	presto
dos	dos	Z	2
años	años	NCMP000	año
q	que	PR0CN000	que
vmd	VM	NP00000	VM
no	no	RN	no
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
enbiado	enviado	VMP0000	enviar
blanca	blanca	NCFS000	blanca
.	.	Fp	.
