Mui	Muy	RQ	muy
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
el	El	DA0MS0	el
cargo	cargo	NCMS000	cargo
que	que	PR0CN000	que
vmd	VM	NP00000	VM
haçe	hace	VMIP3S0	hacer
a	a	SPS00	a
estos	estos	DD0MP0	este
señores	señores	NCMP000	señor
del	del	SPS00+DA0MS0	de+el
ayuntamiento	ayuntamiento	NCMS000	ayuntamiento
d	de	SPS00	de
esta	esta	DD0FS0	este
villa	villa	NCFS000	villa
lo	lo	PP3CNA00	lo
me	me	PP1CS000	me
debe	debe	VMIP3S0	deber
haçer	hacer	VMN0000	hacer
a	a	SPS00	a
mi	mí	PP1CSO00	mí
	,	Fc	,
porque	porque	CS	porque
la	la	DA0FS0	el
que	que	PR0CN000	que
vmd	VM	NP00000	VM
les	les	PP3CPD00	le
ymbio	envío	VMIP1S0	enviar
el	el	DA0MS0	el
dia	día	NCMS000	día
onçe	once	Z	11
d	de	SPS00	de
este	este	DD0MS0	este
presente	presente	AQ0CS0	presente
mes	mes	NCMS000	mes
me	me	PP1CS000	me
mandaron	mandaron	VMIS3P0	mandar
respondiesse	respondiese	VMSI0S0	responder
	.	Fp	.
y	Y	CC	y
como	como	CS	como
la	la	DA0FS0	el
memoria	memoria	NCFS000	memoria
es	es	VSIP3S0	ser
tan	tan	RC	tan
frajil	frágil	AQ0CS0	frágil
se	se	P00CN000	se
me	me	PP1CS000	me
passo	pasó	VMIS3S0	pasar
	.	Fp	.
y	Y	CC	y
oi	hoy	RG	hoy
	,	Fc	,
dia	día	NCMS000	día
de	de	SPS00	de
la	la	DA0FS0	el
fha	fecha	NCFS000	fecha
d	de	SPS00	de
esta	ésta	PD0FS000	este
	,	Fc	,
me	me	PP1CS000	me
han	han	VAIP3P0	haber
dado	dado	VMP0000	dar
las	las	DA0FP0	el
graçias	gracias	NCFP000	gracia
por	por	SPS00	por
haber	haber	VAN0000	haber
tenido	tenido	VMP0000	tener
otra	otra	PI0FS000	otro
	.	Fp	.
y	Y	CC	y
assi	así	RG	así
vmd	VM	NP00000	VM
no	no	RN	no
los	los	PP3MPA00	lo
culpe	culpe	VMSP0S0	culpar
,	,	Fc	,
si	si	CS	si
a	a	SPS00	a
mi	mi	DP1CSS	mi
solo	sólo	RG	sólo
,	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
la	la	DA0FS0	el
Respuesta	respuesta	NCFS000	respuesta
que	que	PR0CN000	que
me	me	PP1CS000	me
an	han	VAIP3P0	haber
dado	dado	VMP0000	dar
para	para	SPS00	para
que	que	CS	que
se	se	PP3CN000	se
la	la	PP3FSA00	lo
Partiçipe	participe	VMSP0S0	participar
a	a	SPS00	a
vmd	VM	NP00000	VM
	,	Fc	,
es	es	VSIP3S0	ser
que	que	CS	que
estan	están	VMIP3P0	estar
con	con	SPS00	con
gran	gran	AQ0CS0	gran
desseo	deseo	NCMS000	deseo
de	de	SPS00	de
cumplir	cumplir	VMN0000	cumplir
con	con	SPS00	con
vmd	VM	NP00000	VM
	,	Fc	,
mas	mas	CC	mas
que	que	CS	que
no	no	RN	no
es	es	VSIP3S0	ser
possible	posible	AQ0CS0	posible
hasta	hasta	SPS00	hasta
que	que	CS	que
se	se	P00CN000	se
cojan	cojan	VMSP3P0	coger
los	los	DA0MP0	el
Granos	granos	NCMP000	grano
(	(	Fba	(
que	que	CS	que
ya	ya	RG	ya
pareçe	parece	VMIP3S0	parecer
estan	están	VMIP3P0	estar
çerca	cerca	RG	cerca
)	)	Fbt	)
por	por	SPS00	por
los	los	DA0MP0	el
pocos	pocos	DI0MP0	poco
Possibles	posibles	AQ0CP0	posible
en	en	SPS00	en
que	que	CS	que
al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
se	se	P00CN000	se
allan	hallan	VMIP3P0	hallar
los	los	DA0MP0	el
veçinos	vecinos	NCMP000	vecino
que	que	CS	que
lo	lo	PP3CNA00	lo
deben	deben	VMIP3P0	deber
;	.	Fp	.
Y	Y	CC	y
en	en	SPS00	en
esta	esta	DD0FS0	este
consideraçion	consideración	NCFS000	consideración
Podra	podrá	VMIF3S0	poder
vmd	VM	NP00000	VM
tener	tener	VMN0000	tener
Paçiençia	paciencia	NCFS000	paciencia
y	y	CC	y
perdonar	perdonar	VMN0000	perdonar
por	por	SPS00	por
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
Referido	referido	VMP00SM	referir
	.	Fp	.
quedo	Quedo	VMIP1S0	quedar
al	al	SPS00+DA0MS0	a+el
serbiçio	servicio	NCMS000	servicio
de	de	SPS00	de
vmd	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
gde	guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
velmonte	Belmonte	NCMS000	belmonte
de	de	SPS00	de
tajo	Tajo	NP00000	tajo
	,	Fc	,
y	y	CC	y
junio	junio	NCMS000	junio
23	23	Z	23
de	de	SPS00	de
97	97	Z	97
	.	Fp	.
Por	Por	SPS00	por
mdo	mandado	NCMS000	mandado
d	de	SPS00	de
esta	esta	DD0FS0	este
va	villa	NCFS000	villa
como	como	CS	como
sdor	servidor	NCMS000	servidor
de	de	SPS00	de
vmd	VM	NP00000	VM
y	y	CC	y
s	sus	DP3CP0	su
m	manos	NCFP000	mano
b	besa	VMIP3S0	besar
	,	Fc	,
licdo	licenciado	NP00000	licenciado
Morate	Morate	NP00000	morate
Sr	Señor	NP00000	señor
doctor	doctor	NP00000	doctor
franco	Francisco	NP00000	francisco
Mz	Martínez	NP00000	martínez
de	de	SPS00	de
leon	León	NP00000	león
	.	Fp	.
