yo	Yo	PP1CSN00	yo
habia	había	VAII0S0	haber
ablado	hablado	VMP0000	hablar
a	a	SPS00	a
Anto	Antonio	NP00000	antonio
diez	Díez	NP00000	díez
y	y	CC	y
me	me	PP1CS000	me
dixo	dijo	VMIS3S0	decir
seria	sería	VSIC0S0	ser
cierto	cierto	AQ0MS0	cierto
lo	lo	PP3CNA00	lo
del	del	SPS00+DA0MS0	de+el
Conbento	convento	NCMS000	convento
	,	Fc	,
pero	pero	CC	pero
si	si	CS	si
te	te	PP2CS000	te
pareçe	parece	VMIP3S0	parecer
esa	esa	DD0FS0	ese
casa	casa	NCFS000	casa
mexor	mejor	AQ0CS0	mejor
no	no	RN	no
la	la	PP3FSA00	lo
pierdas	pierdas	VMSP2S0	perder
	.	Fp	.
asta	Hasta	SPS00	hasta
mañana	mañana	RG	mañana
es	es	VSIP3S0	ser
impusible	imposible	AQ0CS0	imposible
berte	verte	VMN0000+PP2CS000	ver+te
ni	ni	CCN	ni
darte	darte	VMN0000+PP2CS000	dar+te
nada	nada	PI0NN00N	nada
aunque	aunque	CS	aunque
estes	estés	VMSP2S0	estar
acomodada	acomodada	VMP00SF	acomodar
	.	Fp	.
te	Te	PP2CS000	te
lo	lo	PP3CNA00	lo
imbiare	enviaré	VMIF1S0	enviar
con	con	SPS00	con
ordas	Ordas	NP00000	ordas
u	o	CC	o
lo	lo	PP3CNA00	lo
dare	daré	VMIF1S0	dar
a	a	SPS00	a
quien	quien	PR0CS000	quien
quisieres	quisieres	VMSF2S0	querer
	.	Fp	.
y	Y	CC	y
si	si	CS	si
oy	hoy	RG	hoy
no	no	RN	no
te	te	PP2CS000	te
acomodares	acomodares	VMSF2S0	acomodar
	,	Fc	,
te	te	PP2CS000	te
podre	podré	VMIF1S0	poder
ber	ver	VMN0000	ver
mañana	mañana	RG	mañana
	,	Fc	,
que	que	CS	que
oy	hoy	RG	hoy
estoi	estoy	VMIP1S0	estar
ocupado	ocupado	VMP00SM	ocupar
y	y	CC	y
asta	hasta	SPS00	hasta
la	la	DA0FS0	el
noche	noche	NCFS000	noche
sera	será	VSIF3S0	ser
impusible	imposible	AQ0CS0	imposible
	.	Fp	.
dios	Dios	NP00000	dios
t	te	PP2CS000	te
g	guarde	VMSP0S0	guardar
	.	Fp	.
