Jhs	JHS	NP00000	jhs
	,	Fc	,
Ma	María	NP00000	maría
Charissma	Carísima	AQSFS0	caro
mia	mía	DP1FSS	mío
	.	Fp	.
no	No	RN	no
quiero	quiero	VMIP1S0	querer
que	que	CS	que
comuniques	comuniques	VMSP2S0	comunicar
tu	tu	DP2CSS	tu
alma	alma	NCFS000	alma
con	con	SPS00	con
nadie	nadie	PI0NN00N	nadie
:	,	Fc	,
que	que	CS	que
te	te	PP2CS000	te
importa	importa	VMIP3S0	importar
muchissimo	muchísimo	RS	muchísimo
	.	Fp	.
Con	Con	SPS00	con
todo	todo	DI0MS0	todo
sigilo	sigilo	NCMS000	sigilo
acavo	acabo	VMIP1S0	acabar
de	de	SPS00	de
responderte	responderte	VMN0000+PP2CS000	responder+te
.	.	Fp	.
Yo	Yo	PP1CSN00	yo
hago	hago	VMIP1S0	hacer
una	una	DI0FS0	uno
buena	buena	AQ0FS0	bueno
apuesta	apuesta	NCFS000	apuesta
	:	Fd	:
que	que	CS	que
no	no	RN	no
has	has	VAIP2S0	haber
entendido	entendido	VMP0000	entender
el	el	DA0MS0	el
villancico	villancico	NCMS000	villancico
del	del	SPS00+DA0MS0	de+el
Aguililla	aguililla	NP00000	aguililla
y	y	CC	y
que	que	CS	que
habra	habrá	VMIF3S0	haber
ya	ya	RG	ya
algunos	algunos	DI0MP0	alguno
enbelecos	enbelecos	NCMP000	enbeleco
en	en	SPS00	en
su	su	DP3CS0	su
Inteliga	inteligencia	NCFS000	inteligencia
	.	Fp	.
Pues	Pues	CS	pues
en	en	SPS00	en
ese	ese	DD0MS0	ese
villançico	villancico	NCMS000	villancico
se	se	P00CN000	se
pinta	pinta	VMIP3S0	pintar
al	al	SPS00+DA0MS0	a+el
alma	alma	NCFS000	alma
contemplando	contemplando	VMG0000	contemplar
al	al	SPS00+DA0MS0	a+el
verbo	verbo	NCMS000	verbo
divino	divino	AQ0MS0	divino
su	su	DP3CS0	su
celestial	celestial	AQ0CS0	celestial
esposo	esposo	NCMS000	esposo
con	con	SPS00	con
el	el	DA0MS0	el
un	un	DI0MS0	uno
ojo	ojo	NCMS000	ojo
	,	Fc	,
y	y	CC	y
con	con	SPS00	con
el	el	DA0MS0	el
otro	otro	PI0MS000	otro
atendiendo	atendiendo	VMG0000	atender
a	a	SPS00	a
no	no	RN	no
especular	especular	VMN0000	especular
la	la	DA0FS0	el
dibinidad	divinidad	NCFS000	divinidad
y	y	CC	y
a	a	SPS00	a
no	no	RN	no
ofender	ofender	VMN0000	ofender
al	al	SPS00+DA0MS0	a+el
sr	Señor	NP00000	señor
	.	Fp	.
abismase	Abísmase	VMIP3S0+P00CN000	abismar+se
en	en	SPS00	en
la	la	DA0FS0	el
nada	nada	RQ	nada
y	y	CC	y
con	con	SPS00	con
el	el	DA0MS0	el
conozimto	conocimiento	NCMS000	conocimiento
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
es	es	VSIP3S0	ser
	,	Fc	,
asi	así	RG	así
el	el	DA0MS0	el
alma	alma	NCFS000	alma
como	como	CS	como
el	el	DA0MS0	el
cuerpo	cuerpo	NCMS000	cuerpo
	,	Fc	,
tierra	tierra	NCFS000	tierra
y	y	CC	y
ceniza	ceniza	NCFS000	ceniza
y	y	CC	y
nada	nada	RQ	nada
ea	etc	NCMS000	etcétera
	.	Fp	.
sale	Sale	VMIP3S0	salir
de	de	SPS00	de
si	sí	RG	sí
con	con	SPS00	con
buelo	vuelo	NCMS000	vuelo
de	de	SPS00	de
amor	amor	NCMS000	amor
sin	sin	SPS00	sin
temer	temer	VMN0000	temer
al	al	SPS00+DA0MS0	a+el
demonio	demonio	NCMS000	demonio
y	y	CC	y
sube	sube	VMIP3S0	subir
el	el	DA0MS0	el
spiritu	espíritu	NCMS000	espíritu
hasta	hasta	SPS00	hasta
la	la	PP3FSA00	lo
llama	llama	VMIP3S0	llamar
serafica	seráfica	AQ0FS0	seráfico
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
estando	estando	VMG0000	estar
el	el	DA0MS0	el
spiritu	Espíritu	NP00000	espíritu
sto	Santo	NP00000	santo
comunicale	comunícale	SPS00	comunícale
luego	luego	RG	luego
de	de	SPS00	de
su	su	DP3CS0	su
amor	amor	NCMS000	amor
al	al	SPS00+DA0MS0	a+el
corazon	corazón	NCMS000	corazón
;	.	Fp	.
y	Y	CC	y
ella	ella	PP3FS000	él
no	no	RN	no
sabe	sabe	VMIP3S0	saber
como	cómo	PA000000	cómo
es	es	VSIP3S0	ser
esto	esto	PD0NN000	esto
porque	porque	CS	porque
entonces	entonces	RG	entonces
esta	está	VMIP3S0	estar
en	en	SPS00	en
una	una	DI0FS0	uno
suma	suma	NCFS000	suma
ignorancia	ignorancia	NCFS000	ignorancia
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
que	que	CS	que
decir	decir	VMN0000	decir
en	en	SPS00	en
la	la	DA0FS0	el
sabiduria	sabiduría	NCFS000	sabiduría
;	,	Fc	,
si	si	CS	si
bien	bien	RG	bien
tiene	tiene	VMIP3S0	tener
tanta	tanta	DI0FS0	tanto
que	que	CS	que
cura	cura	NCMS000	cura
en	en	SPS00	en
su	su	DP3CS0	su
contemplacion	contemplación	NCFS000	contemplación
que	que	CS	que
no	no	RN	no
es	es	VSIP3S0	ser
facil	fácil	AQ0CS0	fácil
explicarla	explicarla	VMN0000+PP3FSA00	explicar+lo
:	.	Fp	.
manifiestale	Manifiéstale	NP00000	manifiéstale
su	su	DP3CS0	su
amor	amor	NCMS000	amor
con	con	SPS00	con
correspondencia	correspondencia	NCFS000	correspondencia
secretissima	secretísima	NCFS000	secretísima
y	y	CC	y
	,	Fc	,
estando	estando	VMG0000	estar
en	en	SPS00	en
este	este	DD0MS0	este
sueño	sueño	NCMS000	sueño
de	de	SPS00	de
amor	amor	NCMS000	amor
que	que	PR0CN000	que
entonces	entonces	RG	entonces
duerme	duerme	VMIP3S0	dormir
a	a	SPS00	a
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
es	es	VSIP3S0	ser
mundo	mundo	NCMS000	mundo
	,	Fc	,
esta	está	VMIP3S0	estar
bien	bien	RG	bien
despierta	despierta	VMIP3S0	despertar
a	a	SPS00	a
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
