qrido	Querido	VMP00SM	querer
mio	mío	DP1MSS	mío
de	de	SPS00	de
mi	mi	DP1CSS	mi
coracon	corazón	NCMS000	corazón
	.	Fp	.
no	No	RN	no
te	te	PP2CS000	te
prode	podré	VMIF1S0	poder
sinificar	significar	VMN0000	significar
el	el	DA0MS0	el
sumo	sumo	AQ0MS0	sumo
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
saber	saber	VMN0000	saber
de	de	SPS00	de
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
y	y	CC	y
el	el	DA0MS0	el
ber	ver	VMN0000	ver
tus	tus	DP2CPS	tu
letras	letras	NCFP000	letra
	,	Fc	,
pues	pues	CS	pues
con	con	SPS00	con
ellas	ellas	PP3FP000	ellos
crobra	cobra	VMIP3S0	cobrar
la	la	DA0FS0	el
alegria	alegría	NCFS000	alegría
de	de	SPS00	de
mi	mi	DP1CSS	mi
coracon	corazón	NCMS000	corazón
	,	Fc	,
y	y	CC	y
en	en	SPS00	en
ber	ver	VMN0000	ver
tu	tu	DP2CSS	tu
mucho	mucho	DI0MS0	mucho
cariño	cariño	NCMS000	cariño
	.	Fp	.
y	Y	CC	y
t	te	PP2CS000	te
estimo	estimo	VMIP1S0	estimar
mucho	mucho	RQ	mucho
el	el	DA0MS0	el
calcado	calzado	NCMS000	calzado
que	que	PR0CN000	que
esconde	esconde	VMIP3S0	esconder
tu	tu	DP2CSS	tu
mano	mano	NCFS000	mano
	,	Fc	,
porque	porque	CS	porque
cuantas	cuantas	DT0FP0	cuanto
lo	lo	PP3CNA00	lo
an	han	VAIP3P0	haber
bisto	visto	VMP0000	ver
lo	lo	PP3CNA00	lo
agradecen	agradecen	VMIP3P0	agradecer
i	y	CC	y
no	no	RN	no
se	se	P00CN000	se
artan	hartan	VMIP3P0	hartar
de	de	SPS00	de
echarte	echarte	VMN0000+PP2CS000	echar+te
mil	mil	Z	1000
bendicion	bendición	NCFS000	bendición
	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
señor	señora	NP00000	señor
abadesa	abadesa	NCFS000	abade
digo	dijo	VMIS3S0	decir
que	que	CS	que
con	con	SPS00	con
que	qué	PT0CN000	qué
a	ha	VMIP3S0	haber
pagar	pagar	VMN0000	pagar
este	este	DD0MS0	este
corino	cariño	NCMS000	cariño
que	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
	;	Fx	;
que	que	CS	que
no	no	RN	no
merece	merece	VMIP3S0	merecer
que	que	CS	que
agan	hagan	VMSP3P0	hacer
con	con	SPS00	con
el	él	PP3MS000	él
lo	lo	DA0NS0	el
que	que	PR0CN000	el
acen	hacen	VMIP3P0	hacer
	;	Fx	;
q	que	CS	que
tiene	tiene	VMIP3S0	tener
megores	mejores	AQ0CP0	mejor
atenciones	atenciones	NCFP000	atención
que	que	CS	que
ninguno	ninguno	PI0MS00N	ninguno
de	de	SPS00	de
ellos	ellos	PP3MP000	ellos
	.	Fp	.
y	Y	CC	y
no	no	RN	no
digo	digo	VMIP1S0	decir
que	que	CS	que
en	en	SPS00	en
todo	todo	PI0MS000	todo
dice	dice	VMIP3S0	decir
berda	verdad	NCFS000	verdad
	.	Fp	.
mi	Mi	DP1CSS	mi
padere	padre	NCMS000	padre
bino	vino	VMIS3S0	venir
el	el	DA0MS0	el
otro	otro	DI0MS0	otro
dia	día	NCMS000	día
i	y	CC	y
salio	salió	VMIS3S0	salir
su	su	DP3CS0	su
nuera	nuera	NCFS000	nuera
i	y	CC	y
le	le	PP3CSD00	le
digo	dijo	VMIS3S0	decir
mucho	mucho	RQ	mucho
	,	Fc	,
de	de	SPS00	de
manera	manera	NCFS000	manera
que	que	CS	que
no	no	RN	no
an	han	VAIP3P0	haber
buelto	vuelto	VMP0000	volver
ninguno	ninguno	PI0MS00N	ninguno
	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
que	que	CS	que
abisarate	avisarte	VMN0000+PP2CS000	avisar+te
de	de	SPS00	de
nada	nada	PI0NN00N	nada
	,	Fc	,
porque	porque	CS	porque
ben	ven	VMIP3P0	ver
su	su	DP3CS0	su
pleito	pleito	NCMS000	pleito
mui	muy	RQ	muy
malo	malo	AQ0MS0	malo
y	y	CC	y
el	el	DA0MS0	el
mio	mío	PX1MS0S0	mío
gueno	bueno	AQ0MS0	bueno
	.	Fp	.
no	No	RN	no
se	se	P00CN000	se
me	me	PP1CS000	me
ofrece	ofrece	VMIP3S0	ofrecer
sino	sino	CC	sino
el	el	DA0MS0	el
verte	verte	VMN0000+PP2CS000	ver+te
i	y	CC	y
que	que	CS	que
sea	sea	VSSP0S0	ser
pronto	pronto	RG	pronto
	,	Fc	,
que	que	CS	que
ia	ya	RG	ya
es	es	VSIP3S0	ser
rracon	razón	NCFS000	razón
	.	Fp	.
abisame	Avísame	VMM02S0+PP1CS000	avisar+me
si	si	CS	si
as	has	VAIP2S0	haber
bisto	visto	VMP0000	ver
a	a	SPS00	a
mi	mi	DP1CSS	mi
ermana	hermana	NCFS000	hermano
y	y	CC	y
si	si	CS	si
esta	está	VMIP3S0	estar
buena	buena	AQ0FS0	bueno
	,	Fc	,
que	que	CS	que
te	te	PP2CS000	te
lo	lo	PP3CNA00	lo
enbi	envía	VMIP3S0	enviar
a	a	SPS00	a
decir	decir	VMN0000	decir
i	y	CC	y
no	no	RN	no
me	me	PP1CS000	me
respordes	respondes	VMIP2S0	responder
	.	Fp	.
de	De	SPS00	de
doña	doña	NP00000	don
maria	María	NP00000	maría
de	de	SPS00	de
los	los	DA0MP0	el
reies	Reyes	NCMP000	rey
rrecibe	recibe	VMIP3S0	recibir
muchos	muchos	DI0MP0	mucho
rrecados	recados	NCMP000	recado
i	y	CC	y
de	de	SPS00	de
doña	doña	NP00000	don
ysabel	Isabel	NP00000	isabel
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
señora	señora	NP00000	señor
abadesa	abadesa	NCFS000	abade
.	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
	,	Fc	,
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
mendoco	Mendoza	NP00000	mendoza
y	y	CC	y
morales	Morales	NP00000	morales
mi	Mi	DP1CSS	mi
esposo	esposo	NP00000	esposo
don	don	NP00000	don
francisco	Francisco	NP00000	francisco
portillo	Portillo	NCMS000	portillo
de	de	SPS00	de
la	la	DA0FS0	el
peña	Peña	NP00000	peña
	.	Fp	.
