qrido	Querido	VMP00SM	querer
mio	mío	DP1MSS	mío
	.	Fp	.
con	Con	SPS00	con
mucha	mucha	DI0FS0	mucho
peradumbere	pesadumbre	NCFS000	pesadumbre
estoi	estoy	VMIP1S0	estar
	,	Fc	,
aunque	aunque	CS	aunque
no	no	RN	no
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
que	que	CS	que
tenella	tenerla	VMN0000+PP3FSA00	tener+lo
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
mi	mi	DP1CSS	mi
ermana	hermana	NCFS000	hermano
y	y	CC	y
tuia	tuya	PX2FS0S0	tuyo
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
pesa	pesa	VMIP3S0	pesar
q	que	CS	que
aigas	hayas	VASP2S0	haber
tenido	tenido	VMP0000	tener
pesadunber	pesadumbre	NCFS000	pesadumbre
de	de	SPS00	de
cosa	cosa	NCFS000	cosa
que	que	CS	que
no	no	RN	no
tien	tiene	VMIP3S0	tener
fundamento	fundamento	NCMS000	fundamento
	,	Fc	,
pues	pues	CS	pues
el	el	DA0MS0	el
fundamento	fundamento	NCMS000	fundamento
que	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
mi	mi	DP1CSS	mi
padere	padre	NCMS000	padre
escribio	escribió	VMIS3S0	escribir
	,	Fc	,
siendo	siendo	VSG0000	ser
mentira	mentira	NCFS000	mentira
que	que	CS	que
a	a	SPS00	a
bos	vos	PP2CS000	vos
de	dé	VMSP0S0	dar
una	una	DI0FS0	uno
comunida	comunidad	NCFS000	comunidad
	.	Fp	.
es	Es	VSIP3S0	ser
mi	muy	RQ	muy
feo	feo	AQ0MS0	feo
eso	eso	PD0NN000	eso
y	y	CC	y
diciendolo	diciéndolo	VMG0000+PP3MSA00	decir+lo
mi	mi	DP1CSS	mi
padere	padre	NCMS000	padre
que	que	PR0CN000	que
ace	hace	VMIP3S0	hacer
mucha	mucha	DI0FS0	mucho
fuerca	fuerza	NCFS000	fuerza
	.	Fp	.
y	Y	CC	y
asina	así	RG	así
por	por	SPS00	por
amo	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
que	que	CS	que
no	no	RN	no
agas	hagas	VMSP2S0	hacer
caso	caso	NCMS000	caso
de	de	SPS00	de
nada	nada	PI0NN00N	nada
	,	Fc	,
que	que	CS	que
todo	todo	PI0MS000	todo
es	es	VSIP3S0	ser
mentira	mentira	NCFS000	mentira
	.	Fp	.
y	Y	CC	y
no	no	RN	no
te	te	PP2CS000	te
se	se	P00CN000	se
ponga	ponga	VMSP0S0	poner
nada	nada	PI0NN00N	nada
por	por	SPS00	por
delante	delante	RG	delante
	,	Fc	,
que	que	CS	que
no	no	RN	no
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
otro	otro	DI0MS0	otro
amor	amor	NCMS000	amor
sino	sino	CC	sino
el	el	DA0MS0	el
tuuo	tuyo	PX2MS0S0	tuyo
	,	Fc	,
y	y	CC	y
el	el	DA0MS0	el
perimero	primero	RG	primero
no	no	RN	no
es	es	VSIP3S0	ser
tan	tan	RC	tan
facil	fácil	AQ0CS0	fácil
de	de	SPS00	de
quitar	quitar	VMN0000	quitar
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
quedate	quédate	VMM02S0+PP2CS000	quedar+te
a	a	SPS00	a
dios	Dios	NP00000	dios
	,	Fc	,
que	que	CS	que
te	te	PP2CS000	te
me	me	PP1CS000	me
dege	deje	VMSP0S0	dejar
ber	ver	VMN0000	ver
	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
	,	Fc	,
ynes	Inés	NP00000	inés
florenca	Florencia	NP00000	florencia
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
