su	Su		
carta	carta		
de	de		
vm	VM		
rrezyvy	recibí		
y	y		
con	con		
ella	ella		
mucha	mucha		
m	merced		
	,		
porq	porque		
deseava	deseaba		
saber	saber		
sy	si		
avyan	habían		
llegado	llegado		
las	las		
myas	mías		
a	a		
manos	manos		
de	de		
vm	VM		
	.		
y	Y		
ansy	así		
las	las		
beso	beso		
a	a		
vm	VM		
por	por		
todo	todo		
lo	lo		
q	que		
me	me		
dyze	dice		
en	en		
esta	ésta		
	.		
y	Y		
el	el		
conde	conde		
y	y		
yo	yo		
estamos	estamos		
byen	bien		
syertos	ciertos		
de	de		
rrezyvyrla	recibirla		
como	como		
en	en		
todas	todas		
las	las		
ocasyones	ocasiones		
q	que		
se	se		
nos	nos		
an	han		
ofrezydo	ofrecido		
nos	nos		
la	la		
a	ha		
echo	hecho		
vm	VM		
	,		
y	y		
syenpre	siempre		
estaremos	estaremos		
con	con		
este	este		
rreconozymyento	reconocimiento		
en	en		
el	el		
alma	alma		
	.		
syento	Siento		
las	las		
pesadumbres	pesadumbres		
q	que		
se	se		
le	le		
an	han		
ofrezydo	ofrecido		
a	a		
vm	VM		
y	y		
la	la		
perdyda	pérdida		
de	de		
hazyenda	hacienda		
por	por		
abernos	habernos		
socorrydo	socorrido		
y	y		
echo	hecho		
m	merced		
con	con		
ella	ella		
en	en		
la	la		
de	de		
tanta	tanta		
nesesydad	necesidad		
como	como		
la	la		
q	que		
rrespresentamos	representamos		
a	a		
vm	VM		
cuando	cuando		
nos	nos		
dyo	dio		
syete	siete		
myl	mil		
ducados	ducados		
	.		
y	Y		
lo	lo		
q	que		
e	he		
scryto	escrito		
a	a		
vm	VM		
como	como		
es	es		
pura	pura		
berdad	verdad		
lo	lo		
buelbo	vuelvo		
a	a		
escryvyr	escribir		
en	en		
esta	ésta		
	.		
yo	Yo		
le	le		
dyje	dije		
a	a		
vm	VM		
q	que		
esperava	esperaba		
en	en		
dyos	Dios		
q	que		
los	los		
onze	once		
myl	mil		
ducados	ducados		
	(		
dygo	digo		
los	los		
syete	siete		
myl	mil		
	)		
q	que		
nos	nos		
dyo	dio		
y	y		
los	los		
cuatro	cuatro		
de	de		
corrydos	corridos		
se	se		
les	les		
avyamos	habíamos		
de	de		
dar	dar		
todos	todos		
juntos	juntos		
a	a		
vm	VM		
	.		
y	Y		
esto	esto		
	,		
q	que		
le	le		
avya	había		
de	de		
poner	poner		
anymo	ánimo		
a	a		
vm	VM		
pa	para		
estar	estar		
con	con		
gusto	gusto		
	,		
me	me		
pareze	parece		
se	se		
lo	lo		
a	ha		
quytado	quitado		
	.		
pues	Pues		
	,		
señor	señor		
bartolome	Bartolomé		
de	de		
cartajena	Cartagena		
	,		
vm	VM		
le	le		
puede	puede		
tener	tener		
muy	muy		
gde	grande		
y	y		
estar	estar		
sertysymo	certísimo		
trata	trata		
con	con		
personas	personas		
q	que		
	,		
anq	aunque		
bendyesen	vendiesen		
los	los		
hyjos	hijos		
	,		
an	han		
de	de		
cumplyr	cumplir		
con	con		
mucha	mucha		
puntualydad	puntualidad		
con	con		
vm	VM		
	.		
y	Y		
ansy	así		
dygo	digo		
y	y		
q	que		
no	no		
gde	guarde		
esta	esta		
carta	carta		
	,		
q	que		
solo	sólo		
no	no		
queremos	queremos		
el	el		
conde	conde		
ny	ni		
yo	yo		
q	que		
nos	nos		
espere	espere		
	.		
y	Y		
q	que		
las	las		
myl	mil		
cargas	cargas		
de	de		
trygo	trigo		
ny	ni		
estaran	estarán		
oblygadas	obligadas		
ny	ni		
se	se		
tocaran	tocarán		
a	a		
ellas	ellas		
ny	ni		
aun	aun		
con	con		
el	el		
pensamyento	pensamiento		
se	se		
llegara	llegará		
a	a		
grano	grano		
d	de		
ellas	ellas		
	,		
syno	sino		
q	que		
se	se		
guardaran	guardarán		
pa	para		
q	que		
vm	VM		
se	se		
haga	haga		
pagado	pagado		
de	de		
los	los		
cuatro	cuatro		
myl	mil		
ducados	ducados		
de	de		
los	los		
rredytos	réditos		
q	que		
nos	nos		
espera	espera		
asta	hasta		
el	el		
dya	día		
q	que		
se	se		
complyren	cumplieren		
los	los		
cuatro	cuatro		
años	años		
	.		
y	Y		
q	que		
lo	lo		
prynsypal	principal		
tanbyen	también		
procuraremos	procuraremos		
rredemyr	redimir		
como	como		
cosa	cosa		
q	que		
nos	nos		
ba	va		
tanto	tanto		
en	en		
ello	ello		
	,		
pues	pues		
pagados	pagados		
myl	mil		
ducados	ducados		
de	de		
rredytos	réditos		
myre	mire		
vm	VM		
lo	lo		
q	que		
nos	nos		
ba	va		
de	de		
quytar	quitar		
de	de		
nra	nuestra		
hazzyenda	hacienda		
tan	tan		
gran	gran		
carga	carga		
	.		
y	Y		
nynguna	ninguna		
mayor	mayor		
q	que		
el	el		
deseo	deseo		
q	que		
tenemos	tenemos		
q	que		
no	no		
padesca	padezca		
la	la		
de	de		
vm	VM		
y	y		
la	la		
de	de		
sus	sus		
hyjos	hijos		
	,		
a	a		
qyuen	quien		
deseo	deseo		
yo	yo		
servyr	servir		
y	y		
ayudarles	ayudarles		
con	con		
la	la		
q	que		
yo	yo		
tuvyera	tuviera		
	,		
cuanto	cuanto		
y	y		
mas	más		
quytarle	quitarle		
la	la		
suya	suya		
	.		
y	Y		
d	de		
esta	esta		
berdad	verdad		
buelbo	vuelvo		
a	a		
sygurar	asegurar		
a	a		
vm	VM		
q	que		
lo	lo		
este	esté		
como	como		
de	de		
ser	ser		
crystyano	cristiano		
	,		
q	que		
la	la		
tyene	tiene		
vm	VM		
y	y		
ellos	ellos		
sygurysyma	segurísima		
	.		
y	Y		
ansy	así		
dygo	digo		
	,		
señor	señor		
	,		
pa	para		
