mui	Muy	RQ	muy
sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
a	A	SPS00	a
nobedad	novedad	NCFS000	novedad
tendra	tendrá	VMIF3S0	tener
vm	VM	NP00000	VM
estos	estos	DD0MP0	este
Renglones	renglones	NCMP000	renglón
	,	Fc	,
mas	mas	CC	mas
en	en	SPS00	en
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
no	no	RN	no
puedo	puedo	VMIP1S0	poder
degar	dejar	VMN0000	dejar
de	de	SPS00	de
cansallo	cansarlo	VMN0000+PP3MSA00	cansar+lo
	.	Fp	.
alegrareme	Alegrareme	VMIF1S0+PP1CS000	alegrar+me
en	en	SPS00	en
mi	mi	DP1CSS	mi
coraçon	corazón	NCMS000	corazón
este	esté	VMSP0S0	estar
vm	VM	NP00000	VM
bueno	bueno	AQ0MS0	bueno
como	como	CS	como
tan	tan	RC	tan
ssu	su	DP3CS0	su
serbidora	servidora	NCFS000	servidor
	.	Fp	.
io	Yo	PP1CSN00	yo
estoi	estoy	VMIP1S0	estar
cual	cual	PR0CS000	cual
podra	podrá	VMIF3S0	poder
vm	VM	NP00000	VM
imaginar	imaginar	VMN0000	imaginar
	.	Fp	.
ia	Ya	RG	ya
sabria	sabría	VMIC0S0	saber
vm	VM	NP00000	VM
la	la	DA0FS0	el
qga	queja	NCFS000	queja
q	que	PR0CN000	que
io	yo	PP1CSN00	yo
tenia	tenía	VMII0S0	tener
de	de	SPS00	de
anica	Anica	NP00000	anica
i	y	CC	y
a	a	SPS00	a
eso	eso	PD0NN000	eso
digo	digo	VMIP1S0	decir
q	que	CS	que
ni	ni	CCN	ni
ella	ella	PP3FS000	él
ni	ni	CCN	ni
io	yo	PP1CSN00	yo
tubimos	tuvimos	VMIS1P0	tener
culpa	culpa	NCFS000	culpa
	,	Fc	,
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
inçitarnos	incitarnos	VMN0000+PP1CP000	incitar+nos
a	a	SPS00	a
las	las	DA0FP0	el
dos	dos	Z	2
para	para	SPS00	para
ponella	ponerla	VMN0000+PP3FSA00	poner+lo
mal	mal	RG	mal
conmigo	conmigo	SPS00+PP1CSO00	con+mí
	.	Fp	.
todo	Todo	PI0MS000	todo
fue	fue	VSIS3S0	ser
mentira	mentira	NCFS000	mentira
	.	Fp	.
a	A	SPS00	a
eso	eso	PD0NN000	eso
pido	pido	VMIP1S0	pedir
a	a	SPS00	a
vm	VM	NP00000	VM
se	se	P00CN000	se
acabe	acabe	VMSP0S0	acabar
el	el	DA0MS0	el
enogo	enojo	NCMS000	enojo
q	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
con	con	SPS00	con
ella	ella	PP3FS000	él
	,	Fc	,
q	que	CS	que
artas	hartas	DI0FP0	harto
penas	penas	NCFP000	pena
tiene	tiene	VMIP3S0	tener
por	por	SPS00	por
aca	acá	RG	acá
i	y	CC	y
no	no	RN	no
lo	lo	PP3CNA00	lo
mereçe	merece	VMIP3S0	merecer
	,	Fc	,
q	que	CS	que
es	es	VSIP3S0	ser
una	una	DI0FS0	uno
perla	perla	NCFS000	perla
	.	Fp	.
i	Y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
inbia	envía	VMIP3S0	enviar
a	a	SPS00	a
deçir	decir	VMN0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
	,	Fc	,
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
con	con	SPS00	con
todo	todo	DI0MS0	todo
secreto	secreto	NCMS000	secreto
	,	Fc	,
no	no	RN	no
sabiendo	sabiendo	VMG0000	saber
nadie	nadie	PI0NN00N	nadie
q	que	CS	que
emos	hemos	VAIP1P0	haber
escrito	escrito	VMP0000	escribir
	,	Fc	,
abisandole	avisándole	VMG0000+PP3CSD00	avisar+le
a	a	SPS00	a
ese	ese	DD0MS0	ese
pobre	pobre	NCCS000	pobre
de	de	SPS00	de
mi	mi	DP1CSS	mi
coraçon	corazón	NCMS000	corazón
q	que	CS	que
el	él	PP3MS000	él
mire	mire	VMSP0S0	mirar
q	que	CS	que
lo	lo	PP3MSA00	lo
an	han	VMIP3P0	haber
de	de	SPS00	de
coger	coger	VMN0000	coger
descuidado	descuidado	VMP00SM	descuidar
	.	Fp	.
consuelelo	Consuélelo	VMSP0S0+PP3MSA00	consolar+lo
vm	VM	NP00000	VM
	,	Fc	,
pues	pues	CS	pues
tiene	tiene	VMIP3S0	tener
capaçidad	capacidad	NCFS000	capacidad
para	para	SPS00	para
todo	todo	PI0MS000	todo
	,	Fc	,
q	que	CS	que
cuando	cuando	PA000000	cuando
supe	supe	VMIS1S0	saber
q	que	CS	que
estaba	estaba	VMII0S0	estar
malo	malo	AQ0MS0	malo
no	no	RN	no
se	sé	VMIP1S0	saber
como	cómo	PA000000	cómo
no	no	RN	no
me	me	PP1CS000	me
cai	caí	VMIS1S0	caer
muerta	muerta	VMP00SF	morir
	.	Fp	.
