yho	Hijo	NP00000	hijo
y	y	CC	y
señor	señor	NP00000	señor
	.	Fp	.
serinan	Surinam	NP00000	surinam
	,	Fc	,
20	20	Z	20
de	de	SPS00	de
setiembre	septiembre	NCMS000	septiembre
de	de	SPS00	de
1672	1672	Z	1672
por	Por	SPS00	por
lo	lo	PP3CNA00	lo
aver	haber	VAN0000	haber
gecho	hecho	VMP0000	hacer
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
ofresia	ofrecía	VMII0S0	ofrecer
en	en	SPS00	en
30	30	Z	30
de	de	SPS00	de
agosto	agosto	NCMS000	agosto
por	por	SPS00	por
el	el	DA0MS0	el
navio	navío	NCMS000	navío
del	del	SPS00+DA0MS0	de+el
capitan	capitán	NP00000	capitán
suitilinge	Sutelinge	NP00000	sutelinge
	,	Fc	,
sere	seré	VSIF1S0	ser
breve	breve	RG	breve
	.	Fp	.
y	Y	CC	y
no	no	RN	no
se	se	P00CN000	se
ofrese	ofrece	VMIP3S0	ofrecer
mas	más	RC	más
que	que	CS	que
desir	decir	VMN0000	decir
quedamos	quedamos	VMIP1P0	quedar
con	con	SPS00	con
grande	grande	AQ0CS0	grande
quidado	cuidado	NCMS000	cuidado
por	por	SPS00	por
no	no	RN	no
venir	venir	VMN0000	venir
navio	navío	NCMS000	navío
a	ha	VMIP3S0	haber
muychos	muchos	DI0MP0	mucho
dias	días	NCMP000	día
ni	ni	CC	ni
tener	tener	VMN0000	tener
nuevas	nuevas	NCFP000	nueva
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
de	de	SPS00	de
vm	VM	NP00000	VM
y	y	CC	y
de	de	SPS00	de
todos	todos	DI0MP0	todo
mis	mis	DP1CPS	mi
yhos	hijos	NCMP000	hijo
	.	Fp	.
que	Que	CS	que
dios	Dios	NP00000	dios
se	se	PP3CN000	se
la	la	PP3FSA00	lo
de	dé	VMSP0S0	dar
como	como	CS	como
puede	puede	VMIP3S0	poder
y	y	CC	y
deseo	deseo	VMIP1S0	desear
	.	Fp	.
y	Y	CC	y
ansimismo	asimismo	RG	asimismo
no	no	RN	no
sabemos	sabemos	VMIP1P0	saber
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
susedido	sucedido	VMP0000	suceder
con	con	SPS00	con
la	la	DA0FS0	el
gera	guerra	NCFS000	guerra
	.	Fp	.
y	Y	CC	y
Reselamos	recelamos	VMIP1P0	recelar
no	no	RN	no
den	den	VMSP3P0	dar
aqui	aquí	RG	aquí
de	de	SPS00	de
supito	súpeto	NCMS000	súpeto
con	con	SPS00	con
nosotros	nosotros	PP1MP000	nosotros
en	en	SPS00	en
estos	estos	DD0MP0	este
distieros	destierros	NCMP000	destierro
miserables	miserables	NCMP000	miserabl
	.	Fp	.
oy	Hoy	RG	hoy
mas	más	RC	más
que	que	CS	que
nunca	nunca	RN	nunca
con	con	SPS00	con
la	la	DA0FS0	el
falta	falta	NCFS000	falta
de	de	SPS00	de
mantinimientos	mantenimientos	NCMP000	mantenimiento
de	de	SPS00	de
la	la	DA0FS0	el
tiera	tierra	NCFS000	tierra
	,	Fc	,
pues	pues	CS	pues
negros	negros	NCMP000	negro
y	y	CC	y
blancos	blancos	NCMP000	blanco
lo	lo	PP3CNA00	lo
pasan	pasan	VMIP3P0	pasar
por	por	SPS00	por
milagre	milagro	NCMS000	milagro
	.	Fp	.
dios	Dios	NP00000	dios
nos	nos	PP1CP000	nos
libre	libre	VMSP0S0	librar
de	de	SPS00	de
aprietos	aprietos	NCMP000	aprieto
y	y	CC	y
nos	nos	PP1CP000	nos
alegre	alegre	AQ0CS0	alegre
con	con	SPS00	con
buenas	buenas	AQ0FP0	bueno
nuevas	nuevas	NCFP000	nueva
.	.	Fp	.
por	Por	SPS00	por
el	el	DA0MS0	el
navio	navío	NCMS000	navío
que	que	CS	que
aRiba	arriba	RG	arriba
digo	digo	VMIP1S0	decir
enbie	envié	VMIS1S0	enviar
un	un	DI0MS0	uno
baRil	barril	NCMS000	barril
de	de	SPS00	de
