qrido	Querido	VMP00SM	querer
de	de	SPS00	de
mis	mis	DP1CPS	mi
ojos	ojos	NCMP000	ojo
	.	Fp	.
me	Me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
este	éste	PD0MS000	este
te	te	PP2CS000	te
alle	halle	VMSP0S0	hallar
com	con	SPS00	con
la	la	DA0FS0	el
salud	salud	NCFS000	salud
q	que	PR0CN000	que
yo	yo	PP1CSN00	yo
te	te	PP2CS000	te
deseo	deseo	VMIP1S0	desear
	.	Fp	.
yo	Yo	PP1CSN00	yo
qdo	quedo	VMIP1S0	quedar
con	con	SPS00	con
una	una	DI0FS0	uno
poquilla	poquilla	NCFS000	poquilla
de	de	SPS00	de
calentura	calentura	NCFS000	calentura
	(	Fba	(
no	no	RN	no
es	es	VSIP3S0	ser
cosa	cosa	NCFS000	cosa
de	de	SPS00	de
cuidado	cuidado	NCMS000	cuidado
	)	Fbt	)
y	y	CC	y
sangrada	sangrada	VMP00SF	sangrar
de	de	SPS00	de
oi	hoy	RG	hoy
y	y	CC	y
con	con	SPS00	con
muncho	mucho	DI0MS0	mucho
cuidado	cuidado	NCMS000	cuidado
por	por	SPS00	por
no	no	RN	no
saber	saber	VMN0000	saber
de	de	SPS00	de
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
	.	Fp	.
abisame	Avísame	VMM02S0+PP1CS000	avisar+me
para	para	SPS00	para
q	que	CS	que
me	me	PP1CS000	me
gose	goce	VMSP0S0	gozar
.	.	Fp	.
daras	Darás	VMIF2S0	dar
a	a	SPS00	a
mis	mis	DP1CPS	mi
ermanos	hermanos	NCMP000	hermano
mis	mis	DP1CPS	mi
meorias	meorias	NCFP000	meoria
y	y	CC	y
de	de	SPS00	de
parte	parte	NCFS000	parte
d	de	SPS00	de
estas	estas	DD0FP0	este
señoras	señoras	NCFP000	señor
i	y	CC	y
los	los	PP3MPA00	lo
daras	darás	VMIF2S0	dar
a	a	SPS00	a
mi	mi	DP1CSS	mi
ermana	hermana	NCFS000	hermano
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
dios	Dios	NP00000	dios
q	que	CS	que
te	te	PP2CS000	te
me	me	PP1CS000	me
guarde	guarde	VMSP0S0	guardar
i	y	CC	y
dege	deje	VMSP0S0	dejar
ber	ver	VMN0000	ver
mui	muy	RQ	muy
apriesa	aprisa	RG	aprisa
	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
que	que	PR0CN000	que
mas	más	RC	más
te	te	PP2CS000	te
estima	estima	VMIP3S0	estimar
	,	Fc	,
doña	doña	NP00000	don
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
meca	Mendoza	NP00000	mendoza
y	y	CC	y
morales	Morales	NP00000	morales
	.	Fp	.
es	Es	VSIP3S0	ser
mi	mi	DP1CSS	mi
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
inbiarme	enviarme	VMN0000+PP1CS000	enviar+me
dos	dos	Z	2
belas	velas	NCFP000	vela
para	para	SPS00	para
esta	esta	DD0FS0	este
pobre	pobre	AQ0CS0	pobre
bergoncante	vergonzante	SPS00	vergonzante
q	que	CS	que
no	no	RN	no
lo	lo	PP3CNA00	lo
puede	puede	VMIP3S0	poder
salir	salir	VMN0000	salir
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
	.	Fp	.
