qrido	Querido	VMP00SM	querer
de	de	SPS00	de
mis	mis	DP1CPS	mi
ojos	ojos	NCMP000	ojo
	.	Fp	.
no	No	RN	no
te	te	PP2CS000	te
poder	podré	VMIF1S0	poder
sinificar	significar	VMN0000	significar
el	el	DA0MS0	el
sumo	sumo	AQ0MS0	sumo
gusto	gusto	NCMS000	gusto
que	que	PR0CN000	que
me	me	PP1CS000	me
das	das	VMIP2S0	dar
en	en	SPS00	en
saber	saber	VMN0000	saber
de	de	SPS00	de
que	que	CS	que
estas	estás	VMIP2S0	estar
megor	mejor	RC	mejor
de	de	SPS00	de
tus	tus	DP2CPS	tu
males	males	NCMP000	mal
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
pesa	pesa	VMIP3S0	pesar
que	que	CS	que
agas	hagas	VMSP2S0	hacer
caso	caso	NCMS000	caso
de	de	SPS00	de
nada	nada	PI0NN00N	nada
de	de	SPS00	de
eso	eso	PD0NN000	eso
	,	Fc	,
pues	pues	CS	pues
sabes	sabes	VMIP2S0	saber
que	que	CS	que
es	es	VSIP3S0	ser
deuda	deuda	NCFS000	deuda
que	que	PR0CN000	que
te	te	PP2CS000	te
la	la	PP3FSA00	lo
debo	debo	VMIP1S0	deber
el	el	DA0MS0	el
estimarte	estimarte	VMN0000+PP2CS000	estimar+te
como	como	CS	como
mereces	mereces	VMIP2S0	merecer
.	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
que	que	CS	que
abisarte	avisarte	VMN0000+PP2CS000	avisar+te
sino	sino	CC	sino
que	que	CS	que
a	a	SPS00	a
todas	todas	DI0FP0	todo
esas	esas	DD0FP0	ese
señoras	señoras	NCFP000	señor
des	des	VMSP2S0	dar
muchos	muchos	DI0MP0	mucho
rrecados	recados	NCMP000	recado
de	de	SPS00	de
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
	,	Fc	,
y	y	CC	y
en	en	SPS00	en
particular	particular	NCMS000	particular
a	a	SPS00	a
mi	mi	DP1CSS	mi
ermana	hermana	NCFS000	hermano
y	y	CC	y
tuia	tuya	PX2FS0S0	tuyo
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
quedate	quédate	VMM02S0+PP2CS000	quedar+te
a	a	SPS00	a
dios	Dios	NP00000	dios
que	que	CS	que
te	te	PP2CS000	te
me	me	PP1CS000	me
guarde	guarde	VMSP0S0	guardar
los	los	DA0MP0	el
años	años	NCMP000	año
de	de	SPS00	de
mi	mi	DP1CSS	mi
dece	deseo	NCMS000	deseo
	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
que	que	PR0CN000	que
mas	más	RC	más
t	te	PP2CS000	te
estima	estima	VMIP3S0	estimar
	.	Fp	.
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
y	y	CC	y
morales	Morales	NP00000	morales
