querido	Querido	VMP00SM	querer
mio	mío	DP1MSS	mío
	.	Fp	.
bien	Bien	RG	bien
consideras	consideras	VMIP2S0	considerar
como	cómo	PA000000	cómo
estare	estaré	VMIF1S0	estar
consirando	considerando	VMG0000	considerar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
cucede	sucede	VMIP3S0	suceder
por	por	SPS00	por
causa	causa	NCFS000	causa
de	de	SPS00	de
este	este	DD0MS0	este
rruin	ruin	AQ0CS0	ruin
onbere	hombre	NCMS000	hombre
	;	Fx	;
pero	pero	CC	pero
no	no	RN	no
me	me	PP1CS000	me
consuelo	consuelo	NCMS000	consuelo
	,	Fc	,
sino	sino	CC	sino
que	que	CS	que
no	no	RN	no
a	ha	VMIP3S0	haber
de	de	SPS00	de
salir	salir	VMN0000	salir
con	con	SPS00	con
lo	lo	DA0NS0	el
que	que	PR0CN000	que
peretende	pretende	VMIP3S0	pretender
	.	Fp	.
esta	Esta	DD0FS0	este
mañana	mañana	NCFS000	mañana
vino	vino	VMIS3S0	venir
a	a	SPS00	a
dar	dar	VMN0000	dar
ygas	higas	NCFP000	higa
por	por	SPS00	por
la	la	DA0FS0	el
ilesia	iglesia	NCFS000	iglesia
y	y	CC	y
se	se	P00CN000	se
llego	llegó	VMIS3S0	llegar
a	a	SPS00	a
la	la	DA0FS0	el
rrega	reja	NCFS000	reja
del	del	SPS00+DA0MS0	de+el
cora	cura	NCMS000	cura
como	como	CS	como
aciendo	haciendo	VMG0000	hacer
burla	burla	NCFS000	burla
de	de	SPS00	de
nosotros	nosotros	PP1MP000	nosotros
	.	Fp	.
a	A	SPS00	a
ti	ti	PP2CSO00	ti
no	no	RN	no
te	te	PP2CS000	te
se	se	P00CN000	se
de	dé	VMSP0S0	dar
nada	nada	PI0NN00N	nada
por	por	SPS00	por
cosa	cosa	NCFS000	cosa
	,	Fc	,
que	que	CS	que
a	a	SPS00	a
mio	mío	DP1MSS	mío
tengo	tengo	VMIP1S0	tener
otra	otra	DI0FS0	otro
pena	pena	NCFS000	pena
	,	Fc	,
sino	sino	CC	sino
que	que	CS	que
tu	tú	PP2CSN00	tú
as	has	VMIP2S0	haber
de	de	SPS00	de
acer	hacer	VMN0000	hacer
algo	algo	PI0CS000	algo
contra	contra	SPS00	contra
ti	ti	PP2CSO00	ti
	.	Fp	.
porque	Porque	CS	porque
	,	Fc	,
aunque	aunque	CS	aunque
se	se	P00CN000	se
pasee	pasee	VMSP0S0	pasear
por	por	SPS00	por
adonde	adonde	PA000000	adonde
tu	tú	PP2CSN00	tú
estas	estás	VMIP2S0	estar
	,	Fc	,
no	no	RN	no
te	te	PP2CS000	te
se	se	P00CN000	se
de	dé	VMSP0S0	dar
nada	nada	PI0NN00N	nada
	,	Fc	,
que	que	CS	que
mas	más	RC	más
nos	nos	PP1CP000	nos
emos	hemos	VMIP1P0	haber
de	de	SPS00	de
rreir	reír	VMN0000	reír
d	de	SPS00	de
el	él	PP3MS000	él
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
encargo	encargo	VMIP1S0	encargar
es	es	VSIP3S0	ser
que	que	CS	que
no	no	RN	no
tengas	tengas	VMSP2S0	tener
pena	pena	NCFS000	pena
de	de	SPS00	de
nada	nada	PI0NN00N	nada
por	por	SPS00	por
aqua	acá	RG	acá
	.	Fp	.
no	No	RN	no
te	te	PP2CS000	te
pude	pude	VMIS1S0	poder
esceibir	escribir	VMN0000	escribir
avier	ayer	RG	ayer
porque	porque	CS	porque
me	me	PP1CS000	me
dio	dio	VMIS3S0	dar
tanta	tanta	DI0FS0	tanto
pena	pena	NCFS000	pena
que	que	CS	que
no	no	RN	no
pude	pude	VMIS1S0	poder
decir	decir	VMN0000	decir
palabera	palabra	NCFS000	palabra
	.	Fp	.
rrecibiras	Recibirás	VMIF2S0	recibir
muchos	muchos	DI0MP0	mucho
rrecados	recados	NCMP000	recado
doña	doña	NP00000	don
maria	María	NP00000	maría
de	de	SPS00	de
las	las	DA0FP0	el
relles	Reyes	NCMP000	rey
y	y	CC	y
mios	míos	PX1MP0S0	mío
michos	muchos	PI0MP000	mucho
mas	más	RC	más
	.	Fp	.
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
