es	Es	VSIP3S0	ser
negosio	negocio	NCMS000	negocio
que	que	PR0CN000	que
me	me	PP1CS000	me
da	da	VMIP3S0	dar
tam	tan	RC	tan
poca	poca	DI0FS0	poco
pesadunbre	pesadumbre	NCFS000	pesadumbre
qe	que	CS	que
me	me	PP1CS000	me
rio	río	VMIP1S0	reír
d	de	SPS00	de
elho	ello	PD0NN000	ello
	;	Fx	;
antes	antes	RG	antes
bien	bien	RG	bien
le	le	PP3CSD00	le
pesara	pesará	VMIF3S0	pesar
d	de	SPS00	de
elho	ello	PD0NN000	ello
porque	porque	CS	porque
busca	busca	VMIP3S0	buscar
su	su	DP3CS0	su
mal	mal	NCMS000	mal
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
capitan	capitán	NCMS000	capitán
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
aga	haga	VMSP0S0	hacer
merse	merced	NCFS000	merced
de	de	SPS00	de
benir	venir	VMN0000	venir
por	por	SPS00	por
aca	acá	RG	acá
i	y	CC	y
	,	Fc	,
si	si	CS	si
ubiere	hubiere	VMSF0S0	haber
ocasion	ocasión	NCFS000	ocasión
de	de	SPS00	de
buscar	buscar	VMN0000	buscar
media	media	AQ0FS0	media
dozena	docena	NCFS000	docena
de	de	SPS00	de
reales	reales	NCMP000	real
	,	Fc	,
me	me	PP1CS000	me
aga	haga	VMSP0S0	hacer
mersed	merced	NCFS000	merced
	.	Fp	.
i	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
a	a	SPS00	a
dios	Dios	NP00000	dios
	.	Fp	.
