qrido	Querido	VMP00SM	querer
mio	mío	DP1MSS	mío
	.	Fp	.
no	No	RN	no
te	te	PP2CS000	te
sabre	sabré	VMIF1S0	saber
decir	decir	VMN0000	decir
el	el	DA0MS0	el
muncho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
q	que	PR0CN000	que
me	me	PP1CS000	me
das	das	VMIP2S0	dar
con	con	SPS00	con
tus	tus	DP2CPS	tu
finecas	finezas	NCFP000	fineza
y	y	CC	y
saber	saber	VMN0000	saber
de	de	SPS00	de
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
	.	Fp	.
yo	Yo	PP1CSN00	yo
qdo	quedo	VMIP1S0	quedar
para	para	SPS00	para
serbirte	servirte	VMN0000+PP2CS000	servir+te
todabia	todavía	RG	todavía
mala	mala	AQ0FS0	malo
i	y	CC	y
mañana	mañana	RG	mañana
me	me	PP1CS000	me
sangro	sangro	VMIP1S0	sangrar
	;	Fx	;
no	no	RN	no
es	es	VSIP3S0	ser
mal	mal	NCMS000	mal
de	de	SPS00	de
cuidado	cuidado	NCMS000	cuidado
	,	Fc	,
gracias	gracias	NCFP000	gracia
a	a	SPS00	a
dios	Dios	NP00000	dios
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
de	de	SPS00	de
la	la	DA0FS0	el
sangria	sangría	NCFS000	sangría
	,	Fc	,
en	en	SPS00	en
los	los	DA0MP0	el
conbentos	conbentos	NCMP000	conbento
tiene	tiene	VMIP3S0	tener
sirugano	cirujano	NCCS000	cirujano
i	y	CC	y
no	no	RN	no
ai	hay	VMIP3S0	haber
lincencia	lincencia	NCFS000	lincencia
para	para	SPS00	para
mas	más	RC	más
	.	Fp	.
estimo	Estimo	VMIP1S0	estimar
tu	tu	DP2CSS	tu
cuidado	cuidado	NCMS000	cuidado
a	a	SPS00	a
mis	mis	DP1CPS	mi
ermanos	hermanos	NCMP000	hermano
	,	Fc	,
q	que	CS	que
estimo	estimo	VMIP1S0	estimar
muncho	mucho	RQ	mucho
el	el	DA0MS0	el
cuidado	cuidado	NCMS000	cuidado
	,	Fc	,
i	y	CC	y
daras	darás	VMIF2S0	dar
mis	mis	DP1CPS	mi
memorias	memorias	NCFP000	memoria
	.	Fp	.
de	De	SPS00	de
todas	todas	DI0FP0	todo
estas	estas	DD0FP0	este
señoras	señoras	NCFP000	señor
recibe	recibe	VMIP3S0	recibir
munchos	muchos	DI0MP0	mucho
recados	recados	NCMP000	recado
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
dios	Dios	NP00000	dios
q	que	CS	que
te	te	PP2CS000	te
me	me	PP1CS000	me
guarde	guarde	VMSP0S0	guardar
i	y	CC	y
dege	deje	VMSP0S0	dejar
ber	ver	VMN0000	ver
para	para	SPS00	para
mi	mi	DP1CSS	mi
consuelo	consuelo	NCMS000	consuelo
	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
	,	Fc	,
doña	doña	NP00000	don
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
