querido	Querido	VMP00SM	querer
mio	mío	DP1MSS	mío
	.	Fp	.
perdoname	Perdóname	VMM02S0+PP1CS000	perdonar+me
	,	Fc	,
por	por	SPS00	por
amo	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
el	el	DA0MS0	el
no	no	RN	no
aberte	haberte	VAN0000+PP2CS000	haber+te
escrito	escrito	VMP0000	escribir
	;	Fx	;
que	que	CS	que
no	no	RN	no
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
falta	falta	NCFS000	falta
de	de	SPS00	de
bolunta	voluntad	NCFS000	voluntad
	,	Fc	,
sino	sino	CC	sino
porque	porque	CS	porque
estaban	estaban	VMII3P0	estar
en	en	SPS00	en
el	el	DA0MS0	el
conpas	compás	NCMS000	compás
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
dices	dices	VMIP2S0	decir
de	de	SPS00	de
que	que	CS	que
me	me	PP1CS000	me
an	han	VMIP3P0	haber
de	de	SPS00	de
bolber	volver	VMN0000	volver
	,	Fc	,
no	no	RN	no
entiendo	entiendo	VMIP1S0	entender
que	que	CS	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
sermi	serme	VSN0000+PP1CS000	ser+me
facil	fácil	AQ0CS0	fácil
por	por	SPS00	por
cosas	cosas	NCFP000	cosa
que	que	PR0CN000	que
agan	hagan	VMSP3P0	hacer
	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
pesadunber	pesadumbre	NCFS000	pesadumbre
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
es	es	VSIP3S0	ser
que	que	CS	que
me	me	PP1CS000	me
dicen	dicen	VMIP3P0	decir
que	que	CS	que
tu	tu	DP2CSS	tu
perision	prisión	NCFS000	prisión
es	es	VSIP3S0	ser
de	de	SPS00	de
muchos	muchos	DI0MP0	mucho
dis	días	NCMP000	día
	.	Fp	.
por	Por	SPS00	por
amo	amor	NCMS000	amor
de	de	SPS00	de
dios	Dios	NP00000	dios
que	que	CS	que
me	me	PP1CS000	me
desengañes	desengañes	VMSP2S0	desengañar
de	de	SPS00	de
la	la	DA0FS0	el
lerda	verdad	NCFS000	verdad
	,	Fc	,
porque	porque	CS	porque
ten	tengo	VMIP1S0	tener
muchi	mucha	DI0FS0	mucho
pena	pena	NCFS000	pena
y	y	CC	y
la	la	PP3FSA00	lo
tendere	tendré	VMIF1S0	tener
asta	hasta	SPS00	hasta
que	que	CS	que
te	te	PP2CS000	te
vea	vea	VMSP0S0	ver
en	en	SPS00	en
el	el	DA0MS0	el
confisonaro	confesionario	NCMS000	confesionario
de	de	SPS00	de
los	las	DA0FP0	el
birgeren	vírgenes	NCFP000	virgen
	.	Fp	.
que	Que	CS	que
no	no	RN	no
entiende	entiendo	VMIP1S0	entender
que	que	CS	que
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
tener	tener	VMN0000	tener
qiuetu	quietud	NCFS000	quietud
	.	Fp	.
asta	Hasta	SPS00	hasta
entonces	entonces	RG	entonces
lo	lo	DA0NS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
encargo	encargo	VMIP1S0	encargar
es	es	VSIP3S0	ser
que	que	CS	que
no	no	RN	no
te	te	PP2CS000	te
creas	creas	VMSP2S0	creer
de	de	SPS00	de
nada	nada	PI0NN00N	nada
que	que	CS	que
te	te	PP2CS000	te
fueren	fueren	VMSF3P0	ir
a	a	SPS00	a
decir	decir	VMN0000	decir
mis	mis	DP1CPS	mi
parientes	parientes	NCMP000	pariente
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
lebanten	levanten	VMSP3P0	levantar
algun	algún	DI0MS0	alguno
testimonio	testimonio	NCMS000	testimonio
	.	Fp	.
asi	Así	RG	así
	,	Fc	,
quedate	quédate	VMM02S0+PP2CS000	quedar+te
a	a	SPS00	a
dios	Dios	NP00000	dios
que	que	CS	que
te	te	PP2CS000	te
me	me	PP1CS000	me
guarde	guarde	VMSP0S0	guardar
para	para	SPS00	para
mi	mi	DP1CSS	mi
consuelo	consuelo	NCMS000	consuelo
	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
que	que	PR0CN000	que
mas	más	RC	más
te	te	PP2CS000	te
ectia	estima	VMIP3S0	estimar
	,	Fc	,
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
