Jhs	JHS	NP00000	jhs
Ma	María	NP00000	maría
	.	Fp	.
Si	Si	CS	si
deseais	deseáis	VMIP2P0	desear
	,	Fc	,
ò	Oh	I	oh
esposas	esposas	NCFP000	esposo
de	de	SPS00	de
christo	Cristo	NP00000	cristo
	,	Fc	,
serlo	serlo	VSN0000+PP3CNA00	ser+lo
de	de	SPS00	de
beras	veras	NCFP000	vera
y	y	CC	y
no	no	RN	no
tan	tan	RC	tan
solo	sólo	RG	sólo
de	de	SPS00	de
nombre	nombre	NCMS000	nombre
(	(	Fba	(
obedeziendo	obedeciendo	VMG0000	obedecer
à	a	SPS00	a
vuestro	vuestro	DP2MSP	vuestro
ruego	ruego	VMIP1S0	rogar
digo	digo	VMIP1S0	decir
y	y	CC	y
escribo	escribo	VMIP1S0	escribir
esto	esto	PD0NN000	esto
)	)	Fbt	)
	,	Fc	,
es	es	VSIP3S0	ser
justo	justo	AQ0MS0	justo
que	que	CS	que
considereis	consideréis	VMSP2P0	considerar
que	que	CS	que
vuestro	vuestro	DP2MSP	vuestro
celestial	celestial	AQ0CS0	celestial
esposo	esposo	NCMS000	esposo
quiere	quiere	VMIP3S0	querer
que	que	CS	que
le	le	PP3CSD00	le
deis	deis	VMSP2P0	dar
todo	todo	PI0MS000	todo
vuestro	vuestro	DP2MSP	vuestro
coraçon	corazón	NCMS000	corazón
	,	Fc	,
que	que	CS	que
le	le	PP3CSD00	le
ameis	améis	VMSP2P0	amar
a	a	SPS00	a
el	él	PP3MS000	él
solo	sólo	RG	sólo
con	con	SPS00	con
todo	todo	PI0MS000	todo
vuestro	vuestro	DP2MSP	vuestro
amor	amor	NCMS000	amor
	,	Fc	,
ya	ya	RG	ya
porque	porque	CS	porque
el	él	PP3MS000	él
lo	lo	PP3CNA00	lo
mereçe	merece	VMIP3S0	merecer
	,	Fc	,
ya	ya	RG	ya
porque	porque	CS	porque
vuestro	vuestro	DP2MSP	vuestro
estado	estado	NCMS000	estado
lo	lo	PP3CNA00	lo
pide	pide	VMIP3S0	pedir
de	de	SPS00	de
justicia	justicia	NCFS000	justicia
	,	Fc	,
ya	ya	RG	ya
porque	porque	CS	porque
la	la	DA0FS0	el
fineza	fineza	NCFS000	fineza
de	de	SPS00	de
esposas	esposas	NCFP000	esposo
suyas	suyas	PX3FP000	suyo
lo	lo	PP3CNA00	lo
requiere	requiere	VMIP3S0	requerir
	.	Fp	.
que	Que	CS	que
como	como	CS	como
quiera	quiera	VMSP0S0	querer
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
serbir	servir	VMN0000	servir
a	a	SPS00	a
dos	dos	Z	2
amos	amos	NCMP000	amo
	,	Fc	,
menos	menos	RC	menos
cabe	cabe	VMIP3S0	caber
en	en	SPS00	en
razon	razón	NCFS000	razón
que	que	CS	que
la	la	DA0FS0	el
voluntad	voluntad	NCFS000	voluntad
de	de	SPS00	de
las	las	DA0FP0	el
esposas	esposas	NCFP000	esposo
de	de	SPS00	de
christo	Cristo	NP00000	cristo
y	y	CC	y
almas	almas	NCFP000	alma
debotas	devotas	AQ0FP0	devoto
no	no	RN	no
casadas	casadas	VMP00PF	casar
este	esté	VMSP0S0	estar
repartida	repartida	VMP00SF	repartir
en	en	SPS00	en
muchas	muchas	DI0FP0	mucho
criaturas	criaturas	NCFP000	criatura
	,	Fc	,
y	y	CC	y
que	que	CS	que
se	se	P00CN000	se
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
d	de	SPS00	de
ellas	ellas	PP3FP000	ellos
lo	lo	DA0NS0	el
menos	menos	RC	menos
a	a	SPS00	a
christo	Cristo	NP00000	cristo
	.	Fp	.
que	Que	CS	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
proposito	propósito	NCMS000	propósito
y	y	CC	y
el	el	DA0MS0	el
deseo	deseo	NCMS000	deseo
y	y	CC	y
lo	lo	DA0NS0	el
mas	más	RC	más
a	a	SPS00	a
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
caducas	caducas	AQ0FP0	caduco
que	que	CS	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
amor	amor	NCMS000	amor
	,	Fc	,
ya	ya	RG	ya
en	en	SPS00	en
acto	acto	NCMS000	acto
o	o	CC	o
ya	ya	RG	ya
en	en	SPS00	en
havito	hábito	NCMS000	hábito
.	.	Fp	.
que	Que	CS	que
decirle	decirle	VMN0000+PP3CSD00	decir+le
esposo	esposo	NCMS000	esposo
y	y	CC	y
amado	amado	VMP00SM	amar
y	y	CC	y
estar	estar	VMN0000	estar
la	la	DA0FS0	el
voluntad	voluntad	NCFS000	voluntad
repartida	repartida	VMP00SF	repartir
en	en	SPS00	en
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
perezederas	perecederas	AQ0FP0	perecedero
es	es	VSIP3S0	ser
tiranizarsela	tiranizársela	VMN0000+PP3CN000+PP3FSA00	tiranizar+se+lo
.	.	Fp	.
quiere	Quiere	VMIP3S0	querer
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
amor	amor	NCMS000	amor
	,	Fc	,
toda	toda	DI0FS0	todo
la	la	DA0FS0	el
voluntad	voluntad	NCFS000	voluntad
	,	Fc	,
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
corazon	corazón	NCMS000	corazón
pa	para	SPS00	para
el	él	PP3MS000	él
	,	Fc	,
para	para	SPS00	para
unirlo	unirlo	VMN0000+PP3MSA00	unir+lo
con	con	SPS00	con
su	su	DP3CS0	su
amor	amor	NCMS000	amor
	,	Fc	,
con	con	SPS00	con
su	su	DP3CS0	su
voluntad	voluntad	NCFS000	voluntad
y	y	CC	y
con	con	SPS00	con
su	su	DP3CS0	su
corazon	corazón	NCMS000	corazón
	,	Fc	,
pa	para	SPS00	para
haçerlo	hacerlo	VMN0000+PP3CNA00	hacer+lo
qual	cual	CC	cual
es	es	VSIP3S0	ser
preciso	preciso	AQ0MS0	preciso
el	el	DA0MS0	el
despreciarlas	despreciarlas	VMN0000+PP3FPA00	despreciar+lo
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
christo	Cristo	NP00000	cristo
.	.	Fp	.
si	Si	CS	si
dejais	dejáis	VMIP2P0	dejar
el	el	DA0MS0	el
dulçe	dulce	NCMS000	dulce
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
christo	Cristo	NP00000	cristo
	,	Fc	,
aunque	aunque	CS	aunque
lo	lo	PP3CNA00	lo
sienta	sienta	VMIP3S0	sentar
el	el	DA0MS0	el
amor	amor	NCMS000	amor
propio	propio	NCMS000	propio
	,	Fc	,
el	el	DA0MS0	el
amor	amor	NCMS000	amor
que	que	PR0CN000	que
teniais	teníais	VMII2P0	tener
al	al	SPS00+DA0MS0	a+el
dulçe	dulce	NCMS000	dulce
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
dareis	daréis	VMIF2P0	dar
à	a	SPS00	a
christo	Cristo	NP00000	cristo
.	.	Fp	.
si	Si	CS	si
dejais	dejáis	VMIP2P0	dejar
los	los	DA0MP0	el
regalos	regalos	NCMP000	regalo
poco	poco	RQ	poco
a	a	SPS00	a
poco	poco	RQ	poco
(	(	Fba	(
que	que	CS	que
esto	esto	PD0NN000	esto
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
todo	todo	DI0MS0	todo
haçer	hacer	VMN0000	hacer
de	de	SPS00	de
golpe	golpe	NCMS000	golpe
	,	Fc	,
hordinariamente	ordinariamente	RG	ordinariamente
hablando	hablando	VMG0000	hablar
)	)	Fbt	)
	,	Fc	,
si	si	CS	si
despreciais	despreciáis	VMIP2P0	despreciar
los	los	DA0MP0	el
olores	olores	NCMP000	olor
	,	Fc	,
si	si	CS	si
huis	huís	VMIP2P0	huir
de	de	SPS00	de
banas	vanas	AQ0FP0	vano
combersaciones	conversaciones	NCFP000	conversación
y	y	CC	y
visitas	visitas	NCFP000	visita
	,	Fc	,
si	si	CS	si
despreciais	despreciáis	VMIP2P0	despreciar
las	las	DA0FP0	el
vanidades	vanidades	NCFP000	vanidad
del	del	SPS00+DA0MS0	de+el
mundo	mundo	NCMS000	mundo
	,	Fc	,
si	si	CS	si
despreciais	despreciáis	VMIP2P0	despreciar
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
oro	oro	NCMS000	oro
plata	plata	NCFS000	plata
	(	Fba	(
Lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
esta	está	VMIP3S0	estar
dedicado	dedicado	VMP00SM	dedicar
al	al	SPS00+DA0MS0	a+el
culto	culto	NCMS000	culto
dibino	divino	AQ0MS0	divino
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
christo	Cristo	NP00000	cristo
	)	Fbt	)
	,	Fc	,
ganareis	ganaréis	VMIF2P0	ganar
el	el	DA0MS0	el
amor	amor	NCMS000	amor
de	de	SPS00	de
christo	Cristo	NP00000	cristo
	,	Fc	,
os	os	PP2CP000	os
mortificareis	mortificaréis	VMIF2P0	mortificar
	,	Fp	,
cojereis	cogeréis	VMIF2P0	coger
fortaleza	fortaleza	NCFS000	fortaleza
	,	Fc	,
exerçitareis	ejercitaréis	VMIF2P0	ejercitar
la	la	DA0FS0	el
paçiençia	paciencia	NCFS000	paciencia
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
este	este	DD0MS0	este
camino	camino	NCMS000	camino
de	de	SPS00	de
la	la	DA0FS0	el
santa	santa	AQ0FS0	santo
cruz	cruz	NCFS000	cruz
ireis	iréis	VMIF2P0	ir
caminando	caminando	VMG0000	caminar
a	a	SPS00	a
la	la	DA0FS0	el
dibina	divina	AQ0FS0	divino
union	unión	NCFS000	unión
afectiva	afectiva	AQ0FS0	afectivo
con	con	SPS00	con
Vuestro	vuestro	DP2MSP	vuestro
Celestial	celestial	AQ0CS0	celestial
esposo	esposo	NCMS000	esposo
:	,	Fc	,
abrireis	abriréis	VMIF2P0	abrir
las	las	DA0FP0	el
zanjas	zanjas	NCFP000	zanja
spirituales	espirituales	AQ0CP0	espiritual
	,	Fc	,
Pondreis	pondréis	VMIP2P0	poner
la	la	DA0FS0	el
primer	primer	AO0MS0	primero
christo	Cristo	NCMS000	cristo
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
edifiçio	edificio	NCMS000	edificio
spiritual	espiritual	AQ0CS0	espiritual
ira	irá	VMIF3S0	ir
creziendo	creciendo	VMG0000	crecer
de	de	SPS00	de
grado	grado	NCMS000	grado
en	en	SPS00	en
grado	grado	NCMS000	grado
y	y	CC	y
no	no	RN	no
sobre	sobre	SPS00	sobre
arena	arena	NCFS000	arena
	,	Fc	,
de	de	SPS00	de
forma	forma	NCFS000	forma
que	que	CS	que
quando	cuando	PA000000	cuando
menos	menos	RC	menos
lo	lo	PP3CNA00	lo
penseis	penséis	VMSP2P0	pensar
beais	veáis	VMSP2P0	ver
buestra	vuestra	DP2FSP	vuestro
nada	nada	PI0NN00N	nada
y	y	CC	y
gusteis	gustéis	VMSP2P0	gustar
de	de	SPS00	de
vuestro	vuestro	DP2MSP	vuestro
esposo	esposo	NCMS000	esposo
	,	Fc	,
de	de	SPS00	de
forma	forma	NCFS000	forma
que	que	CS	que
digais	digáis	VMSP2P0	decir
:	:	Fd	:
	«	Fra	«
alle	hallé	VMIS1S0	hallar
al	al	SPS00+DA0MS0	a+el
querido	querido	VMP00SM	querer
de	de	SPS00	de
mi	mi	DP1CSS	mi
anima	ánima	NCFS000	ánima
	,	Fc	,
