Illmo	Ilustrísimo	AQSMS0	ilustre
sor	señor	NP00000	señor
mi	mi	DP1CSS	mi
sor	señor	NP00000	señor
	.	Fp	.
Señor	Señor	NP00000	señor
,	.	Fp	.
oi	Hoy	RG	hoy
haze	hace	VMIP3S0	hacer
8	8	Z	8
dias	días	NCMP000	día
estube	estuve	VMIS1S0	estar
con	con	SPS00	con
el	el	DA0MS0	el
Amigo	amigo	NCMS000	amigo
de	de	SPS00	de
nuebe	nueve	Z	9
a	a	SPS00	a
diez	diez	Z	10
de	de	SPS00	de
la	la	DA0FS0	el
mañana	mañana	NCFS000	mañana
Y	y	CC	y
	,	Fc	,
en	en	SPS00	en
conformidad	conformidad	NCFS000	conformidad
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
hablamos	hablamos	VMIS1P0	hablar
,	,	Fc	,
escrivi	escribí	VMIS1S0	escribir
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
,	.	Fp	.
este	Este	DD0MS0	este
mesmo	mismo	AQ0MS0	mismo
dia	día	NCMS000	día
por	por	SPS00	por
la	la	DA0FS0	el
noche	noche	NCFS000	noche
Ablo	habló	VMIS3S0	hablar
con	con	SPS00	con
el	el	DA0MS0	el
Auditor	auditor	NCMS000	auditor
muy	muy	RQ	muy
largo	largo	RG	largo
sobre	sobre	SPS00	sobre
la	la	DA0FS0	el
dependenzia	dependencia	NCFS000	dependencia
,	;	Fx	;
Y	y	CC	y
rreconozio	reconoció	VMIS3S0	reconocer
su	su	DP3CS0	su
animo	ánimo	NCMS000	ánimo
,	,	Fc	,
o	o	CC	o
el	el	DA0MS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
falta	falta	VMIP3S0	faltar
para	para	SPS00	para
las	las	DA0FP0	el
sentenzias	sentencias	NCFP000	sentencia
,	,	Fc	,
temiendo	temiendo	VMG0000	temer
que	que	CS	que
el	el	DA0MS0	el
consejo	consejo	NCMS000	consejo
diga	diga	VMSP0S0	decir
haze	hace	VMIP3S0	hacer
fuerza	fuerza	NCFS000	fuerza
,	,	Fc	,
Y	y	CC	y
lo	lo	PP3CNA00	lo
dijera	dijera	VMSI0S0	decir
sin	sin	SPS00	sin
jenero	género	NCMS000	género
de	de	SPS00	de
duda	duda	NCFS000	duda
si	si	CS	si
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
le	le	PP3CSD00	le
señalara	señalara	VMSI0S0	señalar
mas	más	RC	más
alimentos	alimentos	NCMP000	alimento
que	que	CS	que
las	las	DA0FP0	el
dos	dos	Z	2
3as	terceras	AO0FP0	tercero
partes	partes	NCFP000	parte
;	.	Fp	.
en	En	SPS00	en
esta	esta	DD0FS0	este
suposizon	suposición	NCFS000	suposición
le	le	PP3CSD00	le
parezio	pareció	VMIS3S0	parecer
al	al	SPS00+DA0MS0	a+el
Amigo	amigo	NCMS000	amigo
,	,	Fc	,
Y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
tambien	también	RG	también
,	,	Fc	,
que	que	CS	que
estando	estando	VMG0000	estar
ia	ya	RG	ya
ajustados	ajustados	VMP00PM	ajustar
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
pensionistas	pensionistas	NCMP000	pensionista
como	como	CS	como
lo	lo	PP3CNA00	lo
estan	están	VMIP3P0	estar
,	,	Fc	,
eszepto	excepto	CS	excepto
Ariza	Ariza	NP00000	ariza
Y	y	CC	y
Aranda	Aranda	NP00000	aranda
,	,	Fc	,
que	que	PR0CN000	que
no	no	RN	no
es	es	VSIP3S0	ser
perjudizial	perjudicial	AQ0CS0	perjudicial
la	la	DA0FS0	el
sentenzia	sentencia	NCFS000	sentencia
,	,	Fc	,
dando	dando	VMG0000	dar
la	la	DA0FS0	el
terzera	tercera	AO0FS0	tercero
parte	parte	NCFS000	parte
a	a	SPS00	a
los	los	DA0MP0	el
pensionistas	pensionistas	NCMP000	pensionista
,	,	Fc	,
pues	pues	CS	pues
los	los	DA0MP0	el
antiguos	antiguos	AQ0MP0	antiguo
casi	casi	RG	casi
la	la	PP3FSA00	lo
consumen	consumen	VMIP3P0	consumir
Y	y	CC	y
	,	Fc	,
si	si	CS	si
algo	algo	PI0CS000	algo
quedare	quedare	VMSF0S0	quedar
	,	Fc	,
se	se	P00CN000	se
rrepartira	repartirá	VMIF3S0	repartir
sueldo	sueldo	NCMS000	sueldo
a	a	SPS00	a
libra	libra	NCFS000	libra
entre	entre	SPS00	entre
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
modernos	modernos	AQ0MP0	moderno
Y	y	CC	y
en	en	SPS00	en
tal	tal	DD0CS0	tal
caso	caso	NCMS000	caso
le	le	PP3CSD00	le
tocara	tocará	VMIF3S0	tocar
alguna	alguna	DI0FS0	alguno
porzion	porción	NCFS000	porción
	,	Fc	,
que	que	PR0CN000	que
sera	será	VSIF3S0	ser
muy	muy	RQ	muy
corta	corta	AQ0FS0	corto
	,	Fc	,
a	a	SPS00	a
Ariza	Ariza	NP00000	ariza
,	.	Fp	.
pero	Pero	CC	pero
para	para	SPS00	para
atajar	atajar	VMN0000	atajar
esto	esto	PD0NN000	esto
ay	hay	VMIP3S0	haber
tambien	también	RG	también
medio	medio	NCMS000	medio
	,	Fc	,
que	que	PR0CN000	que
es	es	VSIP3S0	ser
interponer	interponer	VMN0000	interponer
apelazion	apelación	NCFS000	apelación
,	,	Fc	,
Y	y	CC	y
la	la	PP3FSA00	lo
conzederan	concederán	VMIF3P0	conceder
en	en	SPS00	en
ambos	ambos	DI0MP0	ambos
efestos	efectos	NCMP000	efecto
	.	Fp	.
Y	Y	CC	y
con	con	SPS00	con
ella	ella	PP3FS000	él
no	no	RN	no
puede	puede	VMIP3S0	poder
Ariza	Ariza	NP00000	ariza
ni	ni	CCN	ni
su	su	DP3CS0	su
primo	primo	NCMS000	primo
cobrar	cobrar	VMN0000	cobrar
un	un	DI0MS0	uno
marabedi	maravedí	NCMS000	maravedí
asta	hasta	SPS00	hasta
que	que	CS	que
ganen	ganen	VMSP3P0	ganar
ejecutoria	ejecutoria	NCFS000	ejecutoria
;	.	Fp	.
Y	Y	CC	y
antes	antes	RG	antes
que	que	CS	que
se	se	P00CN000	se
forme	forme	VMSP0S0	formar
el	el	DA0MS0	el
primero	primero	AO0MS0	primero
