sr	Señor	NP00000	señor
migel	Miguel	NP00000	miguel
de	de	SPS00	de
torres	Torres	NP00000	torres
	.	Fp	.
mucho	Mucho	RQ	mucho
me	me	PP1CS000	me
alegro	alegró	VMIS3S0	alegrar
el	el	DA0MS0	el
saber	saber	VMN0000	saber
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
	.	Fp	.
y	Y	CC	y
me	me	PP1CS000	me
pesa	pesa	VMIP3S0	pesar
de	de	SPS00	de
q	que	CS	que
Vm	VM	NP00000	VM
ande	ande	VMSP0S0	andar
con	con	SPS00	con
pena	pena	NCFS000	pena
por	por	SPS00	por
mi	mí	PP1CSO00	mí
	,	Fc	,
pues	pues	CS	pues
yo	yo	PP1CSN00	yo
estoy	estoy	VMIP1S0	estar
aqui	aquí	RG	aquí
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
	,	Fc	,
porq	porque	CS	porque
la	la	DA0FS0	el
sra	señora	NP00000	señor
q	que	PR0CN000	que
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
me	me	PP1CS000	me
ase	hace	VMIP3S0	hacer
mucha	mucha	DI0FS0	mucho
m	merced	NCFS000	merced
y	y	CC	y
agasajo	agasajo	NCMS000	agasajo
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
Vm	VM	NP00000	VM
puede	puede	VMIP3S0	poder
estarlo	estarlo	VMN0000+PP3CNA00	estar+lo
tanbien	también	RG	también
	.	Fp	.
en	En	SPS00	en
quanto	cuanto	PA000000	cuanto
lo	lo	DA0NS0	el
q	que	PR0CN000	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
dise	dice	VMIP3S0	decir
me	me	PP1CS000	me
baya	vaya	VMSP0S0	ir
con	con	SPS00	con
Vm	VM	NP00000	VM
	,	Fc	,
eso	eso	PD0NN000	eso
no	no	RN	no
puede	puede	VMIP3S0	poder
ser	ser	VSN0000	ser
	,	Fc	,
