Hame	Hame	VAIP3S0+PP1CS000	haber+me
sacado	sacado	VMP0000	sacar
Vmd	VM	NP00000	VM
de	de	SPS00	de
mucho	mucho	DI0MS0	mucho
cuidado	cuidado	NCMS000	cuidado
en	en	SPS00	en
q	que	CS	que
estava	estaba	VMII0S0	estar
de	de	SPS00	de
saber	saber	VMN0000	saber
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
	,	Fc	,
tanto	tanto	RC	tanto
q	que	CS	que
escrivi	escribí	VMIS1S0	escribir
al	al	SPS00+DA0MS0	a+el
Arno	arcediano	NCMS000	arcediano
de	de	SPS00	de
la	la	DA0FS0	el
bruja	bruja	NCFS000	brujo
q	que	PR0CN000	que
me	me	PP1CS000	me
avisase	avisase	VMSI0S0	avisar
si	si	CS	si
Vmd	VM	NP00000	VM
estava	estaba	VMII0S0	estar
malo	malo	AQ0MS0	malo
	.	Fp	.
y	Y	CC	y
doy	doy	VMIP1S0	dar
gracias	gracias	NCFP000	gracia
a	a	SPS00	a
dios	Dios	NP00000	dios
q	que	CS	que
no	no	RN	no
lo	lo	PP3CNA00	lo
este	esté	VMSP0S0	estar
y	y	CC	y
a	a	SPS00	a
Vmd	VM	NP00000	VM
por	por	SPS00	por
la	la	DA0FS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
en	en	SPS00	en
el	el	DA0MS0	el
nego	negocio	NCMS000	negocio
de	de	SPS00	de
sobreras	Sobreras	NP00000	sobreras
	.	Fp	.
q	Que	CS	que
todas	todas	DI0FP0	todo
esas	esas	DD0FP0	ese
deligencias	diligencias	NCFP000	diligencia
le	le	PP3CSD00	le
bayra	vayan	VMSP3P0	ir
a	a	SPS00	a
la	la	DA0FS0	el
parte	parte	NCFS000	parte
a	a	SPS00	a
buenos	buenos	AQ0MP0	bueno
medios	medios	NCMP000	medio
y	y	CC	y
justos	justos	NCMP000	justo
Y	y	CC	y
todo	todo	PI0MS000	todo
lo	lo	PP3CNA00	lo
devere	deberé	VMIF1S0	deber
a	a	SPS00	a
Vmd	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
assi	así	RG	así
le	le	PP3CSD00	le
supco	suplico	VMIP1S0	suplicar
en	en	SPS00	en
las	las	DA0FP0	el
ocasiones	ocasiones	NCFP000	ocasión
no	no	RN	no
se	se	P00CN000	se
descuide	descuide	VMSP0S0	descuidar
	.	Fp	.
yo	Yo	PP1CSN00	yo
ando	ando	VMIP1S0	andar
con	con	SPS00	con
deseo	deseo	NCMS000	deseo
de	de	SPS00	de
verme	verme	VMN0000+PP1CS000	ver+me
en	en	SPS00	en
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
	,	Fc	,
ya	ya	RG	ya
q	que	CS	que
es	es	VSIP3S0	ser
fuerça	fuerza	NCFS000	fuerza
bolver	volver	VMN0000	volver
a	a	SPS00	a
ella	ella	PP3FS000	él
,	;	Fx	;
y	y	CC	y
en	en	SPS00	en
haziendo	haciendo	VMG0000	hacer
tiempo	tiempo	NCMS000	tiempo
para	para	SPS00	para
poder	poder	VMN0000	poder
caminar	caminar	VMN0000	caminar
luego	luego	RG	luego
me	me	PP1CS000	me
porne	pondré	VMIF1S0	poner
en	en	SPS00	en
camino	camino	NCMS000	camino
.	.	Fp	.
El	El	DA0MS0	el
pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Rzdo.	Rzdo.	NP00000	rzdo.
b	besa	VMIP3S0	besar
l	las	DA0FP0	el
m	manos	NCFP000	mano
a	a	SPS00	a
Vmd	VM	NP00000	VM
	;	Fx	;
yo	yo	PP1CSN00	yo
a	a	SPS00	a
la	la	DA0FS0	el
sra	señora	NCFS000	señor
Priora	priora	AQ0FS0	prior
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
sra	señora	NP00000	señor
Doña	doña	NP00000	don
Maria	María	NP00000	maría
	.	Fp	.
a	A	SPS00	a
Vmd	VM	NP00000	VM
gde	guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
e	etc	NCMS000	etcétera
	.	Fp	.
y	Y	CC	y
y	y	CC	y
julio	julio	NCMS000	julio
9	9	Z	9
	.	Fp	.
fr	Fray	NP00000	fray
Po	Pedro	NP00000	pedro
	,	Fc	,
obo	obispo	NCMS000	obispo
de	de	SPS00	de
Tued	Tuy	NP00000	tuy
