este	Este	DD0MS0	este
hombre	hombre	NCMS000	hombre
tiene	tiene	VMIP3S0	tener
mucha	mucha	DI0FS0	mucho
priessa	prisa	NCFS000	prisa
de	de	SPS00	de
yrse	irse	VMN0000+P00CN000	ir+se
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
me	me	PP1CS000	me
la	la	PP3FSA00	lo
da	da	VMIP3S0	dar
para	para	SPS00	para
que	que	CS	que
escriva	escriba	VMSP0S0	escribir
a	a	SPS00	a
Vm	VM	NP00000	VM
le	le	PP3CSD00	le
mde	mande	VMSP0S0	mandar
embiar	enviar	VMN0000	enviar
çinqta	cincuenta	Z	50
Rs	reales	NCMP000	real
que	que	PR0CN000	que
dice	dice	VMIP3S0	decir
le	le	PP3CSD00	le
quedo	quedó	VMIS3S0	quedar
Vm	VM	NP00000	VM
a	a	SPS00	a
deber	deber	VMN0000	deber
de	de	SPS00	de
todas	todas	DI0FP0	todo
quentas	cuentas	NCFP000	cuenta
	.	Fp	.
por	Por	SPS00	por
eso	eso	PD0NN000	eso
	,	Fc	,
Vm	VM	NP00000	VM
sea	sea	VSSP0S0	ser
servido	servido	VMP00SM	servir
de	de	SPS00	de
embiarselos	enviárselos	VMN0000+PP3CN000+PP3MPA00	enviar+se+lo
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
mandarme	mandarme	VMN0000+PP1CS000	mandar+me
en	en	SPS00	en
que	que	CS	que
le	le	PP3CSD00	le
sirba	sirva	VMSP0S0	servir
	.	Fp	.
el	El	DA0MS0	el
sor	señor	NP00000	señor
inqor	inquisidor	NCMS000	inquisidor
Peña	Peña	NP00000	peña
	,	Fc	,
amigo	amigo	NP00000	amigo
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
bino	vino	VMIS3S0	venir
anoche	anoche	RG	anoche
y	y	CC	y
esta	está	VMIP3S0	estar
bueno	bueno	AQ0MS0	bueno
.	.	Fp	.
y	Y	CC	y
si	si	CS	si
por	por	SPS00	por
acà	acá	RG	acá
ay	hay	VMIP3S0	haber
alga	alguna	DI0FS0	alguno
cossa	cosa	NCFS000	cosa
en	en	SPS00	en
que	que	CS	que
yo	yo	PP1CSN00	yo
pueda	pueda	VMSP0S0	poder
servir	servir	VMN0000	servir
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
lo	lo	PP3CNA00	lo
hare	haré	VMIF1S0	hacer
con	con	SPS00	con
mucha	mucha	DI0FS0	mucho
Vold	voluntad	NCFS000	voluntad
	.	Fp	.
dios	Dios	NP00000	dios
gue	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
como	como	CS	como
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
pa	para	SPS00	para
mi	mí	PP1CSO00	mí
	,	Fc	,
amen	amén	NCMS000	amén
	.	Fp	.
en	En	SPS00	en
logroño	Logroño	NP00000	logroño
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
heno	enero	NCMS000	enero
4	4	Z	4
de	de	SPS00	de
1600	1600	Z	1600
	.	Fp	.
Sevan	Sebastián	NP00000	sebastián
de	de	SPS00	de
medrano	Medrano	NP00000	medrano
Reciviolos	Recibiolos	NP00000	recibiolos
el	el	DA0MS0	el
dho	dicho	NCMS000	dicho
Anto	Antonio	NP00000	antonio
de	de	SPS00	de
la	la	DA0FS0	el
barca	Barca	NP00000	barca
	.	Fp	.
Sevan	Sebastián	NP00000	sebastián
de	de	SPS00	de
medrano	Medrano	NP00000	medrano
