qrido	Querido	VMP00SM	querer
mio	mío	DP1MSS	mío
de	de	SPS00	de
mi	mi	DP1CSS	mi
coracon	corazón	NCMS000	corazón
	.	Fp	.
recibo	Recibo	VMIP1S0	recibir
tus	tus	DP2CPS	tu
papeles	papeles	NCMP000	papel
con	con	SPS00	con
el	el	DA0MS0	el
sumo	sumo	AQ0MS0	sumo
guto	gusto	NCMS000	gusto
que	que	CS	que
no	no	RN	no
te	te	PP2CS000	te
podere	podré	VMIF1S0	poder
sinificar	significar	VMN0000	significar
	,	Fc	,
pues	pues	CS	pues
en	en	SPS00	en
elos	ellos	PP3MP000	ellos
das	das	VMIP2S0	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
tu	tu	DP2CSS	tu
mucho	mucho	DI0MS0	mucho
cariño	cariño	NCMS000	cariño
	.	Fp	.
pues	Pues	CS	pues
es	es	VSIP3S0	ser
bastante	bastante	RQ	bastante
para	para	SPS00	para
que	que	CS	que
	,	Fc	,
aunque	aunque	CS	aunque
estubiera	estuviera	VMSI0S0	estar
	,	Fc	,
era	era	VSII0S0	ser
bastante	bastante	RQ	bastante
para	para	SPS00	para
rrecobrar	recobrar	VMN0000	recobrar
la	la	DA0FS0	el
salud	salud	NCFS000	salud
	,	Fc	,
pues	pues	CS	pues
me	me	PP1CS000	me
siento	siento	VMIP1S0	sentir
mejor	mejor	RC	mejor
aunque	aunque	CS	aunque
mi	mi	DP1CSS	mi
mano	mano	NCFS000	mano
era	era	VSII0S0	ser
cosa	cosa	NCFS000	cosa
de	de	SPS00	de
cuidado	cuidado	NCMS000	cuidado
si	si	CS	si
no	no	RN	no
sentimiento	sentimiento	NCMS000	sentimiento
del	del	SPS00+DA0MS0	de+el
tuuo	tuyo	PX2MS0S0	tuyo
.	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
que	que	CS	que
abisarte	avisarte	VMN0000+PP2CS000	avisar+te
nada	nada	PI0NN00N	nada
	,	Fc	,
sino	sino	CC	sino
que	que	CS	que
dios	Dios	NP00000	dios
de	dé	VMSP0S0	dar
lugar	lugar	NCMS000	lugar
par	par	NCMS000	par
que	que	PR0CN000	que
te	te	PP2CS000	te
bea	vea	VMSP0S0	ver
con	con	SPS00	con
el	el	DA0MS0	el
contento	contento	AQ0MS0	contento
que	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
ermana	hermana	NCFS000	hermano
daras	darás	VMIF2S0	dar
mil	mil	Z	1000
millones	millones	NCMP000	millón
de	de	SPS00	de
encomiendas	encomiendas	NCFP000	encomienda
	.	Fp	.
y	Y	CC	y
al	al	SPS00+DA0MS0	a+el
señor	señor	NP00000	señor
don	don	NP00000	don
francisco	Francisco	NP00000	francisco
canpos	Campos	NP00000	campos
	,	Fc	,
que	que	CS	que
estimo	estimo	VMIP1S0	estimar
mucho	mucho	RQ	mucho
sus	sus	DP3CP0	su
memorias	memorias	NCFP000	memoria
y	y	CC	y
le	le	PP3CSD00	le
daras	darás	VMIF2S0	dar
muchos	muchos	DI0MP0	mucho
rrecados	recados	NCMP000	recado
de	de	SPS00	de
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
ermana	hermana	NCFS000	hermano
le	le	PP3CSD00	le
diras	dirás	VMIF2S0	decir
que	que	CS	que
a	a	SPS00	a
la	la	DA0FS0	el
senora	señora	NP00000	señor
doña	doña	NP00000	don
sebastana	Sebastiana	NP00000	sebastiana
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
muchos	muchos	DI0MP0	mucho
recados	recados	NCMP000	recado
y	y	CC	y
el	el	DA0MS0	el
parabien	parabién	NCMS000	parabién
los	los	PP3MPA00	lo
reciba	reciba	VMSP0S0	recibir
de	de	SPS00	de
doña	doña	NP00000	don
Maria	María	NP00000	maría
de	de	SPS00	de
los	los	DA0MP0	el
relles	Reyes	NCMP000	rey
y	y	CC	y
de	de	SPS00	de
doña	doña	NP00000	don
icabel	Isabel	NP00000	isabel
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
	.	Fp	.
i	Y	CC	y
rrecibelos	recíbelos	CS	recíbelos
tu	tú	PP2CSN00	tú
de	de	SPS00	de
tu	tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
	.	Fp	.
doña	Doña	NP00000	don
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
y	y	CC	y
morales	Morales	NP00000	morales
mi	Mi	DP1CSS	mi
esposo	esposo	NP00000	esposo
don	don	NP00000	don
francisco	Francisco	NP00000	francisco
portillo	Portillo	NCMS000	portillo
	.	Fp	.
