dulsisima	Dulcísima	AQSFS0	dulce
Leonor	Leonor	NP00000	leonor
mia	mía	DP1FSS	mío
	.	Fp	.
	¡	Faa	¡
q	Qué	PT0CN000	qué
de	de	SPS00	de
males	males	NCMP000	mal
q	que	PR0CN000	que
padesco	padezco	VMIP1S0	padecer
por	por	SPS00	por
verte	verte	VMN0000+PP2CS000	ver+te
en	en	SPS00	en
tan	tan	RC	tan
triste	triste	AQ0CS0	triste
prision	prisión	NCFS000	prisión
sin	sin	SPS00	sin
poderte	poderte	VMN0000+PP2CS000	poder+te
dar	dar	VMN0000	dar
remedio	remedio	NCMS000	remedio
	!	Fat	!
mas	Mas	CC	mas
si	si	CS	si
acaso	acaso	RG	acaso
en	en	SPS00	en
tus	tus	DP2CPS	tu
penas	penas	NCFP000	pena
te	te	PP2CS000	te
sirvo	sirvo	VMIP1S0	servir
de	de	SPS00	de
algun	algún	DI0MS0	alguno
consuelo	consuelo	NCMS000	consuelo
asta	hasta	SPS00	hasta
verte	verte	VMN0000+PP2CS000	ver+te
de	de	SPS00	de
aqui	aquí	RG	aquí
fuera	fuera	RG	fuera
prometo	prometo	VMIP1S0	prometer
estar	estar	VMN0000	estar
aqui	aquí	RG	aquí
dentro	dentro	RG	dentro
	,	Fc	,
prq	porque	CS	porque
quiero	quiero	VMIP1S0	querer
livertad	libertad	NCFS000	libertad
si	si	CS	si
yo	yo	PP1CSN00	yo
mas	más	RC	más
cautivo	cautivo	AQ0MS0	cautivo
quedo	quedo	VMIP1S0	quedar
pues	pues	CS	pues
si	si	CS	si
mi	mi	DP1CSS	mi
amor	amor	NCMS000	amor
es	es	VSIP3S0	ser
tan	tan	RC	tan
grande	grande	AQ0CS0	grande
no	no	RN	no
agradescas	agradezcas	VMSP2S0	agradecer
esta	esta	DD0FS0	este
fineza	fineza	NCFS000	fineza
	,	Fc	,
pues	pues	CS	pues
yo	yo	PP1CSN00	yo
sienpre	siempre	RG	siempre
qdo	quedo	VMIP1S0	quedar
	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
azer	hacer	VMN0000	hacer
pa	para	SPS00	para
vivir	vivir	VMN0000	vivir
quando	cuando	PA000000	cuando
muero	muero	VMIP1S0	morir
la	la	DA0FS0	el
lus	luz	NCFS000	luz
le	le	PP3CSD00	le
falte	falte	VMSP0S0	faltar
a	a	SPS00	a
mis	mis	DP1CPS	mi
ojos	ojos	NCMP000	ojo
y	y	CC	y
mis	mis	DP1CPS	mi
carnes	carnes	NCFP000	carne
coman	coman	VMSP3P0	comer
perros	perros	NCMP000	perro
sin	sin	SPS00	sin
darme	darme	VMN0000+PP1CS000	dar+me
ningun	ningún	DI0MS0	ninguno
sustento	sustento	VMIP1S0	sustentar
veame	véame	VMSP0S0+PP1CS000	ver+me
el	el	DA0MS0	el
mas	más	RC	más
perdido	perdido	VMP00SM	perder
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
	.	Fp	.
pa	Para	SPS00	para
q	qué	PT0CN000	qué
quiero	quiero	VMIP1S0	querer
el	el	DA0MS0	el
valor	valor	NCMS000	valor
y	y	CC	y
pa	para	SPS00	para
que	qué	PT0CN000	qué
tengo	tengo	VMIP1S0	tener
esfuerso	esfuerzo	NCMS000	esfuerzo
pues	pues	CS	pues
todo	todo	PI0MS000	todo
viene	viene	VMIP3S0	venir
a	a	SPS00	a
parar	parar	VMN0000	parar
en	en	SPS00	en
llevarse	llevarse	VMN0000+P00CN000	llevar+se
un	un	DI0MS0	uno
tormto	tormento	NCMS000	tormento
	.	Fp	.
el	El	DA0MS0	el
amor	amor	NCMS000	amor
todo	todo	DI0MS0	todo
lo	lo	PP3CNA00	lo
allana	allana	VMIP3S0	allanar
q	que	CS	que
al	al	SPS00+DA0MS0	a+el
fin	fin	NCMS000	fin
es	es	VSIP3S0	ser
dios	Dios	NP00000	dios
aunq	aunque	CS	aunque
siego	siego	X	x
	,	Fc	,
pues	pues	CS	pues
quando	cuando	PA000000	cuando
el	el	DA0MS0	el
valor	valor	NCMS000	valor
me	me	PP1CS000	me
faltare	faltare	VMSF0S0	faltar
prometo	prometo	VMIP1S0	prometer
si	si	CS	si
vive	vive	VMIP3S0	vivir
el	el	DA0MS0	el
sielo	cielo	NCMS000	cielo
acordandome	acordándome	VMG0000+PP1CS000	acordar+me
de	de	SPS00	de
ti	ti	PP2CSO00	ti
no	no	RN	no
sentir	sentir	VMN0000	sentir
ningun	ningun	SPS00	ningun
tormto	tormento	NCMS000	tormento
	.	Fp	.
q	que	CS	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
mayor	mayor	AQ0CS0	mayor
sentimiento	sentimiento	NCMS000	sentimiento
si	si	CS	si
como	como	CS	como
a	a	SPS00	a
dios	Dios	NP00000	dios
no	no	RN	no
le	le	PP3CSD00	le
adoro	adoro	VMIP1S0	adorar
si	si	VMIP1S0	adorar
o	o	VMIP1S0	adorar
tengo	tengo	VMIP1S0	adorar
gusto	gusto	VMIP1S0	adorar
sin	sin	VMIP1S0	adorar
ti	ti	VMIP1S0	adorar
si	si	VMIP1S0	adorar
no	no	VMIP1S0	adorar
es	es	VMIP1S0	adorar
quando	quando	VMG0000	quar
te	te	VMG0000	quar
veo	veo	VMG0000	quar
mismo	mismo	RG	mismo
le	le	PP3CSD00	le
adora	adora	VMIP3S0	adorar
el	el	DA0MS0	el
alma	alma	NCFS000	alma
y	y	CC	y
como	como	CS	como
a	a	SPS00	a
dios	Dios	NP00000	dios
te	te	PP2CS000	te
obedesco	obedezco	VMIP1S0	obedecer
	.	Fp	.
Reyna	Reina	NP00000	reina
lo	lo	PP3CNA00	lo
es	es	VSIP3S0	ser
de	de	SPS00	de
mi	mi	DP1CSS	mi
gusto	gusto	NCMS000	gusto
y	y	CC	y
a	a	SPS00	a
tus	tus	DP2CPS	tu
pies	pies	NCMP000	pie
rendido	rendido	VMP0000	rendir
y	y	CC	y
puesto	puesto	VMP00SM	poner
pido	pido	VMIP1S0	pedir
la	la	DA0FS0	el
vida	vida	NCFS000	vida
q	que	PR0CN000	que
usurpas	usurpas	VMIP2S0	usurpar
a	a	SPS00	a
la	la	DA0FS0	el
mte	muerte	NCFS000	muerte
mas	más	RC	más
perfeto	perfecto	AQ0MS0	perfecto
	.	Fp	.
