Jhs	JHS		
	,		
ma	María		
	,		
Jph	José		
	...		
	...		
Sean	Sean		
a	a		
Vmd	VM		
	,		
querido	querido		
sobrino	sobrino		
de	de		
mi	mi		
alma	alma		
	,		
salud	salud		
	,		
vida	vida		
y	y		
consuelo	consuelo		
	.		
mui	Muy		
grande	grande		
lo	lo		
sera	será		
para	para		
mi	mi		
corazon	corazón		
el	el		
que	que		
esta	ésta		
halle	halle		
a	a		
Vmd	VM		
con	con		
mui	muy		
cumplida	cumplida		
salud	salud		
de	de		
alma	alma		
y	y		
cuerpo	cuerpo		
	,		
que	que		
como	como		
a	ha		
tres	tres		
correos	correos		
que	que		
no	no		
e	he		
visto	visto		
el	el		
fabor	favor		
de	de		
sus	sus		
letras	letras		
me	me		
tiene	tiene		
cuidadosa	cuidadosa		
si	si		
es	es		
por	por		
falta	falta		
de	de		
ella	ella		
el	el		
carezer	carecer		
d	de		
este	este		
consuelo	consuelo		
	,		
que	que		
le	le		
aseguro	aseguro		
a	a		
mi	mi		
querido	querido		
hijo	hijo		
que	que		
en	en		
esta	esta		
vida	vida		
no	no		
ai	hay		
pa	para		
mi	mí		
otro	otro		
mayor	mayor		
que	que		
el	el		
dia	día		
que	que		
rrezibo	recibo		
sus	sus		
letras	letras		
y	y		
se	sé		
por	por		
ellas	ellas		
goza	goza		
de	de		
salud	salud		
	.		
y	Y		
asi	así		
por	por		
amor	amor		
de	de		
Dios	Dios		
que	que		
siempre	siempre		
que	que		
vmd	VM		
pueda	pueda		
no	no		
escuse	excuse		
el	el		
escribirme	escribirme		
	,		
que	que		
yo	yo		
me	me		
enmendare	enmendaré		
haziendolo	haciéndolo		
con	con		
mas	más		
frequenzia	frecuencia		
por	por		
causa	causa		
de	de		
hallarme	hallarme		
mexor	mejor		
d	de		
este	este		
perberso	perverso		
achaque	achaque		
de	de		
la	la		
melancolia	melancolía		
que	que		
tanto	tanto		
me	me		
a	ha		
fatigado	fatigado		
este	este		
berano	verano		
	(		
que	que		
	,		
aunque	aunque		
las	las		
calores	calores		
no	no		
se	se		
an	han		
minorado	aminorado		
	,		
con	con		
todo	todo		
me	me		
siento	siento		
mas	más		
alibiada	aliviada		
	)		
	,		
que	que		
esta	ésta		
a	ha		
sido	sido		
la	la		
causa	causa		
de	de		
no	no		
aber	haber		
escrito	escrito		
a	a		
mi	mi		
sobrino	sobrino		
todas	todas		
las	las		
vezes	veces		
que	que		
mis	mis		
afectos	afectos		
piden	piden		
	.		
mucho	Mucho		
e	he		
sentido	sentido		
la	la		
muerte	muerte		
tan	tan		
azelerada	acelerada		
de	de		
ese	ese		
sr	señor		
oidor	oidor		
que	que		
abia	había		
de	de		
dar	dar		
el	el		
boto	voto		
	.		
ia	Ya		
