Hermano	Hermano	NP00000	hermano
	.	Fp	.
Recibi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
tuya	tuya	PX2FS0S0	tuyo
y	y	CC	y
por	por	SPS00	por
ello	ello	PD0NN000	ello
beo	veo	VMIP1S0	ver
goca	goza	VMIP3S0	gozar
salud	salud	NCFS000	salud
en	en	SPS00	en
compañia	compañía	NCFS000	compañía
de	de	SPS00	de
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
ermana	hermana	NCFS000	hermano
y	y	CC	y
demas	demás	DI0CP0	demás
familia	familia	NCFS000	familia
	;	Fx	;
yo	yo	PP1CSN00	yo
y	y	CC	y
doña	doña	NP00000	don
bernarda	Bernarda	NP00000	bernarda
la	la	PP3FSA00	lo
gocamos	gozamos	VMIP1P0	gozar
para	para	SPS00	para
serbirte	servirte	VMN0000+PP2CS000	servir+te
y	y	CC	y
a	a	SPS00	a
todos	todos	DI0MP0	todo
esos	esos	DD0MP0	ese
señores	señores	NCMP000	señor
y	y	CC	y
señoras	señoras	NCFP000	señor
a	a	SPS00	a
quienes	quienes	PR0CP000	quien
beso	beso	VMIP1S0	besar
las	las	DA0FP0	el
manos	manos	NCFP000	mano
	.	Fp	.
beo	Veo	VMIP1S0	ver
como	como	CS	como
iciste	hiciste	VMIS2S0	hacer
la	la	DA0FS0	el
deligencia	diligencia	NCFS000	diligencia
del	del	SPS00+DA0MS0	de+el
poder	poder	NCMS000	poder
y	y	CC	y
como	como	CS	como
se	se	P00CN000	se
negocio	negoció	VMIS3S0	negociar
	.	Fp	.
que	Que	CS	que
esta	está	VMIP3S0	estar
bien	bien	RG	bien
y	y	CC	y
prosigiras	proseguirás	VMIF2S0	proseguir
asta	hasta	SPS00	hasta
cobrar	cobrar	VMN0000	cobrar
	.	Fp	.
en	En	SPS00	en
qto	cuanto	PA000000	cuanto
a	a	SPS00	a
nuestro	nuestro	DP1MSP	nuestro
biage	viaje	NCMS000	viaje
	,	Fc	,
yo	yo	PP1CSN00	yo
ya	ya	RG	ya
estoy	estoy	VMIP1S0	estar
encagonando	encajonando	VMG0000	encajonar
la	la	DA0FS0	el
ropa	ropa	NCFS000	ropa
y	y	CC	y
parte	parte	NCFS000	parte
d	de	SPS00	de
ello	ello	PD0NN000	ello
ba	va	VMIP3S0	ir
ya	ya	RG	ya
por	por	SPS00	por
el	el	DA0MS0	el
camino	camino	NCMS000	camino
	.	Fp	.
y	Y	CC	y
	,	Fc	,
asta	hasta	SPS00	hasta
que	que	CS	que
buelba	vuelva	VMSP0S0	volver
el	el	DA0MS0	el
ariero	arriero	NCMS000	arriero
	,	Fc	,
no	no	RN	no
sera	será	VSIF3S0	ser
mi	mi	DP1CSS	mi
partida	partida	NCFS000	partida
	.	Fp	.
la	La	DA0FS0	el
qta	cuenta	NCFS000	cuenta
que	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
tomar	tomar	VMN0000	tomar
para	para	SPS00	para
nuestro	nuestro	DP1MSP	nuestro
biage	viaje	NCMS000	viaje
esta	está	VMIP3S0	estar
.	.	Fp	.
el	El	DA0MS0	el
dia	día	NCMS000	día
beinte	veinte	Z	20
de	de	SPS00	de
este	este	DD0MS0	este
mes	mes	NCMS000	mes
entra	entra	VMIP3S0	entrar
el	el	DA0MS0	el
ariero	arriero	NCMS000	arriero
en	en	SPS00	en
esta	esta	DD0FS0	este
ciudad	ciudad	NCFS000	ciudad
	;	Fx	;
el	el	DA0MS0	el
dia	día	NCMS000	día
beinte	veinte	Z	20
y	y	CC	y
uno	uno	Z	1
	,	Fc	,
que	que	PR0CN000	que
es	es	VSIP3S0	ser
biernes	viernes	NCMN000	viernes
	,	Fc	,
emos	hemos	VMIP1P0	haber
de	de	SPS00	de
salir	salir	VMN0000	salir
con	con	SPS00	con
el	él	PP3MS000	él
.	.	Fp	.
este	Éste	PD0MS000	este
es	es	VSIP3S0	ser
el	el	DA0MS0	el
dia	día	NCMS000	día
figo	fijo	AQ0MS0	fijo
que	que	PR0CN000	que
me	me	PP1CS000	me
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
ir	ir	VMN0000	ir
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
sera	será	VSIF3S0	ser
preciso	preciso	AQ0MS0	preciso
que	que	CS	que
con	con	SPS00	con
las	las	DA0FP0	el
medias	medias	NCFP000	media
te	te	PP2CS000	te
pases	pases	VMSP2S0	pasar
por	por	SPS00	por
la	La	DA0FS0	el
barca	Barca	NP00000	barca
y	y	CC	y
te	te	PP2CS000	te
bayas	vayas	VMSP2S0	ir
a	a	SPS00	a
nobes	Novés	NP00000	novés
	.	Fp	.
y	Y	CC	y
preguntaras	preguntarás	VMIF2S0	preguntar
por	por	SPS00	por
maria	María	NP00000	maría
rodriguez	Rodríguez	NP00000	rodríguez
