Amigo	Amigo	NP00000	amigo
	.	Fp	.
tengo	Tengo	VMIP1S0	tener
escrito	escrito	VMP00SM	escribir
a	a	SPS00	a
Vmd	VM	NP00000	VM
tres	tres	Z	3
cartas	cartas	NCFP000	carta
	,	Fc	,
en	en	SPS00	en
donde	donde	PA000000	donde
abisava	avisaba	VMII0S0	avisar
el	el	DA0MS0	el
estado	estado	NCMS000	estado
del	del	SPS00+DA0MS0	de+el
negosio	negocio	NCMS000	negocio
,	.	Fp	.
ya	Ya	RG	ya
dige	dije	VMIS1S0	decir
a	a	SPS00	a
Vmd	VM	NP00000	VM
como	como	CS	como
Bernardo	Bernardo	NP00000	bernardo
Garzia	García	NP00000	garcía
tiene	tiene	VMIP3S0	tener
ynfluido	influido	VMP00SM	influir
al	al	SPS00+DA0MS0	a+el
señor	señor	NP00000	señor
Dn	don	NP00000	don
Barme	Bartolomé	NP00000	bartolomé
el	el	DA0MS0	el
que	que	CS	que
la	la	DA0FS0	el
real	Real	AQ0CS0	real
asienda	Hacienda	NP00000	hacienda
esta	está	VMIP3S0	estar
cubierta	cubierta	VMP00SF	cubrir
	.	Fp	.
y	Y	CC	y
para	para	SPS00	para
eso	eso	PD0NN000	eso
tiene	tiene	VMIP3S0	tener
dado	dado	VMP00SM	dar
auto	auto	NCMS000	auto
dho	dicho	VMP00SM	decir
sseñor	señor	NP00000	señor
para	para	SPS00	para
que	que	CS	que
Anbrosio	Ambrosio	NP00000	ambrosio
	,	Fc	,
con	con	SPS00	con
asistensia	asistencia	NCFS000	asistencia
de	de	SPS00	de
Bernardo	Bernardo	NP00000	bernardo
	,	Fc	,
le	le	PP3CSD00	le
den	den	VMSP3P0	dar
testimonio	testimonio	NCMS000	testimonio
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
cobrado	cobrado	VMP00SM	cobrar
	.	Fp	.
y	Y	CC	y
a	ha	VMIP3S0	haber
mas	más	RC	más
de	de	SPS00	de
un	un	DI0MS0	uno
mes	mes	NCMS000	mes
que	que	CS	que
lo	lo	PP3MSA00	lo
tiene	tiene	VMIP3S0	tener
mandado	mandado	VMP00SM	mandar
y	y	CC	y
el	el	DA0MS0	el
testimonio	testimonio	NCMS000	testimonio
nunca	nunca	RN	nunca
se	se	P00CN000	se
acaba	acaba	VMIP3S0	acabar
	,	Fc	,
y	y	CC	y
jusgo	juzgo	VMIP1S0	juzgar
no	no	RN	no
se	se	P00CN000	se
acabara	acabará	VMIF3S0	acabar
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
señor	señor	NP00000	señor
Dn	don	NP00000	don
Barme	Bartolomé	NP00000	bartolomé
parese	parece	VMIP3S0	parecer
no	no	RN	no
se	se	P00CN000	se
delibera	delibera	VMIP3S0	deliberar
a	a	SPS00	a
nada	nada	PI0NN00N	nada
	,	Fc	,
porque	porque	CS	porque
como	como	CS	como
esta	está	VMIP3S0	estar
de	de	SPS00	de
pendensia	pendencia	NCFS000	pendencia
es	es	VSIP3S0	ser
echo	hecho	NCMS000	hecho
del	del	SPS00+DA0MS0	de+el
señor	señor	NP00000	señor
Dn	don	NP00000	don
Jua	Juan	NP00000	juan
de	de	SPS00	de
Riaño	Riaño	NP00000	riaño
	;	Fx	;
y	y	CC	y
parese	parece	VMIP3S0	parecer
	,	Fc	,
segun	según	SPS00	según
escribio	escribió	VMIS3S0	escribir
	,	Fc	,
esta	está	VMIP3S0	estar
para	para	SPS00	para
benirse	venirse	VMN0000+P00CN000	venir+se
a	a	SPS00	a
este	este	DD0MS0	este
Reyno	reino	NCMS000	reino
,	.	Fp	.
