Muy	Muy	RQ	muy
Sra	señora	NP00000	señor
mia	mía	DP1FSS	mío
	.	Fp	.
estimo	Estimo	VMIP1S0	estimar
à	a	SPS00	a
Vm	VM	NP00000	VM
las	las	DA0FP0	el
atenciones	atenciones	NCFP000	atención
y	y	CC	y
le	le	PP3CSD00	le
doy	doy	VMIP1S0	dar
muchas	muchas	DI0FP0	mucho
graçias	gracias	NCFP000	gracia
por	por	SPS00	por
las	las	DA0FP0	el
oraçiones	oraciones	NCFP000	oración
que	que	PR0CN000	que
me	me	PP1CS000	me
ofreçe	ofrece	VMIP3S0	ofrecer
de	de	SPS00	de
su	su	DP3CS0	su
Sta	santa	AQ0FS0	santo
comunidad	comunidad	NCFS000	comunidad
	,	Fc	,
y	y	CC	y
pagare	pagaré	VMIF1S0	pagar
con	con	SPS00	con
las	las	DA0FP0	el
mias	mías	PX1FP0S0	mío
	.	Fc	,
y	Y	CC	y
respondiendo	respondiendo	VMG0000	responder
a	a	SPS00	a
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
de	de	SPS00	de
su	su	DP3CS0	su
papel	papel	NCMS000	papel
digo	digo	VMIP1S0	decir
que	que	CS	que
estoy	estoy	VMIP1S0	estar
promptissimo	prontísimo	AQSMS0	pronto
à	a	SPS00	a
obedezer	obedecer	VMN0000	obedecer
à	a	SPS00	a
Vm	VM	NP00000	VM
en	en	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
	.	Fp	.
que	Que	CS	que
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	,	Fc	,
que	que	CS	que
soy	soy	VSIP1S0	ser
una	una	DI0FS0	uno
basura	basura	NCFS000	basura
y	y	CC	y
un	un	DI0MS0	uno
desaprobechado	desaprovechado	NCMS000	desaprovechado
	,	Fc	,
	¿	Fia	¿
que	qué	PT0CN000	qué
pueden	pueden	VMIP3P0	poder
saber	saber	VMN0000	saber
sino	sino	CC	sino
ignorançias	ignorancias	NCFP000	ignorancia
?	?	Fit	?
asegurole	Asegúrole	VMIP1S0+PP3CSD00	asegurar+le
à	a	SPS00	a
Vm	VM	NP00000	VM
que	que	CS	que
digo	digo	VMIP1S0	decir
de	de	SPS00	de
mi	mí	PP1CSO00	mí
lo	lo	DA0NS0	el
que	que	PR0CN000	que
en	en	SPS00	en
la	la	DA0FS0	el
realidad	realidad	NCFS000	realidad
siento	siento	VMIP1S0	sentir
.	.	Fp	.
ntro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
gde	guarde	VMSP0S0	guardar
à	a	SPS00	a
Vm	VM	NP00000	VM
felices	felices	AQ0CP0	feliz
años	años	NCMP000	año
	.	Fp	.
d	De	SPS00	de
esta	esta	DD0FS0	este
su	su	DP3CS0	su
casa	casa	NCFS000	casa
	,	Fc	,
y	y	CC	y
Jullio	julio	NCMS000	julio
a	a	SPS00	a
5	5	Z	5
de	de	SPS00	de
1689	1689	Z	1689
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
Mano	mano	NCFS000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
su	su	DP3CS0	su
Cappn	capellán	NCMS000	capellán
y	y	CC	y
sierbo	siervo	NCMS000	siervo
	,	Fc	,
Vicente	Vicente	NP00000	vicente
de	de	SPS00	de
Cuellar	Cuéllar	NP00000	cuéllar
Sra	Señora	NP00000	señor
Da	doña	NP00000	don
Ma	María	NP00000	maría
Ana	Ana	NP00000	ana
de	de	SPS00	de
Otonel	Otonel	NP00000	otonel
	.	Fp	.
antes	Antes	RG	antes
que	que	CS	que
llegasen	llegasen	VMSI3P0	llegar
las	las	DA0FP0	el
segundas	segundas	AO0FP0	2
razones	razones	NCFP000	razón
de	de	SPS00	de
su	su	DP3CS0	su
precepto	precepto	NCMS000	precepto
de	de	SPS00	de
Vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
tenia	tenía	VMII0S0	tener
dejado	dejado	VMP0000	dejar
el	el	DA0MS0	el
comunicar	comunicar	VMN0000	comunicar
a	a	SPS00	a
sus	sus	DP3CP0	su
Religiosas	religiosas	NCFP000	religioso
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vm	VM	NP00000	VM
dice	dice	VMIP3S0	decir
de	de	SPS00	de
los	los	DA0MP0	el
directores	directores	NCMP000	director
de	de	SPS00	de
las	las	DA0FP0	el
sras	señoras	NCFP000	señor
	,	Fc	,
es	es	VSIP3S0	ser
cierto	cierto	AQ0MS0	cierto
que	que	CS	que
me	me	PP1CS000	me
da	da	VMIP3S0	dar
mucho	mucho	DI0MS0	mucho
consuelo	consuelo	NCMS000	consuelo
	.	Fp	.
el	El	DA0MS0	el
secreto	secreto	NCMS000	secreto
encargo	encargo	VMIP1S0	encargar
como	como	CS	como
es	es	VSIP3S0	ser
razon	razón	NCFS000	razón
Y	y	CC	y
confieso	confieso	VMIP1S0	confesar
que	que	CS	que
habra	habrá	VMIF3S0	haber
justos	justos	AQ0MP0	justo
motibos	motivos	NCMP000	motivo
para	para	SPS00	para
ello	ello	PD0NN000	ello
.	.	Fp	.
no	No	RN	no
le	le	PP3CSD00	le
executo	ejecuto	VMIP1S0	ejecutar
a	a	SPS00	a
Vm	VM	NP00000	VM
por	por	SPS00	por
la	la	DA0FS0	el
palabra	palabra	NCFS000	palabra
que	que	PR0CN000	que
me	me	PP1CS000	me
dio	dio	VMIS3S0	dar
	.	Fp	.
ofrezcolo	Ofrézcolo	NP00000	ofrézcolo
todo	todo	PI0MS000	todo
a	a	SPS00	a
Dios	Dios	NP00000	dios
y	y	CC	y
a	a	SPS00	a
Vm	VM	NP00000	VM
la	la	PP3FSA00	lo
dejo	dejo	VMIP1S0	dejar
libre	libre	AQ0CS0	libre
d	de	SPS00	de
ella	ella	PP3FS000	él
pa	para	SPS00	para
que	que	CS	que
bea	vea	VMSP0S0	ver
Vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
prompto	pronto	RG	pronto
de	de	SPS00	de
mi	mi	DP1CSS	mi
obediencia	obediencia	NCFS000	obediencia
	.	Fp	.
en	En	SPS00	en
acabando	acabando	VMG0000	acabar
Vm	VM	NP00000	VM
de	de	SPS00	de
leer	leer	VMN0000	leer
mi	mi	DP1CSS	mi
quaderno	cuaderno	NCMS000	cuaderno
	,	Fc	,
si	si	CS	si
gusta	gusta	VMIP3S0	gustar
me	me	PP1CS000	me
le	le	PP3CSD00	le
puede	puede	VMIP3S0	poder
remitir	remitir	VMN0000	remitir
	.	Fp	.
