Jhs	JHS		
Ma	María		
Muy	Muy		
Sra	señora		
mia	mía		
	.		
supuesto	Supuesto		
que	que		
Yo	yo		
no	no		
puedo	puedo		
obedecer	obedecer		
à	a		
Vm	VM		
en	en		
lo	lo		
que	que		
me	me		
tiene	tiene		
mandado	mandado		
por	por		
las	las		
raçones	razones		
de	de		
mi	mi		
papelico	papelico		
de	de		
esta	esta		
mañana	mañana		
y	y		
que	que		
Vm	VM		
me	me		
suplica	suplica		
	,		
le	le		
digo	digo		
de	de		
chard	caridad		
en	en		
que	qué		
consiste	consiste		
el	el		
que	que		
la	la		
voluntad	voluntad		
racional	racional		
del	del		
alma	alma		
se	se		
una	una		
à	a		
la	la		
Dibina	divina		
?	.		
digo	Digo		
sin	sin		
perjuicio	perjuicio		
de	de		
su	su		
Director	director		
de	de		
Vm	VM		
que	que		
ay	hay		
tres	tres		
vias	vías		
	:		
la	la		
una	una		
es	es		
la	la		
purgatiba	purgativa		
	,		
La	la		
segunda	segunda		
es	es		
la	la		
iluminativa	iluminativa		
y	y		
la	la		
tercera	tercera		
la	la		
unitiba	unitiva		
:	.		
La	La		
Purgatiba	purgativa		
consiste	consiste		
en	en		
llorar	llorar		
	,		
aunque	aunque		
no	no		
sea	sea		
mas	más		
que	que		
spiritualmte	espiritualmente		
	,		
los	los		
pecados	pecados		
	;		
castigar	castigar		
al	al		
cuerpo	cuerpo		
un	un		
poquito	poquito		
	,		
segun	según		
el	el		
director	director		
diese	diese		
la	la		
Liza	licencia		
pa	para		
las	las		
obras	obras		
penales	penales		
	;		
y	y		
en	en		
no	no		
cometerlos	cometerlos		
mas	más		
	.		
y	Y		
pa	para		
ello	ello		
es	es		
preciso	preciso		
huir	huir		
de	de		
las	las		
ocasiones	ocasiones		
y	y		
aborrecer	aborrecer		
al	al		
mundo	mundo		
y	y		
hazerles	hacerles		
el	el		
amor	amor		
propio	propio		
a	a		
los	los		
apetitos	apetitos		
de	de		
los	los		
sentidos	sentidos		
	:		
una	una		
cruda	cruda		
guerra	guerra		
	,		
no	no		
dandole	dándole		
gusto	gusto		
en	en		
nada	nada		
el	el		
alma	alma		
a	a		
sus	sus		
apetitos	apetitos		
de	de		
los	los		
sentidos	sentidos		
	.		
todo	Todo		
con	con		
la	la		
recta	recta		
intencion	intención		
de	de		
que	que		
sea	sea		
por	por		
amor	amor		
de	de		
christo	Cristo		
	.		
y	Y		
asi	así		
si	si		
la	la		
bista	vista		
quiere	quiere		
ber	ver		
lo	lo		
que	que		
pasa	pasa		
por	por		
la	la		
calle	calle		
	(		
como	cómo		
es	es		
una	una		
danza	danza		
o	o		
una	una		
mascara	mascara		
ò	o		
una	una		
fiesta	fiesta		
de	de		
mundo	mundo		
en	en		
que	que		
ba	va		
la	la		
gente	gente		
muy	muy		
galana	galana		
ò	o		
alguna	alguna		
pendencia	pendencia		
	)		
que	que		
ande	ande		
en	en		
la	la		
calle	calle		
pa	para		
resistir	resistir		
à	a		
la	la		
fuerza	fuerza		
de	de		
el	el		
amor	amor		
propio	propio		
y	y		
no	no		
darle	darle		
gusto	gusto		
en	en		
esto	esto		
:	,		
no	no		
asomandose	asomándose		
à	a		
las	las		
bistas	vistas		
y	y		
pidiendole	pidiéndole		
fuerzas	fuerzas		
al	al		
sor	Señor		
	.		
Y	Y		
d	de		
esta	esta		
forma	forma		
a	a		
la	la		
bista	vista		
que	que		
no	no		
se	se		
arta	harta		
de	de		
ber	ver		
se	se		
le	le		
doma	doma		
el	el		
apetito	apetito		
bisivo	visivo		
	,		
y	y		
la	la		
boluntad	voluntad		
se	se		
recoje	recoge		
al	al		
corazon	corazón		
y	y		
se	se		
emplea	emplea		
en	en		
amar	amar		
à	a		
aquel	aquel		
objeto	objeto		
por	por		
quien	quien		
esto	esto		
se	se		
haçe	hace		
	,		
que	que		
es	es		
christo	Cristo		
	.		
Y	Y		
aunque	aunque		
mas	más		
regaña	regaña		
y	y		
murmura	murmura		
el	el		
amor	amor		
propio	propio		
Y	y		
aunque	aunque		
mas	más		
razones	razones		
alegue	alegue		
	,		
no	no		
hacer	hacer		
caso	caso		
d	de		
el	él		
ni	ni		
d	de		
ellas	ellas		
	,		
y	y		
quedanse	quédanse		
como	como		
quien	quien		
tal	tal		
cosa	cosa		
no	no		
ha	ha		
hecho	hecho		
	.		
y	Y		
asi	así		
resistencia	resistencia		
	,		
y	y		
asi	así		
la	la		
boluntad	voluntad		
se	se		
estara	estará		
quieta	quieta		
con	con		
Christo	Cristo		
	.		
y	Y		
si	si		
se	se		
arroja	arroja		
el	el		
alma	alma		
a	a		
ber	ver		
la	la		
tal	tal		
cosa	cosa		
a	a		
las	las		
bistas	vistas		
	,		
la	la		
boluntad	voluntad		
se	se		
derrama	derrama		
por	por		
todas	todas		
aquellas	aquellas		
cosas	cosas		
que	que		
bee	ve		
y	y		
queda	queda		
pagada	pagada		
	.		
Y	Y		
esto	esto		
es	es		
amar	amar		
à	a		
aquellas	aquellas		
cosas	cosas		
tras	tras		
quien	quien		
se	se		
fue	fue		
a	a		
las	las		
bistas	vistas		
.	.		
Y	Y		
lo	lo		
mismo	mismo		
digo	digo		
en	en		
la	la		
lezcion	lección		
de	de		
libros	libros		
profanos	profanos		
.	.		
Y	Y		
esta	esta		
guerra	guerra		
se	se		
le	le		
ha	ha		
de	de		
hacer	hacer		
à	a		
este	este		
apetito	apetito		
d	de		
este	este		
sentido	sentido		
y	y		
al	al		
amor	amor		
propio	propio		
	.		
y	Y		
crea	crea		
que	que		
si	si		
la	la		
boluntad	voluntad		
no	no		
amara	amara		
tales	tales		
cosas	cosas		
de	de		
mundo	mundo		
que	que		
no	no		
se	se		
arrojara	arrojara		
à	a		
las	las		
bistas	vistas		
a	a		
berlas	verlas		
	.		
y	Y		
el	el		
remedio	remedio		
es	es		
desafiçionarse	desaficionarse		
d	de		
ellas	ellas		
y	y		
resistir	resistir		
al	al		
apetito	apetito		
bisibo	visivo		
.	.		
El	El		
segundo	segundo		
sentido	sentido		
se	se		
le	le		
ha	ha		
de	de		
haçer	hacer		
tambien	también		
estas	estas		
guerra	guerra		
	,		
y	y		
al	al		
apetito	apetito		
del	del		
gusto	gusto		
y	y		
al	al		
amor	amor		
propio	propio		
	.		
Y	Y		
aborrezer	aborrecer		
lo	lo		
que	que		
es	es		
deliçia	delicia		
d	de		
este	este		
sentido	sentido		
y	y		
no	no		
darselo	dárselo		
al	al		
gusto	gusto		
	,		
aunque	aunque		
rabie	rabie		
el	el		
amor	amor		
propio	propio		
	.		
y	Y		
de	de		
quando	cuando		
en	en		
quando	cuando		
pisotear	pisotear		
algun	algun		
dulçeçillo	dulcecillo		
por	por		
amor	amor		
de	de		
christo	Cristo		
	.		
y	Y		
si	si		
en	en		
lugar	lugar		
del	del		
dulçe	dulce		
se	se		
le	le		
diese	diese		
al	al		
gusto	gusto		
	—		
esto	esto		
es	es		
	,		
a	a		
la	la		
boca	boca		
	—		
alguna	alguna		
cosa	cosa		
desabrida	desabrida		
por	por		
amor	amor		
de	de		
christo	Cristo		
y	y		
no	no		
el	el		
dulçe	dulce		
	,		
sera	será		
gran	gran		
cosa	cosa		
	.		
y	Y		
asi	así		
la	la		
voluntad	voluntad		
todo	todo		
el	el		
amor	amor		
que	que		
	,		
arrastrada	arrastrada		
del	del		
amor	amor		
propio	propio		
y	y		
del	del		
apetito	apetito		
les	les		
tenia	tenía		
à	a		
estas	estas		
cosas	cosas		
ò	o		
tiene	tiene		
	,		
se	se		
le	le		
dara	dará		
a	a		
Jesuchristo	Jesucristo		
	.		
y	Y		
todas	todas		
estas	estas		
cosas	cosas		
deleitables	deleitables		
al	al		
sentido	sentido		
del	del		
gusto	gusto		
se	se		
quedaran	quedarán		
fuera	fuera		
de	de		
la	la		
voluntad	voluntad		
	.		
y	Y		
asi	así		
el	el		
alma	alma		
todo	todo		
aquello	aquello		
que	que		
amava	amaba		
estas	estas		
cosas	cosas		
lo	lo		
combertira	convertirá		
à	a		
