Illmo	Ilustrísimo	AQSMS0	ilustre
sor	señor	NP00000	señor
	.	Fp	.
Mi	Mi	DP1CSS	mi
señor	señor	NP00000	señor
y	y	CC	y
mio	mío	PX1MS0S0	mío
tio	tío	NCMS000	tío
	.	Fp	.
de	De	SPS00	de
6	6	Z	6
y	y	CC	y
17	17	Z	17
de	de	SPS00	de
este	éste	PD0MS000	este
rezivo	recibo	NCMS000	recibo
dos	dos	Z	2
cartas	cartas	NCFP000	carta
de	de	SPS00	de
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
	,	Fc	,
la	la	DA0FS0	el
prima	primera	AO0FS0	primero
que	que	PR0CN000	que
correspondia	correspondía	VMII0S0	corresponder
al	al	SPS00+DA0MS0	a+el
correo	correo	NCMS000	correo
pasado	pasado	VMP00SM	pasar
y	y	CC	y
q	que	CS	que
con	con	SPS00	con
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
de	de	SPS00	de
esos	esos	DD0MP0	ese
parajes	parajes	NCMP000	paraje
por	por	SPS00	por
no	no	RN	no
se	sé	VMIP1S0	saber
que	qué	DT0CN0	qué
motivo	motivo	NCMS000	motivo
se	se	P00CN000	se
extraviaron	extraviaron	VMIS3P0	extraviar
;	.	Fp	.
reconozco	Reconozco	VMIP1S0	reconocer
en	en	SPS00	en
ambas	ambas	DI0FP0	ambos
que	que	PR0CN000	que
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
se	se	P00CN000	se
continua	continúa	VMIP3S0	continuar
a	a	SPS00	a
proporzion	proporción	NCFS000	proporción
del	del	SPS00+DA0MS0	de+el
deseo	deseo	NCMS000	deseo
,	,	Fc	,
conque	conque	CS	conque
tanbien	también	RG	también
el	el	DA0MS0	el
alvorozo	alborozo	NCMS000	alborozo
de	de	SPS00	de
que	que	CS	que
assi	así	RG	así
sea	sea	VSSP0S0	ser
se	se	P00CN000	se
iguala	iguala	VMIP3S0	igualar
a	a	SPS00	a
el	él	PP3MS000	él
	.	Fp	.
en	En	SPS00	en
casa	casa	NCFS000	casa
la	la	PP3FSA00	lo
gozamos	gozamos	VMIP1P0	gozar
todos	todos	PI0MP000	todo
	,	Fc	,
bendito	bendito	AQ0MSP	bendito
sea	sea	VSSP0S0	ser
Dios	Dios	NP00000	dios
,	,	Fc	,
y	y	CC	y
spre	siempre	RG	siempre
muy	muy	RQ	muy
a	a	SPS00	a
la	la	DA0FS0	el
obedienzia	obediencia	NCFS000	obediencia
de	de	SPS00	de
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
	.	Fp	.
mi	Mi	DP1CSS	mi
