Illmo	Ilustrísimo	AQSMS0	ilustre
señor	señor	NP00000	señor
mi	mi	DP1CSS	mi
sor	señor	NP00000	señor
	.	Fp	.
Señor	Señor	NP00000	señor
	.	Fp	.
Rezivo	Recibo	VMIP1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
de	de	SPS00	de
5	5	Z	5
de	de	SPS00	de
este	éste	PD0MS000	este
Y	y	CC	y
la	la	DA0FS0	el
copia	copia	NCFS000	copia
de	de	SPS00	de
la	la	DA0FS0	el
de	de	SPS00	de
el	el	DA0MS0	el
sor	señor	NP00000	señor
Arzobpo	arzobispo	NP00000	arzobispo
,	.	Fp	.
Y	Y	CC	y
espero	espero	VMIP1S0	esperar
logremos	logremos	VMSP1P0	lograr
paz	paz	NCFS000	paz
ostabiana	octaviana	AQ0FS0	octaviano
por	por	SPS00	por
el	el	DA0MS0	el
medio	medio	NCMS000	medio
de	de	SPS00	de
sus	sus	DP3CP0	su
buenos	buenos	AQ0MP0	bueno
ofizios	oficios	NCMP000	oficio
,	,	Fc	,
aunque	aunque	CS	aunque
ast	hasta	SPS00	hasta
aqui	aquí	RG	aquí
no	no	RN	no
se	se	P00CN000	se
conoze	conoce	VMIP3S0	conocer
señas	señas	NCFP000	seña
de	de	SPS00	de
ellos	ellos	PP3MP000	ellos
,	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
si	si	CS	si
escrivio	escribió	VMIS3S0	escribir
al	al	SPS00+DA0MS0	a+el
Marqs	marqués	NCMS000	marqués
qdo	cuando	PA000000	cuando
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
,	,	Fc	,
corresponde	corresponde	VMIP3S0	corresponder
haber	haber	VAN0000	haber
rrezivido	recibido	VMP0000	recibir
la	la	DA0FS0	el
carta	carta	NCFS000	carta
	.	Fp	.
oi	Hoy	RG	hoy
haze	hace	VMIP3S0	hacer
17	17	Z	17
dias	días	NCMP000	día
Y	y	CC	y
fue	fue	VSIS3S0	ser
tienpo	tiempo	NCMS000	tiempo
bastante	bastante	DI0CS0	bastante
para	para	SPS00	para
hazer	hacer	VMN0000	hacer
alguna	alguna	DI0FS0	alguno
insignuazion	insinuación	NCFS000	insinuación
de	de	SPS00	de
el	el	DA0MS0	el
ajuste	ajuste	NCMS000	ajuste
,	;	Fx	;
Y	y	CC	y
no	no	RN	no
se	se	P00CN000	se
le	le	PP3CSD00	le
