Mui	Muy		
S	señor		
Mio	mío		
	.		
Estando	Estando		
oi	hoy		
en	en		
el	el		
tribunal	tribunal		
	,		
donde	donde		
se	se		
me	me		
mando	mandó		
comunicasse	comunicase		
con	con		
vmd	VM		
si	si		
tenia	tenía		
alguna	alguna		
cossa	cosa		
q	que		
alegar	alegar		
a	a		
mi	mi		
defenssa	defensa		
.	,		
digo	digo		
	:		
Primeramente	Primeramente		
.	,		
Ya	ya		
vmd	VM		
vio	vio		
mi	mi		
confesion	confesión		
y	y		
en	en		
ella	ella		
declare	declaré		
la	la		
verdad	verdad		
.	,		
pues	pues		
dixe	dije		
como	como		
aviendome	habiéndome		
dicho	dicho		
un	un		
niño	niño		
del	del		
Ministro	ministro		
con	con		
quien	quién		
tube	tuve		
la	la		
pendencia	pendencia		
	(		
aquella	aquella		
fragilidad	fragilidad		
con	con		
aquella	aquella		
moça	moza		
	)		
	,		
diciendolo	diciéndolo		
en	en		
presencia	presencia		
de	de		
otros	otros		
sin	sin		
racon	razón		
alguna	alguna		
.	.		
abra	Habrá		
tambien	también		
quien	quien		
diga	diga		
como	como		
veniendo	viniendo		
de	de		
si	San		
franco	Francisco		
se	se		
me	me		
caio	cayó		
en	en		
la	la		
calçada	calzada		
q	que		
llaman	llaman		
un	un		
cuchillo	cuchillo		
de	de		
cortar	cortar		
plumas	plumas		
con	con		
q	que		
le	le		
di	di		
	.		
abra	Habrá		
quien	quien		
diga	diga		
como	como		
va	va		
de	de		
tintero	tintero		
sonbrero	sombrero		
	:		
vinendo	viniendo		
con	con		
el	él		
se	se		
me	me		
caio	cayó		
	,		
pues	pues		
venia	venía		
descuidado	descuidado		
del	del		
disgusto	disgusto		
.	.		
abra	Habrá		
quien	quien		
diga	diga		
como	como		
no	no		
dige	dije		
las	las		
palabras	palabras		
que	que		
me	me		
Haçe	hace		
cargo	cargo		
el	el		
tribunal	tribunal		
.	.		
Habra	Habrá		
quien	quien		
diga	diga		
como	como		
me	me		
tiro	tiró		
un	un		
canto	canto		
y	y		
medio	medio		
en	en		
las	las		
espaldas	espaldas		
.	.		
Habra	Habrá		
quien	quien		
diga	diga		
como	como		
si	si		
me	me		
retire	retiré		
fue	fue		
a	a		
consentimiento	consentimiento		
suio	suyo		
	.		
Habra	Habrá		
quien	quien		
diga	diga		
como	como		
	,		
preguntando	preguntando		
el	el		
ministro	ministro		
q	qué		
era	era		
lo	lo		
que	que		
abia	había		
passado	pasado		
	,		
le	le		
dixeron	dijeron		
la	la		
verdad	verdad		
de	de		
como	como		
io	yo		
abia	había		
obrado	obrado		
prudentemente	prudentemente		
	;		
y	y		
no	no		
obstante	obstante		
no	no		
lo	lo		
quisso	quiso		
creer	creer		
	,		
pues	pues		
a	a		
la	la		
mañana	mañana		
Buscandome	buscándome		
sucedio	sucedió		
el	el		
disgusto	disgusto		
.	.		
abra	Habrá		
quien	quien		
diga	diga		
como	como		
saco	sacó		
una	una		
carabina	carabina		
para	para		
Mi	mi		
Padre	padre		
y	y		
	,		
si	si		
no	no		
se	se		
embeve	embebe		
entre	entre		
la	la		
puerta	puerta		
de	de		
su	su		
cassa	casa		
	,		
le	le		
tira	tira		
.	.		
abra	Habrá		
quien	quien		
diga	diga		
como	como		
se	se		
la	la		
vio	vio		
y	y		
se	se		
la	la		
enseño	enseñó		
la	la		
carabina	carabina		
diciendole	diciéndole		
enviando	enviando		
a	a		
carabinazo	carabinazo		
	.		
abra	Habrá		
quien	quien		
diga	diga		
como	como		
temerosso	temeroso		
de	de		
unas	unas		
missiones	misiones		
fue	fue		
a	a		
pedir	pedir		
misericordia	misericordia		
a	a		
mi	mi		
Padre	padre		
,	.		
Ya	Ya		
Habra	habrá		
quien	quien		
diga	diga		
como	como		
Yendose	yéndose		
a	a		
vissitar	visitar		
un	un		
amigo	amigo		
suio	suyo		
	,		
preguntandole	preguntándole		
por	por		
que	qué		
abia	había		
sucedido	sucedido		
el	el		
disgusto	disgusto		
	,		
y	y		
entre	entre		
otras	otras		
racones	razones		
que	que		
le	le		
dixo	dijo		
el	el		
Ministro	ministro		
a	a		
este	este		
tal	tal		
que	que		
le	le		
fue	fue		
a	a		
ver	ver		
.	.		
el	El		
moco	mozo		
Huio	huyó		
de	de		
la	la		
ocassion	ocasión		
	.		
yo	Yo		
	,		
ciego	ciego		
de	de		
colera	cólera		
	,		
no	no		
me	me		
pude	pude		
comprimir	comprimir		
.	.		
Y	Y		
el	el		
