Muy	Muy	RQ	muy
lastimado	lastimado	VMP00SM	lastimar
me	me	PP1CS000	me
deja	deja	VMIP3S0	dejar
Vm	VM	NP00000	VM
con	con	SPS00	con
la	la	DA0FS0	el
noticia	noticia	NCFS000	noticia
q	que	CS	que
en	en	SPS00	en
carta	carta	NCFS000	carta
de	de	SPS00	de
24	24	Z	24
del	del	SPS00+DA0MS0	de+el
pasado	pasado	NCMS000	pasado
me	me	PP1CS000	me
da	da	VMIP3S0	dar
del	del	SPS00+DA0MS0	de+el
mal	mal	NCMS000	mal
estado	estado	NCMS000	estado
de	de	SPS00	de
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
Da	doña	NP00000	don
Lorenza	Lorenza	NP00000	lorenza
	.	Fp	.
y	Y	CC	y
aunque	aunque	CS	aunque
su	su	DP3CS0	su
natural	natural	NCMS000	natural
es	es	VSIP3S0	ser
robusto	robusto	AQ0MS0	robusto
y	y	CC	y
si	sí	RG	sí
quiere	quiere	VMIP3S0	querer
quebrar	quebrar	VMN0000	quebrar
algo	algo	PI0CS000	algo
de	de	SPS00	de
su	su	DP3CS0	su
condicion	condición	NCFS000	condición
y	y	CC	y
tratar	tratar	VMN0000	tratar
de	de	SPS00	de
regalarse	regalarse	VMN0000+P00CN000	regalar+se
sin	sin	SPS00	sin
cuidar	cuidar	VMN0000	cuidar
de	de	SPS00	de
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
ni	ni	CC	ni
haçer	hacer	VMN0000	hacer
caso	caso	NCMS000	caso
de	de	SPS00	de
las	las	DA0FP0	el
ympertinençias	impertinencias	NCFP000	impertinencia
de	de	SPS00	de
los	los	DA0MP0	el
parientes	parientes	NCMP000	pariente
	,	Fc	,
espero	espero	VMIP1S0	esperar
que	que	CS	que
se	se	P00CN000	se
recobrara	recobrará	VMIF3S0	recobrar
	.	Fp	.
con	Con	SPS00	con
todo	todo	DI0MS0	todo
eso	eso	PD0NN000	eso
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
parecera	parecerá	VMIF3S0	parecer
mal	mal	RG	mal
q	que	CS	que
disponga	disponga	VMSP0S0	disponer
sus	sus	DP3CP0	su
cosas	cosas	NCFP000	cosa
	,	Fc	,
porque	porque	CS	porque
tambien	también	RG	también
el	el	DA0MS0	el
hechar	echar	VMN0000	echar
a	a	SPS00	a
un	un	DI0MS0	uno
lado	lado	NCMS000	lado
este	este	DD0MS0	este
cuidado	cuidado	NCMS000	cuidado
ayuda	ayuda	VMIP3S0	ayudar
a	a	SPS00	a
tener	tener	VMN0000	tener
salud	salud	NCFS000	salud
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
no	no	RN	no
deve	debe	VMIP3S0	deber
Vm	VM	NP00000	VM
disuadirla	disuadirla	VMN0000+PP3FSA00	disuadir+lo
del	del	SPS00+DA0MS0	de+el
yntento	intento	NCMS000	intento
	,	Fc	,
sino	sino	CC	sino
antes	antes	RG	antes
bien	bien	RG	bien
persuadirla	persuadirla	VMN0000+PP3FSA00	persuadir+lo
a	a	SPS00	a
ello	ello	PD0NN000	ello
y	y	CC	y
procurar	procurar	VMN0000	procurar
ayudarla	ayudarla	VMN0000+PP3FSA00	ayudar+lo
al	al	SPS00+DA0MS0	a+el
açierto	acierto	NCMS000	acierto
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	a	SPS00	a
mi	mí	PP1CSO00	mí
me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
es	es	VSIP3S0	ser
q	que	CS	que
podria	podría	VMIC0S0	poder
su	su	DP3CS0	su
mrd	merced	NCFS000	merced
mandar	mandar	VMN0000	mandar
una	una	DI0FS0	uno
tapiceria	tapicería	NCFS000	tapicería
a	a	SPS00	a
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
Da	doña	NP00000	don
Beatriz	Beatriz	NP00000	beatriz
	,	Fc	,
otra	otra	PI0FS000	otro
a	a	SPS00	a
su	su	DP3CS0	su
hermana	hermana	NCFS000	hermano
	,	Fc	,
el	el	DA0MS0	el
remanente	remanente	NCMS000	remanente
de	de	SPS00	de
los	los	DA0MP0	el
Muebles	muebles	NCMP000	mueble
despues	después	RG	después
de	de	SPS00	de
cumplidas	cumplidas	VMP00PF	cumplir
las	las	DA0FP0	el
misas	misas	NCFP000	misa
que	que	PR0CN000	que
su	su	DP3CS0	su
mrd	merced	NP00000	merced
fuere	fuere	VSSF0S0	ser
servida	servida	VMP00SF	servir
de	de	SPS00	de
mandar	mandar	VMN0000	mandar
decir	decir	VMN0000	decir
y	y	CC	y
las	las	DA0FP0	el
funerarias	funerarias	NCFP000	funeraria
a	a	SPS00	a
mi	mi	DP1CSS	mi
Señora	señora	NP00000	señor
Da	Doña	NP00000	don
Claudia	Claudia	NP00000	claudia
	.	Fp	.
y	Y	CC	y
las	las	DA0FP0	el
casas	casas	NCFP000	casa
	,	Fc	,
pues	pues	CS	pues
estan	están	VMIP3P0	estar
ya	ya	RG	ya
libres	libres	NCMP000	libre
de	de	SPS00	de
senços	censos	NCMP000	censo
	,	Fc	,
q	que	CS	que
queden	queden	VMSP3P0	quedar
para	para	SPS00	para
que	que	CS	que
de	de	SPS00	de
lo	lo	DA0NS0	el
Procedido	procedido	VMP00SM	proceder
de	de	SPS00	de
sus	sus	DP3CP0	su
alquileres	alquileres	NCMP000	alquiler
se	se	P00CN000	se
vayan	vayan	VMSP3P0	ir
diçiendo	diciendo	VMG0000	decir
misas	misas	NCFP000	misa
por	por	SPS00	por
su	su	DP3CS0	su
alma	alma	NCFS000	alma
y	y	CC	y
la	la	DA0FS0	el
de	de	SPS00	de
su	su	DP3CS0	su
Marido	marido	NCMS000	marido
y	y	CC	y
todos	todos	DI0MP0	todo
sus	sus	DP3CP0	su
difuntos	difuntos	NCMP000	difunto
	.	Fp	.
y	Y	CC	y
que	que	CS	que
a	a	SPS00	a
su	su	DP3CS0	su
marido	marido	NCMS000	marido
de	de	SPS00	de
Da	doña	NP00000	don
Maria	María	NP00000	maría
del	del	SPS00+DA0MS0	de+el
olmo	Olmo	NP00000	olmo
le	le	PP3CSD00	le
quede	quede	VMSP0S0	quedar
el	el	DA0MS0	el
quarto	cuarto	NCMS000	cuarto
de	de	SPS00	de
casa	casa	NCFS000	casa
en	en	SPS00	en
que	que	CS	que
viben	viven	VMIP3P0	vivir
por	por	SPS00	por
los	los	DA0MP0	el
dias	días	NCMP000	día
de	de	SPS00	de
su	su	DP3CS0	su
vida	vida	NCFS000	vida
con	con	SPS00	con
cargo	cargo	NCMS000	cargo
de	de	SPS00	de
haver	haber	VMN0000	haber
de	de	SPS00	de
alquilar	alquilar	VMN0000	alquilar
los	los	DA0MP0	el
demas	demás	DI0CP0	demás
quartos	cuartos	NCMP000	cuarto
	.	Fp	.
y	Y	CC	y
que	que	CS	que
despues	después	RG	después
se	se	P00CN000	se
disponga	disponga	VMSP0S0	disponer
esta	esta	DD0FS0	este
memoria	memoria	NCFS000	memoria
como	como	CS	como
mejor	mejor	RC	mejor
pareciere	pareciere	VMSF0S0	parecer
a	a	SPS00	a
los	los	DA0MP0	el
Albaçeas	albaceas	NCCP000	albacea
	.	Fp	.
y	Y	CC	y
que	que	CS	que
	,	Fc	,
sobre	sobre	SPS00	sobre
los	los	DA0MP0	el
alquileres	alquileres	NCMP000	alquiler
de	de	SPS00	de
las	las	DA0FP0	el
mismas	mismas	AQ0FP0	mismo
casas	casas	NCFP000	casa
,	,	Fc	,
le	le	PP3CSD00	le
queden	queden	VMSP3P0	quedar
tambien	también	RG	también
a	a	SPS00	a
Doña	doña	NP00000	don
Mariana	Mariana	NP00000	mariana
de	de	SPS00	de
Benabides	Benavides	NP00000	benavides
veinte	veinte	Z	20
o	o	CC	o
treinta	treinta	Z	30
Ducados	ducados	NCMP000	ducado
por	por	SPS00	por
los	los	DA0MP0	el
dias	días	NCMP000	día
de	de	SPS00	de
su	su	DP3CS0	su
Vida	vida	NCFS000	vida
y	y	CC	y
despues	después	RG	después
buelba	vuelva	VMSP0S0	volver
a	a	SPS00	a
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
memoria	memoria	NCFS000	memoria
	,	Fc	,
con	con	SPS00	con
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
se	se	P00CN000	se
reparte	reparte	VMIP3S0	repartir
a	a	SPS00	a
todos	todos	DI0MP0	todo
