Sra	Señora	NP00000	señor
madre	madre	NCFS000	madre
	.	Fp	.
Por	Por	SPS00	por
esta	ésta	PD0FS000	este
sabra	sabrá	VMIF3S0	saber
vmd	VM	NP00000	VM
como	como	CS	como
dios	Dios	NP00000	dios
fue	fue	VSIS3S0	ser
serbido	servido	VMP00SM	servir
de	de	SPS00	de
llebarçe	llevarse	VMN0000+P00CN000	llevar+se
para	para	SPS00	para
si	sí	RG	sí
a	a	SPS00	a
mi	mi	DP1CSS	mi
ermano	hermano	NP00000	hermano
diego	Diego	NP00000	diego
mendez	Méndez	NP00000	méndez
a	a	SPS00	a
doce	doce	Z	12
del	del	SPS00+DA0MS0	de+el
corriente	corriente	AQ0CS0	corriente
biernes	viernes	NCMN000	viernes
a	a	SPS00	a
las	las	DA0FP0	el
dos	dos	Z	2
de	de	SPS00	de
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
	.	Fp	.
primita	Permita	VMSP0S0	permitir
dios	Dios	NP00000	dios
tenelle	tenerle	VMN0000+PP3CSA00	tener+le
en	en	SPS00	en
su	su	DP3CS0	su
santo	santo	AQ0MS0	santo
reyno	reino	NCMS000	reino
y	y	CC	y
a	a	SPS00	a
los	los	DA0MP0	el
que	que	PR0CN000	que
quedan	quedan	VMIP3P0	quedar
aca	acá	RG	acá
de	dé	VMSP0S0	dar
bida	vida	NCFS000	vida
para	para	SPS00	para
que	que	CS	que
agan	hagan	VMSP3P0	hacer
bien	bien	RG	bien
por	por	SPS00	por
su	su	DP3CS0	su
alma	alma	NCFS000	alma
	.	Fp	.
no	No	RN	no
ay	hay	VMIP3S0	haber
sino	sino	CC	sino
conformarçe	conformarse	VMN0000+P00CN000	conformar+se
con	con	SPS00	con
la	la	DA0FS0	el
boluntad	voluntad	NCFS000	voluntad
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
pues	pues	CS	pues
fue	fue	VSIS3S0	ser
echo	hecho	NCMS000	hecho
de	de	SPS00	de
su	su	DP3CS0	su
santa	santa	AQ0FS0	santo
mano	mano	NCFS000	mano
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
camino	camino	NCMS000	camino
que	que	CS	que
todos	todos	PI0MP000	todo
hemos	hemos	VMIP1P0	haber
de	de	SPS00	de
llebar	llevar	VMN0000	llevar
	.	Fp	.
dexando	Dejando	VMG0000	dejar
esto	esto	PD0NN000	esto
aparte	aparte	RG	aparte
	,	Fc	,
ago	hago	VMIP1S0	hacer
este	este	DD0MS0	este
propio	propio	NCMS000	propio
para	para	SPS00	para
que	que	CS	que
vmd	VM	NP00000	VM
me	me	PP1CS000	me
remita	remita	VMSP0S0	remitir
poder	poder	NCMS000	poder
anplio	amplio	AQ0MS0	amplio
para	para	SPS00	para
açer	hacer	VMN0000	hacer
y	y	CC	y
desazer	deshacer	VMN0000	deshacer
de	de	SPS00	de
la	la	DA0FS0	el
parte	parte	NCFS000	parte
que	que	CS	que
a	a	SPS00	a
vmd	VM	NP00000	VM
le	le	PP3CSD00	le
tocare	tocare	VMSF0S0	tocar
	.	Fp	.
se	Se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
presentar	presentar	VMN0000	presentar
esta	esta	DD0FS0	este
requisitoria	requisitoria	NCFS000	requisitoria
ante	ante	SPS00	ante
la	la	DA0FS0	el
justiçia	justicia	NCFS000	justicia
de	de	SPS00	de
esa	esa	DD0FS0	ese
billa	villa	NCFS000	villa
para	para	SPS00	para
que	que	CS	que
conste	conste	RG	conste
por	por	SPS00	por
ynformaçion	información	NCFS000	información
de	de	SPS00	de
como	como	CS	como
vmd	VM	NP00000	VM
es	es	VSIP3S0	ser
madre	madre	NCFS000	madre
de	de	SPS00	de
diego	Diego	NP00000	diego
mendez	Méndez	NP00000	méndez
	,	Fc	,
que	que	CS	que
este	esté	VMSP0S0	estar
en	en	SPS00	en
el	el	DA0MS0	el
cielo	cielo	NCMS000	cielo
	,	Fc	,
y	y	CC	y
mujer	mujer	NCFS000	mujer
de	de	SPS00	de
mi	mi	DP1CSS	mi
padre	padre	NP00000	padre
Baltasar	Baltasar	NP00000	baltasar
de	de	SPS00	de
siera	Sierra	NCFS000	sierra
	,	Fc	,
que	que	CS	que
dios	Dios	NP00000	dios
aya	haya	VASP0S0	haber
perdonado	perdonado	VMP0000	perdonar
	;	Fx	;
porque	porque	CS	porque
todo	todo	DI0MS0	todo
esto	esto	PD0NN000	esto
a	ha	VMIP3S0	haber
de	de	SPS00	de
benir	venir	VMN0000	venir
en	en	SPS00	en
ynforçion	información	NCFS000	información
	.	Fp	.
y	Y	CC	y
los	los	DA0MP0	el
que	que	PR0CN000	que
xuraren	juraren	VMSF3P0	jurar
sean	sean	VSSP3P0	ser
honbres	hombres	NCMP000	hombre
principales	principales	AQ0CP0	principal
	;	Fx	;
basta	basta	VMIP3S0	bastar
media	media	AQ0FS0	media
dosena	docena	NCFS000	docena
para	para	SPS00	para
que	que	CS	que
tengamos	tengamos	VMSP1P0	tener
fuerça	fuerza	NCFS000	fuerza
y	y	CC	y
no	no	RN	no
ayga	haya	VMSP0S0	haber
aca	acá	RG	acá
ynpedimento	impedimento	NCMS000	impedimento
ninguno	ninguno	DI0MS0	ninguno
	.	Fp	.
y	Y	CC	y
esta	esta	DD0FS0	este
delijensia	diligencia	NCFS000	diligencia
se	se	P00CN000	se
ase	hace	VMIP3S0	hacer
porque	porque	CS	porque
el	el	DA0MS0	el
mallogrado	malogrado	VMP00SM	malograr
	,	Fc	,
que	que	CS	que
dios	Dios	NP00000	dios
tenga	tenga	VMSP0S0	tener
en	en	SPS00	en
el	el	DA0MS0	el
sielo	cielo	NCMS000	cielo
	,	Fc	,
asi	así	RG	así
lo	lo	PP3CNA00	lo
hordeno	ordenó	VMIS3S0	ordenar
	,	Fc	,
