Mi	Mi	DP1CSS	mi
prima	prima	NCFS000	primo
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
graçias	gracias	NCFP000	gracia
	,	Fc	,
anda	anda	VMIP3S0	andar
levantada	levantada	VMP00SF	levantar
y	y	CC	y
cada	cada	DI0CN0	cada
dia	día	NCMS000	día
con	con	SPS00	con
achaques	achaques	NCMP000	achaque
,	.	Fp	.
quisiera	Quisiera	VMSI0S0	querer
esta	esta	DD0FS0	este
primavera	primavera	NCFS000	primavera
se	se	P00CN000	se
curara	curara	VMSI0S0	curar
tomando	tomando	VMG0000	tomar
sudores	sudores	NCMP000	sudor
o	o	CC	o
lo	lo	DA0NS0	el
q	que	PR0CN000	que
pareçiera	pareciera	VMSI0S0	parecer
mas	más	RC	más
açertado	acertado	VMP00SM	acertar
	.	Fp	.
si	Si	CS	si
se	se	P00CN000	se
hallare	hallare	VMSF0S0	hallar
desocupado	desocupado	VMP00SM	desocupar
	,	Fc	,
venga	venga	VMSP0S0	venir
a	a	SPS00	a
vernos	vernos	VMN0000+PP1CP000	ver+nos
pa	para	SPS00	para
cumunicar	comunicar	VMN0000	comunicar
lo	lo	DA0NS0	el
q	que	PR0CN000	que
mejor	mejor	RC	mejor
fuere	fuere	VSSF0S0	ser
,	,	Fc	,
demas	demás	RG	demás
q	que	CS	que
ha	ha	VMIP3S0	haber
dias	días	NCMP000	día
no	no	RN	no
nos	nos	PP1CP000	nos
vemos	vemos	VMIP1P0	ver
	.	Fp	.
Las	Las	DA0FP0	el
Gallinas	gallinas	NCFP000	gallina
eran	eran	VSII3P0	ser
estremadas	extremadas	VMP00PF	extremar
y	y	CC	y
como	como	SPS00	como
criadas	criadas	VMP00PF	criar
en	en	SPS00	en
casa	casa	NCFS000	casa
	.	Fp	.
a	A	SPS00	a
la	la	DA0FS0	el
prima	prima	NCFS000	primo
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
Dios	Dios	NP00000	dios
salud	salud	NCFS000	salud
pa	para	SPS00	para
q	que	CS	que
nos	nos	PP1CP000	nos
regale	regale	VMSP0S0	regalar
	.	Fp	.
y	Y	CC	y
quien	quien	PR0CS000	quien
las	las	PP3FPA00	lo
truxo	trajo	VMIS3S0	traer
se	se	P00CN000	se
vea	vea	VMSP0S0	ver
como	como	PA000000	como
ellas	ellas	PP3FP000	ellos
llegaron	llegaron	VMIS3P0	llegar
	,	Fc	,
porq	porque	CS	porque
no	no	RN	no
quedaron	quedaron	VMIS3P0	quedar
en	en	SPS00	en
casa	casa	NCFS000	casa
por	por	SPS00	por
venir	venir	VMN0000	venir
aogadas	ahogadas	VMP00PF	ahogar
	.	Fp	.
El	El	DA0MS0	el
sobrino	sobrino	NCMS000	sobrino
no	no	RN	no
ha	ha	VAIP3S0	haber
venido	venido	VMP0000	venir
de	de	SPS00	de
Seva	Sevilla	NP00000	sevilla
	.	Fp	.
El	El	DA0MS0	el
s	señor	NP00000	señor
lys	Luis	NP00000	luis
y	y	CC	y
su	su	DP3CS0	su
casa	casa	NCFS000	casa
tienen	tienen	VMIP3P0	tener
salud	salud	NCFS000	salud
y	y	CC	y
no	no	RN	no
ai	hay	VMIP3S0	haber
de	de	SPS00	de
q	que	PR0CN000	que
avisar	avisar	VMN0000	avisar
,	.	Fp	.
el	El	DA0MS0	el
portador	portador	NCMS000	portador
lleva	lleva	VMIP3S0	llevar
un	un	DI0MS0	uno
esportillo	esportillo	NCMS000	esportillo
con	con	SPS00	con
fruta	fruta	NCFS000	fruta
y	y	CC	y
un	un	DI0MS0	uno
puchero	puchero	NCMS000	puchero
con	con	SPS00	con
sardinas	sardinas	NCFP000	sardina
pa	para	SPS00	para
la	la	DA0FS0	el
prima	prima	NCFS000	primo
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
dira	dirá	VMIF3S0	decir
encomiende	encomiende	VMSP0S0	encomendar
a	a	SPS00	a
Dios	Dios	NP00000	dios
a	a	SPS00	a
su	su	DP3CS0	su
primo	primo	NCMS000	primo
Mel	Manuel	NP00000	manuel
Gil	Gil	NP00000	gil
	,	Fc	,
q	que	PR0CN000	que
en	en	SPS00	en
dos	dos	Z	2
oras	horas	NCFP000	hora
le	le	PP3CSA00	le
llevo	llevó	VMIS3S0	llevar
Dios	Dios	NP00000	dios
avra	habrá	VMIF3S0	haber
12	12	Z	12
dias	días	NCMP000	día
en	en	SPS00	en
osuna	Osuna	NP00000	osuna
,	.	Fp	.
sirvase	Sírvase	VMSP0S0+P00CN000	servir+se
aver	haber	VMN0000	haber
misericordia	misericordia	NCFS000	misericordia
con	con	SPS00	con
su	su	DP3CS0	su
alma	alma	NCFS000	alma
y	y	CC	y
dar	dar	VMN0000	dar
remedio	remedio	NCMS000	remedio
a	a	SPS00	a
su	su	DP3CS0	su
casa	casa	NCFS000	casa
.	.	Fp	.
ge	Guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
Tdo	Toledo	NP00000	toledo
	,	Fc	,
11	11	Z	11
Março	marzo	NCMS000	marzo
645	645	Z	645
	.	Fp	.
Gomez	Gómez	NP00000	gómez
