Guardeme	Guárdeme	VMSP0S0+PP1CS000	guardar+me
Díos	Dios	NP00000	dios
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
míll	mil	Z	1000
Años	años	NCMP000	año
y	y	CC	y
le	le	PP3CSD00	le
tantas	tantas	DI0FP0	tanto
y	y	CC	y
tan	tan	RC	tan
buenas	buenas	AQ0FP0	bueno
Pasquas	Pascuas	NP00000	pascuas
y	y	CC	y
con	con	SPS00	con
tanta	tanta	DI0FS0	tanto
salud	salud	NCFS000	salud
y	y	CC	y
prosperidad	prosperidad	NCFS000	prosperidad
como	como	CS	como
yo	yo	PP1CSN00	yo
desseo	deseo	VMIP1S0	desear
,	,	Fc	,
que	que	CS	que
bien	bien	RG	bien
sabe	sabe	VMIP3S0	saber
V	vuestra	DP2FSP	vuestro
P	paternidad	NP00000	paternidad
q	que	CS	que
lo	lo	PP3CNA00	lo
puede	puede	VMIP3S0	poder
fiar	fiar	VMN0000	fiar
de	de	SPS00	de
mí	mi	DP1CSS	mi
voluntad	voluntad	NCFS000	voluntad
.	.	Fp	.
Yo	Yo	PP1CSN00	yo
las	las	PP3FPA00	lo
he	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
anticipadas	anticipadas	VMP00PF	anticipar
con	con	SPS00	con
la	la	DA0FS0	el
carta	carta	NCFS000	carta
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
P	paternidad	NP00000	paternidad
	,	Fc	,
q	que	CS	que
la	la	DA0FS0	el
Rbi	recibí	VMIS1S0	recibir
viniendo	viniendo	VMG0000	venir
ayer	ayer	RG	ayer
a	a	SPS00	a
mediodia	mediodía	NCMS000	mediodía
de	de	SPS00	de
una	una	DI0FS0	uno
Jornada	jornada	NCFS000	jornada
en	en	SPS00	en
q	que	CS	que
el	el	DA0MS0	el
Cabildo	cabildo	NCMS000	cabildo
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
ocupado	ocupado	VMP0000	ocupar
.	,	Fc	,
en	en	SPS00	en
q	que	CS	que
estuve	estuve	VMIS1S0	estar
desde	desde	SPS00	desde
q	que	CS	que
screví	escribí	VMIS1S0	escribir
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
P	paternidad	NP00000	paternidad
hasta	hasta	SPS00	hasta
ayér	ayer	RG	ayer
.	.	Fp	.
los	Los	DA0MP0	el
puntos	puntos	NCMP000	punto
me	me	PP1CS000	me
vienen	vienen	VMIP3P0	venir
de	de	SPS00	de
molde	molde	NCMS000	molde
y	y	CC	y
comforme	conforme	RG	conforme
a	a	SPS00	a
ellos	ellos	PP3MP000	ellos
no	no	RN	no
creo	creo	VMIP1S0	creer
q	que	CS	que
vendra	vendrá	VMIF3S0	venir
mal	mal	RG	mal
	,	Fc	,
afirmando	afirmando	VMG0000	afirmar
con	con	SPS00	con
s	su	DP3CS0	su
	«	Fra	«
Ju	Juan	NP00000	juan
chrisost	Crisóstomo	NP00000	crisóstomo
	»	Frt	»
y	y	CC	y
s	su	DP3CS0	su
	«	Fra	«
Gaudençio	Gaudencio	NP00000	gaudencio
	»	Frt	»
q	que	CS	que
el	el	DA0MS0	el
Artchiticlino	Architriclino	NCMS000	architriclino
era	era	VSII0S0	ser
el	el	DA0MS0	el
sacerdote	sacerdote	NCMS000	sacerdote
semanero	semanero	NCMS000	semanero
,	,	Fc	,
dezir	decir	VMN0000	decir
como	cómo	PA000000	cómo
quiso	quiso	VMIS3S0	querer
Xo	XPO	NP00000	xpo
n	Nuestro	DP1MSP	nuestro
R	Rey	NP00000	rey
q	que	CS	que
el	el	DA0MS0	el
primo	primero	AO0MS0	primero
probase	probase	VMSI0S0	probar
y	y	CC	y
aprobase	aprobase	VMSI0S0	aprobar
el	el	DA0MS0	el
vino	vino	NCMS000	vino
,	,	Fc	,
y	y	CC	y
q	que	CS	que
luego	luego	RG	luego
se	se	P00CN000	se
Repartiese	repartiese	VMSI0S0	repartir
por	por	SPS00	por
su	su	DP3CS0	su
orden	orden	NCMS000	orden
y	y	CC	y
mandado	mandado	NCMS000	mandado
como	como	CS	como
Pressidte	presidente	NCMS000	presidente
al	al	SPS00+DA0MS0	a+el
Combite	convite	NCMS000	convite
