sres	Señores	NCMP000	señor
gordos	Gordos	AQ0MP0	gordo
	.	Fp	.
el	El	DA0MS0	el
pareserme	parecerme	VMN0000+PP1CS000	parecer+me
el	el	DA0MS0	el
ser	ser	VSN0000	ser
cosa	cosa	NCFS000	cosa
Asertada	acertada	VMP00SF	acertar
ago	hago	VMIP1S0	hacer
esta	ésta	PD0FS000	este
q	que	CS	que
vmd	VM	NP00000	VM
se	se	P00CN000	se
sirvira	servirá	VMIF3S0	servir
de	de	SPS00	de
remitir	remitir	VMN0000	remitir
luego	luego	RG	luego
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
conformidad	conformidad	NCFS000	conformidad
escrive	escribe	VMIP3S0	escribir
el	el	DA0MS0	el
amigo	amigo	NCMS000	amigo
de	de	SPS00	de
pastrana	Pastrana	NP00000	pastrana
	,	Fc	,
q	que	CS	que
por	por	SPS00	por
juzgar	juzgar	VMN0000	juzgar
seria	sería	VSIC0S0	ser
ansi	así	RG	así
mas	más	RC	más
asertado	acertado	VMP00SM	acertar
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
encargue	encargué	VMIS1S0	encargar
	,	Fc	,
porq	porque	CS	porque
a	a	SPS00	a
algunas	algunas	DI0FP0	alguno
personas	personas	NCFP000	persona
de	de	SPS00	de
madrid	Madrid	NP00000	madrid
an	han	VAIP3P0	haber
apretado	apretado	VMP0000	apretar
mucho	mucho	RQ	mucho
sobre	sobre	SPS00	sobre
este	este	DD0MS0	este
particular	particular	NCMS000	particular
y	y	CC	y
prinsipal	principal	AQ0CS0	principal
a	a	SPS00	a
una	una	DI0FS0	uno
mota	mota	NCFS000	mota
q	que	CS	que
dios	Dios	NP00000	dios
le	le	PP3CSD00	le
libre	libre	VMSP0S0	librar
y	y	CC	y
me	me	PP1CS000	me
libre	libre	VMSP0S0	librar
de	de	SPS00	de
su	su	DP3CS0	su
boca	boca	NCFS000	boca
.	.	Fp	.
a	A	SPS00	a
mi	mí	PP1CSO00	mí
me	me	PP1CS000	me
an	han	VAIP3P0	haber
salido	salido	VMP0000	salir
aora	ahora	RG	ahora
culpas	culpas	NCFP000	culpa
nuebas	nuevas	AQ0FP0	nuevo
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
lo	lo	DA0NS0	el
q	que	PR0CN000	que
aga	haga	VMSP0S0	hacer
en	en	SPS00	en
ellas	ellas	PP3FP000	ellos
	.	Fp	.
vmd	VM	NP00000	VM
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
q	qué	DT0CN0	qué
jente	gente	NCFS000	gente
se	se	P00CN000	se
a	ha	VMIP3S0	haber
preso	preso	AQ0MS0	preso
	,	Fc	,
porq	porque	CS	porque
me	me	PP1CS000	me
ynporta	importa	VMIP3S0	importar
mucho	mucho	RQ	mucho
	,	Fc	,
ansi	así	RG	así
en	en	SPS00	en
md	Madrid	NP00000	madrid
como	como	CS	como
estremadura	Extremadura	NP00000	extremadura
o	o	CC	o
en	en	SPS00	en
qualquiera	cualquiera	DI0CS0	cualquiera
parte	parte	NCFS000	parte
q	que	CS	que
vmd	VM	NP00000	VM
tenga	tenga	VMSP0S0	tener
notisia	noticia	NCFS000	noticia
d	de	SPS00	de
ello	ello	PD0NN000	ello
.	.	Fp	.
ansimismo	Asimismo	RG	asimismo
estoy	estoy	VMIP1S0	estar
desnudo	desnudo	AQ0MSP	desnudo
	.	Fc	,
e	He	RG	he
menester	menester	NCMS000	menester
un	un	DI0MS0	uno
vestido	vestido	NCMS000	vestido
	.	Fp	.
se	Se	P00CN000	se
sirvira	servirá	VMIF3S0	servir
vmd	VM	NP00000	VM
de	de	SPS00	de
enbiarmele	enviármele	VMN0000+PP1CS000+PP3CSA00	enviar+me+le
de	de	SPS00	de
estameña	estameña	NCFS000	estameña
y	y	CC	y
jubon	jubón	NCMS000	jubón
y	y	CC	y
mangas	mangas	NCFP000	manga
de	de	SPS00	de
vonvasi	bombasí	NCMS000	bombasí
doble	doble	AQ0CS0	doble
	,	Fc	,
q	que	CS	que
yo	yo	PP1CSN00	yo
creo	creo	VMIP1S0	creer
q	que	CS	que
e	he	VMIP1S0	haber
de	de	SPS00	de
estar	estar	VMN0000	estar
toda	toda	DI0FS0	todo
mi	mi	DP1CSS	mi
vida	vida	NCFS000	vida
en	en	SPS00	en
esta	esta	DD0FS0	este
prision	prisión	NCFS000	prisión
	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
estameña	estameña	NCFS000	estameña
sea	sea	VSSP0S0	ser
parda	parda	AQ0FS0	pardo
y	y	CC	y
unas	unas	DI0FP0	uno
medias	medias	NCFP000	media
	.	Fp	.
y	Y	CC	y
si	si	CS	si
vmd	VM	NP00000	VM
no	no	RN	no
lo	lo	PP3CNA00	lo
a	ha	VMIP3S0	haber
de	de	SPS00	de
remitir	remitir	VMN0000	remitir
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
	,	Fc	,
para	para	SPS00	para
q	que	CS	que
no	no	RN	no
lo	lo	PP3CNA00	lo
pida	pida	VMSP0S0	pedir
en	en	SPS00	en
tribunal	tribunal	NCMS000	tribunal
	.	Fp	.
dios	Dios	NP00000	dios
a	a	SPS00	a
vmd	VM	NP00000	VM
guarde	guarde	VMSP0S0	guardar
	.	Fp	.
Capuchino	Capuchino	NP00000	capuchino
