qrido	Querido	VMP00SM	querer
mio	mío	DP1MSS	mío
de	de	SPS00	de
toda	toda	DI0FS0	todo
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
	.	Fp	.
bien	Bien	RG	bien
beo	veo	VMIP1S0	ver
que	que	CS	que
estaras	estarás	VMIF2S0	estar
con	con	SPS00	con
mucha	mucha	DI0FS0	mucho
pega	pega	NCFS000	pega
de	de	SPS00	de
no	no	RN	no
aberte	haberte	VAN0000+PP2CS000	haber+te
rrespondido	respondido	VMP0000	responder
a	a	SPS00	a
tus	tus	DP2CPS	tu
papeles	papeles	NCMP000	papel
	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
tienes	tienes	VMIP2S0	tener
que	que	CS	que
tener	tener	VMN0000	tener
quega	queja	NCFS000	queja
de	de	SPS00	de
eso	eso	PD0NN000	eso
porque	porque	CS	porque
sabes	sabes	VMIP2S0	saber
mi	mi	DP1CSS	mi
mucho	mucho	DI0MS0	mucho
cariño	cariño	NCMS000	cariño
	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
toca	toca	VMIP3S0	tocar
de	de	SPS00	de
ablalle	hablarle	VMN0000+PP3CSD00	hablar+le
a	a	SPS00	a
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
	,	Fc	,
berdad	verdad	NCFS000	verdad
es	es	VSIP3S0	ser
	;	Fx	;
y	y	CC	y
con	con	SPS00	con
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
que	que	PR0CN000	que
le	le	PP3CSD00	le
dige	dije	VMIS1S0	decir
i	y	CC	y
con	con	SPS00	con
mi	mi	DP1CSS	mi
rresulucion	resolución	NCFS000	resolución
no	no	RN	no
me	me	PP1CS000	me
an	han	VAIP3P0	haber
benido	venido	VMP0000	venir
con	con	SPS00	con
mas	más	RC	más
cantaletas	cantaletas	NCFP000	cantaleta
ni	ni	CC	ni
los	los	PP3MPA00	lo
e	he	VAIP1S0	haber
bisto	visto	VMP0000	ver
mas	más	RC	más
ni	ni	CC	ni
al	al	SPS00+DA0MS0	a+el
conbento	convento	NCMS000	convento
no	no	RN	no
an	han	VAIP3P0	haber
benido	venido	VMP0000	venir
ni	ni	CC	ni
nunca	nunca	RN	nunca
bengan	vengan	VMSP3P0	venir
	.	Fp	.
y	Y	CC	y
ese	ese	DD0MS0	ese
parpe	papel	NCMS000	papel
que	que	PR0CN000	que
dices	dices	VMIP2S0	decir
	,	Fc	,
enbialo	envíalo	SPS00	envíalo
escerito	escrito	NCMS000	escrito
de	de	SPS00	de
tu	tu	DP2CSS	tu
mano	mano	NCFS000	mano
	,	Fc	,
porque	porque	CS	porque
bien	bien	RG	bien
bes	ves	VMIP2S0	ver
que	que	CS	que
ni	ni	CC	ni
lo	lo	DA0NS0	el
noto	noto	NCMS000	noto
de	de	SPS00	de
provecho	provecho	NCMS000	provecho
para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
rian	rían	VMSP3P0	reír
d	de	SPS00	de
el	él	PP3MS000	él
	.	Fp	.
que	Que	CS	que
si	si	CS	si
no	no	RN	no
fuera	fuera	VSSI0S0	ser
porque	porque	CS	porque
tubiera	tuviera	VMSI0S0	tener
quega	queja	NCFS000	queja
de	de	SPS00	de
mi	mí	PP1CSO00	mí
no	no	RN	no
lo	lo	PP3CNA00	lo
escribiera	escribiera	VMSI0S0	escribir
	,	Fc	,
pero	pero	CC	pero
por	por	SPS00	por
darte	darte	VMN0000+PP2CS000	dar+te
lo	lo	PP3CNA00	lo
ago	hago	VMIP1S0	hacer
	.	Fp	.
no	No	RN	no
se	se	P00CN000	se
me	me	PP1CS000	me
ofrece	ofrece	VMIP3S0	ofrecer
que	que	CS	que
dios	Dios	NP00000	dios
te	te	PP2CS000	te
me	me	PP1CS000	me
dege	deje	VMSP0S0	dejar
ver	ver	VMN0000	ver
para	para	SPS00	para
mi	mi	DP1CSS	mi
consuelo	consuelo	NCMS000	consuelo
	.	Fp	.
rrecibe	Recibe	VMM02S0	recibir
de	de	SPS00	de
doña	doña	NP00000	don
maria	María	NP00000	maría
de	de	SPS00	de
los	los	DA0MP0	el
rreies	Reyes	NCMP000	rey
muchos	muchos	DI0MP0	mucho
rrequados	recados	NCMP000	recado
y	y	CC	y
mios	míos	PX1MP0S0	mío
muchos	muchos	PI0MP000	mucho
mas	más	RC	más
	.	Fp	.
tu	Tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
	,	Fc	,
ynes	Inés	NP00000	inés
florencia	Florencia	NP00000	florencia
de	de	SPS00	de
mendoca	Mendoza	NP00000	mendoza
