Importame	Impórtame	VMIP3S0+PP1CS000	importar+me
mucho	mucho	RQ	mucho
q	que	CS	que
la	la	DA0FS0	el
q	que	PR0CN000	que
va	va	VMIP3S0	ir
con	con	SPS00	con
sta	ésta	PD0FS000	este
para	para	SPS00	para
el	el	DA0MS0	el
conde	conde	NCMS000	conde
duq	duque	NCMS000	duque
se	se	P00CN000	se
de	dé	VMSP0S0	dar
en	en	SPS00	en
mano	mano	NCFS000	mano
propia	propia	AQ0FS0	propio
o	o	CC	o
de	de	SPS00	de
su	su	DP3CS0	su
secreto	secreto	NCMS000	secreto
	,	Fc	,
q	que	CS	que
es	es	VSIP3S0	ser
en	en	SPS00	en
respuesta	respuesta	NCFS000	respuesta
de	de	SPS00	de
una	una	PI0FS000	uno
suya	suya	PX3FS000	suyo
q	que	PR0CN000	que
me	me	PP1CS000	me
escrivio	escribió	VMIS3S0	escribir
	.	Fp	.
y	Y	CC	y
si	si	CS	si
significare	significare	VMSF0S0	significar
algo	algo	PI0CS000	algo
en	en	SPS00	en
consequencia	consecuencia	NCFS000	consecuencia
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
escriva	escriba	VMSP0S0	escribir
	,	Fc	,
me	me	PP1CS000	me
la	la	PP3FSA00	lo
haga	haga	VMSP0S0	hacer
vmd	VM	NP00000	VM
de	de	SPS00	de
avisarme	avisarme	VMN0000+PP1CS000	avisar+me
d	de	SPS00	de
ello	ello	PD0NN000	ello
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
respuesta	respuesta	NCFS000	respuesta
d	de	SPS00	de
esa	ésa	PD0FS000	ese
	.	Fp	.
Por	Por	SPS00	por
aca	acá	RG	acá
el	el	DA0MS0	el
calor	calor	NCMS000	calor
es	es	VSIP3S0	ser
immeso	inmenso	AQ0MS0	inmenso
y	y	CC	y
aguardo	aguardo	VMIP1S0	aguardar
a	a	SPS00	a
q	que	CS	que
le	le	PP3CSD00	le
temple	temple	VMIP3S0	templir
para	para	SPS00	para
aliñar	aliñar	VMN0000	aliñar
mi	mi	DP1CSS	mi
jornada	jornada	NCFS000	jornada
	,	Fc	,
q	que	CS	que
no	no	RN	no
queria	quería	VMII0S0	querer
diferirla	diferirla	VMN0000+PP3FSA00	diferir+lo
	.	Fp	.
a	A	SPS00	a
Vmd	VM	NP00000	VM
avisare	avisaré	VMIF1S0	avisar
de	de	SPS00	de
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
ha	ha	VMIP3S0	haber
de	de	SPS00	de
hazer	hacer	VMN0000	hacer
y	y	CC	y
Vmd	VM	NP00000	VM
supcoselo	suplícoselo	VMIP1S0+PP3CN000+PP3MSA00	suplicar+se+lo
me	me	PP1CS000	me
avise	avise	VMSP0S0	avisar
a	a	SPS00	a
mi	mí	PP1CSO00	mí
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
por	por	SPS00	por
alla	allá	RG	allá
uviere	hubiere	VMSF0S0	haber
	.	Fp	.
No	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
le	le	PP3CSD00	le
g	guarde	VMSP0S0	guardar
	.	Fp	.
Tued	Tuy	NP00000	tuy
	,	Fc	,
19	19	Z	19
de	de	SPS00	de
Agto	agosto	NCMS000	agosto
	.	Fp	.
fr	Fray	NP00000	fray
Po	Pedro	NP00000	pedro
obo	obispo	NCMS000	obispo
de	de	SPS00	de
Tued	Tuy	NP00000	tuy
	.	Fp	.
