Mto	Muito	RQ	muito
R	reverendo	NP00000	reverendo
snr	senhor	NP00000	senhor
Po	Pedro	NP00000	pedro
Affo	Afonso	NP00000	afonso
Pires	Pires	NP00000	pires
de	de	SPS00	de
Barros	Barros	NP00000	barros
	.	Fp	.
Meu	Meu	DP1MSS	meu
amo	amigo	NCMS000	amigo
e	e	CC	e
snr	senhor	NP00000	senhor
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
coração	coração	NCMS000	coração
,	,	Fc	,
ontem	ontem	RG	ontem
â	à	SPS00+DA0FS0	a+o
noite	noite	NCFS000	noite
Escrevi	escrevi	VMIS1S0	escrever
a	a	SPS00	a
Vmce	VM	NP00000	VM
dandolhe	dando-lhe	VMG0000+PP3CSD00	dar+lhe
as	as	DA0FP0	o
notas	notícias	NCFP000	notícia
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
participey	participei	VMIS1S0	participar
no	no	SPS00+DA0MS0	em+o
mesmo	mesmo	AQ0MS0	mesmo
instante	instante	NCMS000	instante
em	em	SPS00	em
q	que	PR0CN000	que
formar	formar	VMN0000	formar
Juizo	juízo	NCMS000	juízo
dos	dos	SPS00+DA0MP0	de+o
Embustes	embustes	NCMP000	embuste
com	com	SPS00	com
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
vimos	vimos	VMIS1P0	vir
perplexos	perplexos	NCFP000	perplexo
forão	foram	VMIS3P0	ir
O	o	DA0MS0	o
meu	meu	DP1MSS	meu
mayor	maior	AQ0CS0	maior
Cuidado	cuidado	VMP00SM	cuidar
,	,	Fc	,
q	que	CS	que
a	a	SPS00	a
minha	minha	DP1FSS	meu
Carta	carta	NCFS000	carta
,	,	Fc	,
oxalá	oxalá	I	oxalá
em	em	I	oxalá
caza	casa	NCFS000	casa
de	de	SPS00	de
Vmce	VM	NP00000	VM
o	o	DA0MS0	o
Pe	padre	NP00000	padre
seraphim	Serafim	NP00000	serafim
da	da	SPS00+DA0FS0	de+o
Pax	Paz	NP00000	paz
;	,	Fc	,
por	por	SPS00	por
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
não	não	RN	não
escapa	escapa	VMIP3S0	escapar
das	das	SPS00+DA0FP0	de+o
ma-os	mãos	NCFP000	mão
.	.	Fp	.
agora	Agora	RG	agora
	,	Fc	,
com	com	SPS00	com
a	a	DA0FS0	o
q	que	PR0CN000	que
recebo	recebo	VMIP1S0	receber
de	de	SPS00	de
Vmce	VM	NP00000	VM
	,	Fc	,
