Hé	É	VSIP3S0	ser
sujeito	sujeito	VMP00SM	sujeitar
só	só	RG	só
a	a	SPS00	a
Deos	Deus	NP00000	deus
,	,	Fc	,
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
seu	seu	DP3MS0	seu
proprio	próprio	AQ0MS0	próprio
conhecimento	conhecimento	NCMS000	conhecimento
	,	Fc	,
o	o	DA0MS0	o
homem	homem	NCMS000	homem
que	que	PR0CN000	que
excede	excede	VMIP3S0	exceder
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
outros	outros	DI0MP0	outro
homens	homens	NCMP000	homem
no	no	SPS00+DA0MS0	em+o
conheci-mento	conhecimento	NCMS000	conhecimento
certo	certo	AQ0MS0	certo
das	das	SPS00+DA0FP0	de+o
verdades	verdades	NCFP000	verdade
da	da	SPS00+DA0FS0	de+o
salvação	salvação	NCFS000	salvação
	.	Fp	.
