Meu	Meu	DP1MSS	meu
tio	Tio	NP00000	tio
e	e	CC	e
sor	Senhor	NP00000	senhor
	,	Fc	,
estas	estas	PD0FS000	este
fasso	faço	VMIP1S0	fazer
por	por	SPS00	por
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
Vm	VM	NP00000	VM
en	em	SPS00	em
como	como	PA000000	como
sabado	sábado	NCMS000	sábado
	,	Fc	,
junto	junto	RG	junto
da	da	SPS00+DA0FS0	de+o
Noute	noite	NCFS000	noite
	,	Fc	,
encontrei	encontrei	VMIS1S0	encontrar
fora	fora	RG	fora
desta	desta	SPS00+DD0FS0	de+este
Va	vila	NCFS000	vila
ao	ao	SPS00+DA0MS0	a+o
boticairo	boticário	NCMS000	boticário
que	que	PR0CN000	que
sahio	saiu	VMIS3S0	sair
no	no	SPS00+DA0MS0	em+o
auto	auto	NCMS000	auto
por	por	SPS00	por
feiticeiro	feiticeiro	NCMS000	feiticeiro
,	.	Fp	.
que	Que	CS	que
	,	Fc	,
perguntandolhe	perguntando-lhe	VMG0000+PP3CSD00	perguntar+lhe
donde	onde	PA000000	onde
era	era	VSII0S0	ser
	,	Fc	,
me	me	PP1CS000	me
nan	não	RN	não
nego	negou	VMIS3S0	negar
a	a	DA0FS0	o
terra	terra	NCFS000	terra
e	e	CC	e
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
vinha	vinha	VMII0S0	vir
pera	para	SPS00	para
esta	esta	DD0FS0	este
terra	terra	NCFS000	terra
	,	Fc	,
chamado	chamado	VMP00SM	chamar
de	de	SPS00	de
joam	João	NP00000	joão
de	de	SPS00	de
mello	Melo	NP00000	melo
en	em	SPS00	em
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
caza	casa	NCFS000	casa
	,	Fc	,
e	e	CC	e
nella	nela	SPS00+PP3FS000	em+ele
avia	havia	VMII0S0	haver
de	de	SPS00	de
estar	estar	VMN0000	estar
dous	dois	Z	dois
dias	dias	NCMP000	dia
pa	para	SPS00	para
la	lá	RG	lá
arecolher	recolher	VMN0000	recolher
	.	Fp	.
contudo	Contudo	RG	contudo
	,	Fc	,
la	lá	RG	lá
esta	está	VMIP3S0	estar
escondido	escondido	VMP00SM	esconder
mas	mas	CC	mais
não	não	RN	não
en	em	SPS00	em
termos	termos	NCMP000	termo
que	que	PR0CN000	que
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
mocos	moços	NCMP000	moço
não	não	RN	não
digão	digam	VMSP3P0	dizer
que	que	CS	que
he	é	VSIP3S0	ser
hũ	um	DI0MS0	um
sirgião	cirurgião	NCMS000	cirurgião
que	que	PR0CN000	que
vem	vem	VMIP3S0	vir
a	a	SPS00	a
curar	curar	VMN0000	curar
o	o	DA0MS0	o
sor	senhor	NP00000	senhor
joam	João	NP00000	joão
de	de	SPS00	de
mello	Melo	NP00000	melo
	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
se	se	CSI	se
hera	era	VSII0S0	ser
hoje	hoje	RG	hoje
	,	Fc	,
que	que	CS	que
he	é	VSIP3S0	ser
dia	dia	NCMS000	dia
en	em	SPS00	em
que	que	PR0CN000	que
me	me	PP1CS000	me
dissse	disse	VMIS3S0	dizer
avia	havia	VMII0S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
	.	Fp	.
como	Como	CS	como
sahio	saiu	VMIS3S0	sair
no	no	SPS00+DA0MS0	em+o
auto	auto	NCMS000	auto
sem	sem	SPS00	sem
degredo	degredo	NCMS000	degredo
e	e	CC	e
instrução	instrução	NCFS000	instrução
e	e	CC	e
aqui	aqui	RG	aqui
veio	veio	VMIS3S0	vir
	,	Fc	,
creio	creio	VMIP1S0	crer
	,	Fc	,
sen	sem	SPS00	sem
enbargo	embargo	NCMS000	embargo
que	que	CS	que
o	o	PP3MSA00	o
não	não	RN	não
sei	sei	VMIP1S0	saber
o	ao	SPS00+DA0MS0	a+o
certo	certo	NCMS000	certo
	,	Fc	,
vem	vem	VMIP3S0	vir
exercitar	exercitar	VMN0000	exercitar
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
mezinhas	mezinhas	NCFP000	mezinha
	.	Fp	.
digo	Digo	VMIP1S0	dizer
isto	isto	PD0NN000	isto
Vm	VM	NP00000	VM
por	por	SPS00	por
não	não	RN	não
saber	saber	VMN0000	saber
se	se	CSI	se
sou	sou	VSIP1S0	ser
obrigdo	obrigado	VMP00SM	obrigar
a	a	SPS00	a
dar	dar	VMN0000	dar
conta	conta	NCFS000	conta
disto	disto	SPS00+PD0NN000	de+isto
e	e	CC	e
	,	Fc	,
qdo	quando	CS	quando
não	não	RN	não
seja	seja	VSSP0S0	ser
	,	Fc	,
ei	hei	VMIP1S0	haver
por	por	SPS00	por
não	não	RN	não
dito	dito	VMP00SM	dizer
,	.	Fp	.
o	O	DA0MS0	o
campo	campo	NCMS000	campo
inda	ainda	RG	ainda
não	não	RN	não
da	dá	VMIP3S0	dar
pasagem	passagem	NCFS000	passagem
nenhũa	nenhuma	DI0FS0	nenhum
por	por	SPS00	por
ella	ela	PP3FS000	ele
	,	Fc	,
Porẽ	porém	RG	porém
não	não	RN	não
foi	foi	VMIS3S0	ir
hoje	hoje	RG	hoje
	.	Fp	.
que	Que	CS	que
tenha	tenha	VMSP0S0	ter
detreminacão	determinação	NCFS000	determinação
pa	para	SPS00	para
obedecer	obedecer	VMN0000	obedecer
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
q	que	PR0CN000	que
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
	.	Fp	.
mte mor	Montemor	NP00000	montemor
	,	Fc	,
hoje	hoje	RG	hoje
	,	Fc	,
7	7	Z	7
de	de	SPS00	de
Abril	abril	NCMS000	abril
de	de	SPS00	de
1704	1704	Z	1704
Sobrinho	Sobrinho	NCMS000	sobrinho
mais	mais	RC	mais
amte	amante	AQ0CS0	amante
obrigdo	obrigado	VMP00SM	obrigar
	,	Fc	,
Manoel	Manuel	NP00000	manuel
Chelam	Chelam	NP00000	chelam
pra	Pereira	NP00000	pereira
