Meu	Meu	DP1MSS	meu
Sór	Senhor	NP00000	senhor
	.	Fp	.
Resebi	Recebi	VMIS1S0	receber
a	a	DA0FS0	o
de	de	SPS00	de
Vm	VM	NP0S000	VM
Com	com	SPS00	com
a	a	DA0FS0	o
de	de	SPS00	de
Anto	António	NP00000	antónio
dias	Dias	NP00000	dias
	,	Fc	,
em	em	SPS00	em
que	que	PR0CN000	que
me	me	PP1CS000	me
pede	pede	VMIP3S0	pedir
lhe	lhe	PP3CSD00	lhe
mãode	mande	VMSP0S0	mandar
corer	correr	VMN0000	correr
banhos	banhos	NCMP000	banho
pa	para	SPS00	para
aver	haver	VMN0000	haver
de	de	SPS00	de
casar	casar	VMN0000	casar
em	em	SPS00	em
enguola	Angola	NP00000	angola
	.	Fp	.
tanto	Tanto	RC	tanto
Pelo	pelo	SPS00+DA0MS0	por+o
comtrario	contrário	NCMS000	contrário
	,	Fc	,
se	se	P00CN000	se
deve	deve	VMIP3S0	dever
faser	fazer	VMN0000	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
Vm	VM	NP0S000	VM
e	e	CC	e
hele	ele	PP3MS000	ele
pedem	pedem	VMIP3P0	pedir
	,	Fc	,
que	que	CS	que
o	o	DA0MS0	o
tal	tal	RC	tal
he	é	VSIP3S0	ser
casado	casado	VMP00SM	casar
e	e	CC	e
tem	tem	VMIP3S0	ter
hua	uma	DI0FS0	um
molher	mulher	NCFS000	mulher
viva	viva	AQ0FS0	vivo
	,	Fc	,
de	de	SPS00	de
que	que	PR0CN000	que
vai	vai	VMIP3S0	ir
esa	essa	DD0FS0	esse
justifiquasam	justificação	NCFS000	justificação
que	que	PR0CN000	que
vm	VM	NP0S000	VM
da	dá	VMIP3S0	dar
	,	Fc	,
que	que	CS	que
certe	certo	AQ0MS0	certo
estou	estou	VMIP1S0	estar
deu	deu	VMIS3S0	dar
em	em	SPS00	em
termo	termo	NCMS000	termo
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
foi	fui	VSIS1S0	ser
ceu	seu	DP3MS0	seu
paDrinho	padrinho	NCMS000	padrinho
quando	quando	CS	quando
se	se	P00CN000	se
resebeo	recebeu	VMIS3S0	receber
	.	Fp	.
e	E	CC	e
	,	Fc	,
não	não	RN	não
sendo	sendo	VSG0000	ser
o	o	DA0MS0	o
que	que	PR0CN000	que
diguo	digo	VMIP1S0	dizer
	,	Fc	,
esteja	esteja	VMSP0S0	teja
vm	VM	NP0S000	VM
certo	certo	AQ0MS0	certo
ouvera	houvera	VMIM0S0	haver
de	de	SPS00	de
servir	servir	VMN0000	servir
a	a	DA0FS0	o
vm	VM	NP0S000	VM
	,	Fc	,
ainda	ainda	RG	ainda
que	que	CS	que
fose	fosse	VSSI0S0	ser
em	em	SPS00	em
Coazas	coisas	NCFP000	coisa
de	de	SPS00	de
maior	maior	AQ0CS0	maior
	.	Fp	.
desa	Dessa	SPS00+PD0FS000	de+esse
	,	Fc	,
vm	VM	NP0S000	VM
sabera	saberá	VMIF3S0	saber
la	lá	RG	lá
dizer	dizer	VMN0000	dizer
este	este	DD0MS0	este
negosio	negócio	NCMS000	negócio
como	como	CS	como
milhor	melhor	RC	melhor
emtender	entender	VMN0000	entender
	,	Fc	,
em	em	SPS00	em
pa	para	SPS00	para
o	o	DA0MS0	o
Be	bem	RG	bem
diser	dizer	VMN0000	dizer
a	a	SPS00	a
vm	VM	NP0S000	VM
estava	estava	VMII0S0	estar
certo	certo	AQ0MS0	certo
	.	Fp	.
aCa	aCa	X	X
aja	haja	VMSP0S0	haver
vida	vida	NCFS000	vida
	.	Fp	.
ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
	.	Fp	.
moncaras	Monsarás	NP00000	monsarás
	,	Fc	,
de	de	SPS00	de
aguto	agosto	NCMS000	agosto
22	22	Z	22
de	de	SPS00	de
1704	1704	Z	1704
	.	Fp	.
Cervo	Servo	NCMS000	servo
de	de	SPS00	de
vm	VM	NP0S000	VM
	,	Fc	,
Domingos	Domingos	NP00000	domingos
Lourenço	Lourenço	NP00000	lourenço
Perdigão	Perdigão	NP00000	perdigão
