M	Muito	RQ	muito
Rdo	reverendo	AQ0MS0	reverendo
Pe	padre	NCMS000	padre
e	e	CC	e
Sor	senhor	NP00000	senhor
	,	Fc	,
D	Dom	NP00000	dom
Sebam	Sebastião	NP00000	sebastião
Luis	Luís	NP00000	luís
da	da	SPS00+DA0FS0	de+o
Silvra	Silveira	NP00000	silveira
Este	Este	DD0MS0	este
Corro	correio	NCMS000	correio
esperava	esperava	VMII0S0	esperar
Carta	carta	NCFS000	carta
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
mas	mas	CC	mais
o	o	DA0MS0	o
Dor	doutor	NP00000	doutor
Jozé	José	NP00000	josé
Anto	António	NP00000	antónio
das	das	SPS00+DA0FP0	de+o
Neves	Neves	NP00000	neves
me	me	PP1CS000	me
avizou	avisou	VMIS3S0	avisar
VSa	VSa	NP00000	VSa
se	se	CS	se
achava	achava	VMII0S0	achar
fora	fora	RG	fora
em	em	SPS00	em
deliga	diligência	NCFS000	diligência
do	do	SPS00+DA0MS0	de+o
bom	bom	AQ0MS0	bom
despaxo	despacho	NCMS000	despacho
,	.	Fp	.
e	E	CC	e
acento	acento	NCMS000	acento
q	que	CS	que
	,	Fc	,
em	em	SPS00	em
vertude	virtude	NCFS000	virtude
da	da	SPS00+DA0FS0	de+o
deliga	diligência	NCFS000	diligência
,	,	Fc	,
estte	este	DD0MS0	este
corro	correio	NCMS000	correio
escreveo	escreveu	VMIS3S0	escrever
meu	meu	DP1MSS	meu
Iro	irmão	NCMS000	irmão
Lco	Lourenço	NP00000	lourenço
	,	Fc	,
e	e	CC	e
mandou	mandou	VMIS3S0	mandar
4	4	Z	4
mezadas	mesadas	NCFP000	mesada
á	à	SPS00+DA0FS0	a+o
tia	tia	NCFS000	tio
	,	Fc	,
julgo	julgo	VMIP1S0	julgar
pa	para	SPS00	para
Com	com	SPS00	com
o	o	DA0MS0	o
recibu	recibo	NCMS000	recibo
mostrar	mostrar	VMN0000	mostrar
mentira	mentira	NCFS000	mentira
no	no	SPS00+DA0MS0	em+o
requerimto	requerimento	NCMS000	requerimento
	.	Fp	.
tãobem	Também	RG	também
o	o	DA0MS0	o
Neves	Neves	NP00000	neves
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
G	Gaspar	NP00000	gaspar
provavelmte	provavelmente	RG	provavelmente
irá	irá	VMIF3S0	ir
pa	para	SPS00	para
á	a	DA0FS0	o
Compa	companhia	NCFS000	companhia
de	de	SPS00	de
Lço	Lourenço	NP00000	lourenço
,	.	Fp	.
Ds	Deus	NP00000	deus
o	o	DA0MS0	o
Livre	livre	AQ0CS0	livre
	,	Fc	,
q	que	CS	que
	,	Fc	,
agora	agora	RG	agora
estimulado	estimulado	VMP00SM	estimular
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
acumulará	acumulará	VMIF3S0	acumular
mayores	maiores	AQ0CP0	maiores
Crimes	crimes	NCMP000	crime
,	.	Fp	.
VSa	VSa	NP00000	VSa
o	o	DA0MS0	o
Livre	livre	AQ0CS0	livre
de	de	SPS00	de
similhante	semelhante	AQ0CS0	semelhante
aContecimto	acontecimento	NCMS000	acontecimento
,	,	Fc	,
pois	pois	CS	pois
é	é	VSIP3S0	ser
mayor	maior	AQ0CS0	maior
dissabor	dissabor	NCMS000	dissabor
pa	para	SPS00	para
mim	mim	PP1CSO00	mim
.	.	Fp	.
Agradesso	Agradeço	VMIP1S0	agradecer
a	a	SPS00	a
VSa	VSa	NP00000	VSa
a	a	SPS00	a
ampla	ampla	AQ0FS0	amplo
Licenssa	licença	NCFS000	licença
q	que	PR0CN000	que
alcanssou	alcançou	VMIS3S0	alcançar
pa	para	SPS00	para
a	a	DA0FS0	o
Citação	citação	NCFS000	citação
de	de	SPS00	de
Lço	Lourenço	NP00000	lourenço
	,	Fc	,
q	que	CS	que
	,	Fc	,
se	se	CS	se
não	não	RN	não
achara	achara	VMIM0S0	achar
um	um	DI0MS0	um
Juis	juiz	NCMS000	juiz
tanto	tanto	CC	tanto
a	a	SPS00	a
seu	seu	DP3MS0	seu
favor	favor	NCMS000	favor
,	,	Fc	,
talves	talvez	RG	talvez
não	não	RN	não
idiara	ideara	VMIM0S0	idear
tanto	tanto	CC	tanto
Contra	contra	SPS00	contra
nos	nós	PP1CP000	nós
	.	Fp	.
emfim	Enfim	RG	enfim
,	,	Fc	,
só	só	RG	só
a	a	DA0FS0	o
actidão	aptidão	NCFS000	aptidão
de	de	SPS00	de
VSa	VSa	NP00000	VSa
pode	pode	VMIP3S0	poder
servir	servir	VMN0000	servir
de	de	SPS00	de
fundamto	fundamento	NCMS000	fundamento
pa	para	SPS00	para
á	a	DA0FS0	o
mia	minha	DP1FSS	meu
experanssa	esperança	NCFS000	esperança
,	,	Fc	,
e	e	CC	e
pa	para	SPS00	para
socego	sossego	NCMS000	sossego
meu	meu	DP1MSS	meu
	.	Fp	.
Dezo	Desejo	VMIP1S0	desejar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
uma	uma	DI0FS0	um
Completa	completa	AQ0FS0	completo
Saude	saúde	NCFS000	saúde
,	,	Fc	,
pois	pois	CS	pois
desta	desta	SPS00+DD0FS0	de+este
me	me	PP1CS000	me
rezulta	resulta	VMIP3S0	resultar
o	o	DA0MS0	o
mayor	maior	AQ0CS0	maior
Contentamto	contentamento	NCMS000	contentamento
	.	Fp	.
aCeite	Aceite	VMSP0S0	aceitar
VSa	VSa	NP00000	VSa
a	a	SPS00	a
mia	minha	DP1FSS	meu
Vonte	vontade	NCFS000	vontade
	,	Fc	,
e	e	CC	e
desta	desta	SPS00+DD0FS0	de+este
os	os	PP3MPA00	o
empos	amparos	VMIP3S0	amparos
de	de	SPS00	de
obzequialo	obsequiá-lo	SPS00	de
Como	como	SPS00	como
Sua	sua	DP3FS0	seu
Mayor	maior	AQ0CS0	maior
devedora	devedora	AQ0FS0	devedor
e	e	CC	e
obrigma	obrigadíssima	AQSFS0	obrigado
	.	Fp	.
Sta	Santa	NP00000	santa
Iria	Iria	VMIC0S0	ir
	,	Fc	,
em	em	SPS00	em
3	3	Z	3
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
de	de	SPS00	de
79	79	Z	79
Ma	Maria	NP00000	maria
Elena	Elena	NP00000	Elena
de	de	SPS00	de
