Meu	Meu	DP1MSS	meu
Pai	Pai	NCMS000	pai
.	.	Fp	.
Da	Da	SPS00+DA0FS0	de+o
boca	boca	NCFS000	boca
do	do	SPS00+DA0MS0	de+o
Rio	rio	NCMS000	rio
escrevo	escrevo	VMIP1S0	escrever
esta	esta	PD0FS000	este
a	a	SPS00	a
Vmce	VM	NP00000	VM
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
dizer	dizer	VMN0000	dizer
q	que	CS	que
	,	Fc	,
chegando	chegando	VMG0000	chegar
nós	nós	PP1CP000	nós
a	a	SPS00	a
ella	ela	PP3FS000	ele
,	,	Fc	,
topamos	topámos	VMIS1P0	topar
essas	essas	DD0FP0	esse
Cartas	cartas	NCFP000	carta
do	do	SPS00+DA0MS0	de+o
Pe	padre	NP00000	padre
Penha	Penha	NP00000	penha
e	e	CC	e
	,	Fc	,
logo	logo	RG	logo
da	da	SPS00+DA0FS0	de+o
outra	outra	DI0FS0	outro
banda	banda	NCFS000	banda
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
Sergio	Sérgio	NP00000	sérgio
	,	Fc	,
com	com	SPS00	com
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
havia	havia	VMII0S0	haver
na	na	SPS00+DA0FS0	em+o
Fazenda	fazenda	NCFS000	fazenda
.	.	Fp	.
O	O	DA0MS0	o
Juiz	juiz	NCMS000	juiz
lhe	lhe	PP3CSD00	lhe
mandou	mandou	VMIS3S0	mandar
em	em	SPS00	em
hũa	uma	DI0FS0	um
Canoinha	canoinha	NCFS00D	canoa
intimar	intimar	VMN0000	intimar
a	à	SPS00+DA0FS0	a+o
Portaria	portaria	NCFS000	portaria
de	de	SPS00	de
S	Sua	DP3FS0	seu
Excia	Excelência	NP00000	excelência
e	e	CC	e
	,	Fc	,
se	se	CS	se
Cazo	caso	NCMS000	caso
elle	ele	PP3MS000	ele
não	não	RN	não
quizesse	quisesse	VMSI0S0	querer
obedecer	obedecer	VMN0000	obedecer
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
dessem	dessem	VMSI3P0	dar
a	a	DA0FS0	o
vox	voz	NCFS000	voz
de	de	SPS00	de
prezo	preso	NCMS000	preso
.	.	Fp	.
Elle	Ele	PP3MS000	ele
foi	foi	VSIS3S0	ser
tão	tão	RC	tão
insolente	insolente	AQ0CS0	insolente
q	que	CS	que
não	não	RN	não
quis	quis	VMIS3S0	querer
obedecer	obedecer	VMN0000	obedecer
a	a	SPS00	a
nada	nada	PI0NN00N	nada
e	e	CC	e
tão	tão	RC	tão
pouco	pouco	RQ	pouco
Christão	cristão	NCMS000	cristão
q	que	CS	que
	,	Fc	,
vendo	vendo	VMG0000	ver
se	se	CS	se
allagava	alagava	VMII0S0	alagar
a	a	DA0FS0	o
Canoinha	canoinha	NCFS00D	canoa
	,	Fc	,
nem	nem	CCN	nem
ao	ao	SPS00+DA0MS0	a+o
menos	menos	RC	menos
quis	quis	VMIS3S0	querer
acudir	acudir	VMN0000	acudir
a	a	DA0FS0	o
gente	gente	NCFS000	gente
,	,	Fc	,
de	de	SPS00	de
forma	forma	NCFS000	forma
q	que	CS	que
morreu	morreu	VMIS3S0	morrer
afogado	afogado	VMP00SM	afogar
hũ	um	DI0MS0	um
pobre	pobre	AQ0CS0	pobre
mosso	moço	NCMS000	moço
chamado	chamado	VMP00SM	chamar
Gabriel	Gabriel	NP00000	gabriel
q	que	PR0CN000	que
tinha	tinha	VAII0S0	ter
hido	ido	VMP0000	ir
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
deligencia	diligência	NCFS000	diligência
	.	Fp	.
Elle	Ele	PP3MS000	ele
leva	leva	VMIP3S0	levar
tudo	tudo	PI0NN000	tudo
sem	sem	SPS00	sem
dar	dar	VMN0000	dar
fiança	fiança	NCFS000	fiança
,	,	Fc	,
aRancou	arrancou	VMIS3S0	arrancar
