Meu	Meu	DP1MSS	meu
Sor	Senhor	NP00000	senhor
Rdo	Reverendo	NP00000	reverendo
Abade	Abade	NP00000	abade
	,	Fc	,
da	da	SPS00+DA0FS0	de+o
saude	saúde	NCFS000	saúde
q	que	CS	que
V	Vossa	DP2FSP	vosso
r	Reverência	NP00000	reverência
pesuir	possuir	VMN0000	possuir
	,	Fc	,
farey	farei	VMIF1S0	fazer
com	com	SPS00	com
a	a	DA0FS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
fica	fica	VMIP3S0	ficar
a	a	DA0FS0	o
mayor	maior	AQ0CS0	maior
estimasão	estimação	NCFS000	estimação
.	.	Fp	.
Ora	Ora	RG	ora
	,	Fc	,
meu	meu	DP1MSS	meu
Sor	Senhor	NP00000	senhor
	,	Fc	,
por	por	SPS00	por
estar	estar	VMN0000	estar
a	a	SPS00	a
pe	pé	NCMS000	pé
	,	Fc	,
não	não	RN	não
sou	sou	VSIP1S0	ser
o	o	DA0MS0	o
portador	portador	NCMS000	portador
desta	desta	SPS00+DD0FS0	de+este
pa	para	SPS00	para
deos	Deus	NP00000	deus
aos	ao	SPS00+DA0MS0	a+o
lhe	lhe	PP3CSD00	lhe
dar	dar	VMN0000	dar
esta	esta	DD0FS0	este
conta	conta	NCFS000	conta
	,	Fc	,
q	que	PR0CN000	que
por	por	SPS00	por
esta	esta	DD0FS0	este
cauza	causa	NCFS000	causa
dou	dou	VMIP1S0	dar
por	por	SPS00	por
escrito	escrito	NCMS000	escrito
:	.	Fp	.
e	E	CC	e
he	é	VSIP3S0	ser
o	o	DA0MS0	o
cazo	caso	NCMS000	caso
q	que	CS	que
	,	Fc	,
estando	estando	VMG0000	estar
hum	um	DI0MS0	um
Cura	cura	NCFS000	cura
imcinamdo	ensinando	VMG0000	ensinar
a	a	DA0FS0	o
doutrina	doutrina	NCFS000	doutrina
a	a	SPS00	a
hunz	uns	DI0MP0	um
rapazes	rapazes	NCMP000	rapaz
	,	Fc	,
chegey	cheguei	VMIS1S0	chegar
a	a	DA0FS0	o
tenpo	tempo	NCMS000	tempo
q	que	PR0CN000	que
pre-guntava	perguntava	VMII0S0	perguntar
este	este	PD0MS000	este
a	a	SPS00	a
hum	um	DI0MS0	um
rapas	rapaz	NCMS000	rapaz
quem	quem	PR0CN000	quem
estava	estava	VMII0S0	estar
na	na	SPS00+DA0FS0	em+o
ostia	hóstia	NCFS000	hóstia
dispois	depois	RG	depois
de	de	SPS00	de
comsagrada	consagrada	VMP00SF	consagrar
	.	Fp	.
não	Não	RN	não
Respondeo	respondeu	VMIS3S0	responder
o	o	DA0MS0	o
Rapas	rapaz	NCMS000	rapaz
	.	Fp	.
e	E	CC	e
por	por	SPS00	por
estar	estar	VMN0000	estar
eu	eu	PP1CSN00	eu
prezente	presente	NCMS000	presente
	,	Fc	,
dise	disse	VMIS3S0	dizer
ao	ao	SPS00+DA0MS0	a+o
Rapas	rapaz	NCMS000	rapaz
q	que	CS	que
disese	dissesse	VMSI0S0	dizer
estava	estava	VMII0S0	estar
a	a	DA0FS0	o
segunda	segunda	AO0FS0	segundo
pesoa	pessoa	NCFS000	pessoa
da	da	SPS00+DA0FS0	de+o
santiçi-ma	Santíssima	NP00000	santo
trindade	Trindade	NP00000	trindade
-	.	Fp	.
continuou	Continuou	VMIS3S0	continuar
o	o	DA0MS0	o
cura	cura	NCFS000	cura
em	em	SPS00	em
preguntar	perguntar	VMN0000	perguntar
ao	ao	SPS00+DA0MS0	a+o
ditto	dito	VMP00SM	dizer
Rapas	rapaz	NCMS000	rapaz
a	a	DA0FS0	o
mesma	mesma	AQ0FS0	mesmo
pregunta	pergunta	NCFS000	pergunta
-	.	Fp	.
e	E	CC	e
Respondeo	respondeu	VMIS3S0	responder
o	o	DA0MS0	o
rapas	rapaz	NCMS000	rapaz
q	que	CS	que
estava	estava	VMII0S0	estar
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
santicima	Santíssima	NP00000	santo
trindade	Trindade	NP00000	trindade
-	.	Fp	.
e	E	CC	e
	,	Fc	,
pasando	passando	VMG0000	passar
este	este	DD0MS0	este
cazo	caso	NCMS000	caso
sem	sem	SPS00	sem
mais	mais	RC	mais
Rezulsam	resolução	NCFS000	resolução
	,	Fc	,
indome	indo-me	VMG0000+PP1CS000	ir+me
comfesar	confessar	VMN0000	confessar
	,	Fc	,
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
q	que	CS	que
me	me	PP1CS000	me
desdisese	desdissesse	VMSI0S0	desdizer
em	em	SPS00	em
dizer	dizer	VMN0000	dizer
q	que	CS	que
na	na	SPS00+DA0FS0	em+o
ostia	hóstia	NCFS000	hóstia
	,	Fc	,
dispois	depois	RG	depois
de	de	SPS00	de
comsagrada	consagrada	VMP00SF	consagrar
	,	Fc	,
não	não	RN	não
estava	estava	VMII0S0	estar
senão	senão	CC	senão
a	a	DA0FS0	o
segunda	segunda	AO0FS0	segundo
pesoa	pessoa	NCFS000	pessoa
da	da	SPS00+DA0FS0	de+o
santiçima	Santíssima	NP00000	santo
trindade	Trindade	NP00000	trindade
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
Rezam	razão	NCFS000	razão
he	é	VSIP3S0	ser
porq	porque	CS	porque
sam	são	VSIP3P0	ser
tres	três	Z	três
pesoas	pessoas	NCFP000	pessoa
distintas	distintas	AQ0FP0	distinto
	,	Fc	,
da	da	SPS00+DA0FS0	de+o
coal	qual	PR0CS000	qual
huma	uma	PI0FS000	um
não	não	RN	não
he	é	VSIP3S0	ser
outra	outra	PI0FS000	outro
e	e	CC	e
	,	Fc	,
emcoanto	enquanto	CS	enquanto
Deos	Deus	NP00000	deus
	,	Fc	,
esta	está	VMIP3S0	estar
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
santiçima	Santíssima	NP00000	santo
trindade	Trindade	NP00000	trindade
-	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
Rezão	razão	NCFS000	razão
he	é	VSIP3S0	ser
porq	porque	CS	porque
Deos	Deus	NP00000	deus
he	é	VSIP3S0	ser
hum	um	PI0MS000	um
só	só	AQ0CS0	só
	.	Fp	.
e	E	CC	e
	,	Fc	,
com	com	SPS00	com
eyfeyto	efeito	NCMS000	efeito
	,	Fc	,
comfezoume	confessou-me	VMIS3S0+PP1CS000	confessar+me
e	e	CC	e
sacramentome	sacramentou-me	VMIS3S0+PP1CS000	sacramentar+me
em	em	SPS00	em
dia	dia	NCMS000	dia
de	de	SPS00	de
pascoa	Páscoa	NP00000	páscoa
a	à	SPS00+DA0FS0	a+o
Misa	missa	NCFS000	missa
-	.	Fp	.
e	E	CC	e
no	no	SPS00+DA0MS0	em+o
mesmo	mesmo	AQ0MS0	mesmo
dia	dia	NCMS000	dia
a	à	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
q	que	CS	que
me	me	PP1CS000	me
desdisese	desdissesse	VMSI0S0	desdizer
-	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
dise	disse	VMIS3S0	dizer
q	que	CS	que
não	não	RN	não
deyxava	deixava	VMII0S0	deixar
de	de	SPS00	de
me	me	PP1CS000	me
desdizer	desdizer	VMN0000	desdizer
	,	Fc	,
senão	senão	CC	senão
por	por	SPS00	por
dovidar	duvidar	VMN0000	duvidar
q	que	CS	que
em	em	SPS00	em
me	me	PP1CS000	me
desdizer	desdizer	VMN0000	desdizer
podia	podia	VMII0S0	poder
negar	negar	VMN0000	negar
o	o	DA0MS0	o
serto	certo	NCMS000	certo
e	e	CC	e
comfesar	confessar	VMN0000	confessar
alguma	alguma	DI0FS0	algum
duvida	dúvida	NCFS000	dúvida
q	que	PR0CN000	que
podia	podia	VMII0S0	poder
aver	haver	VMN0000	haver
-	.	Fp	.
mas	Mas	CC	mas
torney	tornei	VMIS1S0	tornar
a	a	SPS00	a
Repetir	repetir	VMN0000	repetir
q	que	CS	que
na	na	SPS00+DA0FS0	em+o
ostia	hóstia	NCFS000	hóstia
	,	Fc	,
dispois	depois	RG	depois
de	de	SPS00	de
comsagrada	consagrada	VMP00SF	consagrar
	,	Fc	,
estava	estava	VMII0S0	estar
so	só	RG	só
a	a	DA0FS0	o
segunda	segunda	AO0FS0	segundo
pesoa	pessoa	NCFS000	pessoa
da	da	SPS00+DA0FS0	de+o
santiçima	Santíssima	NP00000	santo
trindadade	Trindade	NP00000	trindade
	,	Fc	,
em	em	SPS00	em
Rezão	razão	NCFS000	razão
de	de	SPS00	de
serem	serem	VSN03P0	ser
tres	três	Z	três
pesoas	pessoas	NCFP000	pessoa
distintas	distintas	AQ0FP0	distinto
-	.	Fp	.
e	E	CC	e
	,	Fc	,
emcoanto	enquanto	CS	enquanto
Deos	Deus	NP00000	deus
	,	Fc	,
estava	estava	VMII0S0	estar
na	na	SPS00+DA0FS0	em+o
ostia	hóstia	NCFS000	hóstia
dispois	depois	RG	depois
de	de	SPS00	de
comsagrada	consagrada	VMP00SF	consagrar
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
san-tiçima	Santíssima	NP00000	santo
trindade	Trindade	NP00000	trindade
-	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
Rezão	razão	NCFS000	razão
he	é	VSIP3S0	ser
porq	porque	CS	porque
	,	Fc	,
inda	ainda	RG	ainda
q	que	CS	que
o	o	DA0MS0	o
padre	padre	NCMS000	padre
he	é	VSIP3S0	ser
Deos	Deus	NP00000	deus
-	-	Fg	-
e	e	CC	e
fo	filho	NCMS000	filho
he	é	VSIP3S0	ser
Deos	Deus	NP00000	deus
-	-	Fg	-
e	e	CC	e
o	o	DA0MS0	o
esperito	Espírito	NP00000	espírito
Santo	Santo	NP00000	santo
he	é	VSIP3S0	ser
Deos	Deus	NP00000	deus
com	com	SPS00	com
tudo	tudo	PI0NN000	tudo
	,	Fc	,
não	não	RN	não
sam	são	VSIP3P0	ser
tres	três	Z	três
Deozes	deuses	NCMP000	deus
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
Rezão	razão	NCFS000	razão
he	é	VSIP3S0	ser
porq	porque	CS	porque
Deos	Deus	NP00000	deus
he	é	VSIP3S0	ser
hum	um	PI0MS000	um
so	só	AQ0CS0	só
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
nisto	nisto	SPS00+PD0NN000	em+isto
q	que	PR0CN000	que
asima	acima	RG	acima
digo	digo	VMIP1S0	dizer
dise	disse	VMIS3S0	dizer
alguma	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
contra	contra	SPS00	contra
a	a	DA0FS0	o
nosa	nossa	DP1FSP	nosso
Santa	Santa	AQ0FS0	santa
fe	Fé	NP00000	fé
	,	Fc	,
em	em	SPS00	em
todo	todo	PI0MS000	todo
ou	ou	CC	ou
em	em	SPS00	em
parte	parte	NCFS000	parte
dizendo	dizendo	VMG0000	dizer
	,	Fc	,
logo	logo	RG	logo
ateponho	anteponho	VMIP1S0	antepor
e	e	CC	e
me	me	PP1CS000	me
someto	submeto	VMIP1S0	submeter
	,	Fc	,
como	como	CS	como
sempre	sempre	RG	sempre
cri	cri	VMIS1S0	crer
e	e	CC	e
creyo	creio	VMIP1S0	crer
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
Deos	Deus	NP00000	deus
nos	nos	PP1CP000	nos
revelou	revelou	VMIS3S0	revelar
na	na	SPS00+DA0FS0	em+o
sagrada	Sagrada	AQ0FS0	sagrado
escriptura	Escritura	NP00000	escritura
e	e	CC	e
a	a	DA0FS0	o
santa	Santa	NP00000	santa
ygreja	Igreja	NP00000	igreja
nos	nos	PP1CP000	nos
emsina	ensina	VMIP3S0	ensinar
	,	Fc	,
e	e	CC	e
juntamte	juntamente	RG	juntamente
me	me	PP1CS000	me
someto	submeto	VMIP1S0	submeter
no	no	SPS00+DA0MS0	em+o
cazo	caso	NCMS000	caso
asima	acima	RG	acima
a	à	SPS00+DA0FS0	a+o
milhor	melhor	RC	melhor
imteligençia	inteligência	NCFS000	inteligência
	,	Fc	,
cuja	cuja	DT0FS0	cujo
declarasão	declaração	NCFS000	declaração
espero	espero	VMIP1S0	esperar
Vmce	VM	NP00000	VM
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
por	por	SPS00	por
servico	serviço	NCMS000	serviço
de	de	SPS00	de
Deos	Deus	NP00000	deus
	,	Fc	,
e	e	CC	e
por	por	SPS00	por
Reverençia	reverência	NCFS000	reverência
do	do	SPS00+DA0MS0	de+o
mesmo	mesmo	AQ0MS0	mesmo
senhor	Senhor	NP00000	senhor
	,	Fc	,
me	me	PP1CS000	me
diga	diga	VMSP0S0	dizer
se	se	CSI	se
nisto	nisto	SPS00+PD0NN000	em+isto
tenho	tenho	VAIP1S0	ter
delimcoido	delinquido	VMP0000	delinquir
nalguma	nalguma	SPS00+DI0FS0	em+algum
couza	coisa	NCFS000	coisa
	,	Fc	,
q	que	CS	que
logo	logo	RG	logo
	,	Fc	,
logo	logo	RG	logo
quero	quero	VMIP1S0	querer
ir	ir	VMN0000	ir
perante	perante	SPS00	perante
os	os	DA0MP0	o
senhores	Senhores	NP00000	senhor
inquizidores	Inquisidores	NP00000	inquisidores
depor	depor	VMN0000	depor
q	que	CS	que
em	em	SPS00	em
mim	mim	PP1CSO00	mim
não	não	RN	não
foy	foi	VSIS3S0	ser
mais	mais	RC	mais
q	que	CS	que
o	o	DA0MS0	o
cazo	caso	NCMS000	caso
