Mto	Muito	RQ	muito
Rdo	reverendo	AQ0MS0	reverendo
Dor	doutor	NP00000	doutor
e	e	CC	e
Snr	senhor	NP00000	senhor
João	João	NP00000	joão
alveres	Álvares	NP00000	álvares
da	da	SPS00+DA0FS0	de+o
mata	Mata	NP00000	mata
	,	Fc	,
athe	até	SPS00	até
aqui	aqui	RG	aqui
cudava	cuidava	VMII0S0	cuidar
eu	eu	PP1CSN00	eu
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
escrito	escrito	NCMS000	escrito
e	e	CC	e
obrigação	obrigação	NCFS000	obrigação
q	que	CS	que
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
exzicução	execução	NCFS000	execução
dela	dela	SPS00+PP3FS000	de+ele
	,	Fc	,
tratava	tratava	VMII0S0	tratar
as	as	DA0FP0	o
almas	almas	NCFP000	alma
com	com	SPS00	com
verdade	verdade	NCFS000	verdade
	.	Fp	.
mas	Mas	CC	mas
se	se	CS	se
Vmce	VM	NP00000	VM
	,	Fc	,
nos	nos	SPS00+DA0MP0	em+o
emganos	enganos	NCMP000	engano
da	da	SPS00+DA0FS0	de+o
minha	minha	PX1FS0S0	meu
	,	Fc	,
tambem	também	RG	também
a	a	DA0FS0	o
sua	sua	PX3FS000	seu
pertende	pretende	VMIP3S0	pretender
emganar	enganar	VMN0000	enganar
,	,	Fc	,
perdoeme	perdoe-me	VMSP0S0+PP1CS000	perdoar+me
de	de	SPS00	de
q	que	CS	que
me	me	PP1CS000	me
ademiro	admiro	VMIP1S0	admirar
	.	Fp	.
ja	Já	RG	já
tenho	tenho	VMIP1S0	ter
experiençia	experiência	NCFS000	experiência
clara	clara	AQ0FS0	claro
dos	dos	SPS00+DA0MP0	de+o
seos	seus	DP3MP0	seu
emganos	enganos	NCMP000	engano
	,	Fc	,
e	e	CC	e
q	que	CS	que
não	não	RN	não
importa	importa	VMIP3S0	importar
se	se	CS	se
perca	perca	VMSP0S0	perder
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
nem	nem	CCN	nem
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
Ds	Deus	NP00000	deus
seje	seja	VSSP0S0	ser
ofendido	ofendido	VMP00SM	ofender
	.	Fp	.
visto	Visto	VMP00SM	ver
isto	isto	PD0NN000	isto
asim	assim	RG	assim
ser	ser	VSN0000	ser
	,	Fc	,
porem	porém	RG	porém
	,	Fc	,
Vmces	VMs	NP00000	VM
eponhão	imponham	VMSP3P0	impor
termo	termo	NCMS000	termo
os	aos	SPS00+DA0MP0	a+o
seus	seus	DP3MP0	seu
tratos	tratos	NCMP000	trato
	.	Fp	.
e	E	CC	e
todo	todo	DI0MS0	todo
mal	mal	NCMS000	mal
em	em	SPS00	em
q	que	PR0CN000	que
emcorrer	incorrer	VMN0000	incorrer
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
vida	vida	NCFS000	vida
	,	Fc	,
corpo	corpo	NCMS000	corpo
e	e	CC	e
alma	alma	NCFS000	alma
	,	Fc	,
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
cosiençia	consciência	NCFS000	consciência
deicho	deixo	VMIP1S0	deixar
	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
obrarei	obrarei	VMIF1S0	obrar
o	o	DA0MS0	o
q	que	PR0CN000	que
devo	devo	VMIP1S0	dever
	.	Fp	.
em	Em	SPS00	em
tal	tal	DD0CS0	tal
cazo	caso	NCMS000	caso
	,	Fc	,
Vmce	VM	NP00000	VM
de	de	SPS00	de
nenhuma	nenhuma	DI0FS0	nenhum
sorte	sorte	NCFS000	sorte
ca	cá	RG	cá
venha	venha	VMSP0S0	vir
	,	Fc	,
q	que	CS	que
	,	Fc	,
se	se	CS	se
quer	quer	VMIP3S0	querer
fengir	fingir	VMN0000	fingir
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
papel	papel	NCMS000	papel
	,	Fc	,
dele	dele	SPS00+PP3MS000	de+ele
pode	pode	VMIP3S0	poder
fiar	fiar	VMN0000	fiar
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
queria	queria	VMII0S0	querer
dizer	dizer	VMN0000	dizer
	.	Fp	.
sempre	Sempre	RG	sempre
eu	eu	PP1CSN00	eu
emtendi	entendi	VMIS1S0	entender
	,	Fc	,
do	do	SPS00+DA0MS0	de+o
bom	bom	AQ0MS0	bom
zelo	zelo	NCMS000	zelo
de	de	SPS00	de
Vmces	VMs	NP00000	VM
	,	Fc	,
o	o	DA0MS0	o
qto	quanto	PA000000	quanto
bem	bem	RG	bem
parada	parada	VMP00SF	parar
tinha	tinha	VMII0S0	ter
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
	.	Fp	.
o	O	DA0MS0	o
seu	seu	DP3MS0	seu
Ds	Deus	NP00000	deus
lho	lho	PP3CSD00+PP3MSA00	lhe+o
premeie	premeie	VMSP0S0	premiar
	,	Fc	,
de	de	SPS00	de
q	que	CS	que
eu	eu	PP1CSN00	eu
Renego	renego	VMIP1S0	renegar
como	como	CS	como
de	de	SPS00	de
quem	quem	PR0CN000	quem
nele	nele	SPS00+PP3MS000	em+ele
cre	crê	VMIP3S0	crer
	,	Fc	,
pois	pois	CS	pois
tal	tal	RC	tal
he	é	VSIP3S0	ser
ele	ele	PP3MS000	ele
como	como	CS	como
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
menistros	ministros	NCMP000	ministro
,	,	Fc	,
e	e	CC	e
pior	pior	AQ0MS0	pior
q	que	CS	que
satanas	Satanás	NP00000	satanás
	,	Fc	,
ele	ele	PP3MS000	ele
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
em	em	SPS00	em
cumcluzão	conclusão	NCFS000	conclusão
digo	digo	VMIP1S0	dizer
	.	Fp	.
e	E	CC	e
so	só	RG	só
quero	quero	VMIP1S0	querer
	,	Fc	,
se	se	CS	se
ca	cá	RG	cá
me	me	PP1CS000	me
apareser	aparecer	VMSF0S0	aparecer
como	como	CS	como
não	não	RN	não
seje	seja	VSSP0S0	ser
pa	para	SPS00	para
ifeito	efeito	NCMS000	efeito
de	de	SPS00	de
salvarme	salvar-me	VMN0000+PP1CS000	salvar+me
	,	Fc	,
saiba	saiba	VMSP0S0	saber
ei	hei	VMIP1S0	haver
de	de	SPS00	de
renegar	renegar	VMN0000	renegar
publicamte	publicamente	RG	publicamente
e	e	CC	e
matarme	matar-me	VMN0000+PP1CS000	matar+me
	,	Fc	,
como	como	CS	como
lhe	lhe	PP3CSD00	lhe
