Lxa.	Lxa	NP00000	lisboa
	,	Fc	,
29	29	Z	29
de	de	SPS00	de
abril	abril	NCMS000	abril
d	de	SPS00	de
1738	1738	Z	1738
a	anos	NCMP000	ano
	.	Fp	.
Meu	Meu	DP1MSS	meu
Pri	primo	NCMS000	primo
e	e	CC	e
snor	senhor	NP00000	senhor
	.	Fp	.
Resebi	Recebi	VMIS1S0	receber
huma	uma	DI0FS0	um
de	de	SPS00	de
vmce	VM	NP00000	VM
	,	Fc	,
hesta	esta	DD0FS0	este
em	em	SPS00	em
tres	três	Z	três
de	de	SPS00	de
nobro	novembro	NCMS000	novembro
	,	Fc	,
a	a	SPS00	a
coal	qual	PR0CN000	qual
me	me	PP1CS000	me
sertefica	certifica	VMIP3S0	certificar
a	a	SPS00	a
sua	sua	DP3FS0	seu
Boma	boa	AQ0FS0	bom
Saude	saúde	NCFS000	saúde
	,	Fc	,
q	que	CS	que
permita	permita	VMSP0S0	permitir
o	o	DA0MS0	o
snor	Senhor	NP00000	senhor
aomentarlha	aumentar-lha	VMN0000+PP3CSD00+PP3FSA00	aumentar+lhe+o
por	por	SPS00	por
dillatados	dilatados	VMP00PM	dilatar
annos	anos	NCMP000	ano
em	em	SPS00	em
companhia	companhia	NCFS000	companhia
de	de	SPS00	de
quem	quem	PR0CN000	quem
vme	VM	NP00000	VM
deza	deseja	VMIP3S0	desejar
	,	Fc	,
pera	para	SPS00	para
q	que	CS	que
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
Boma	boa	AQ0FS0	bom
	,	Fc	,
he	e	CC	e
toda	toda	DI0FS0	todo
esta	esta	DD0FS0	este
sua	sua	DP3FS0	seu
caza	casa	NCFS000	casa
disponho	disponho	VMIP1S0	dispor
o	o	DA0MS0	o
q	que	PR0CN000	que
for	for	VMSF0S0	ir
servido	servido	VMP00SM	servir
	.	Fp	.
Na	Na	SPS00+DA0FS0	.
de	de	SPS00	de
vmce	VM	NP00000	VM
vejo	vejo	VMIP1S0	ver
o	o	DA0MS0	o
dizerme	dizer-me	VMN0000+PP1CS000	dizer+me
que	que	CS	que
eu	eu	PP1CSN00	eu
estranho	estranho	VMIP1S0	estranhar
o	o	DA0MS0	o
mandarme	mandar-me	VMN0000+PP1CS000	mandar+me
vmce	VM	NP00000	VM
dizer	dizer	VMN0000	dizer
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
escrevese	escrevesse	VMSI0S0	escrever
com	com	SPS00	com
o	o	DA0MS0	o
titolo	título	NCMS000	título
de	de	SPS00	de
cunhado	cunhado	NCMS000	cunhado
	.	Fp	.
mas	Mas	CC	mas
eu	eu	PP1CSN00	eu
vejo	vejo	VMIP1S0	ver
q	que	CS	que
mtas	muitas	DI0FP0	muito
pesoas	pessoas	NCFP000	pessoa
que	que	PR0CN000	que
tem	têm	VMIP3S0	ter
parentes	parentes	NCMP000	parente
nesas	nessas	SPS00+DD0FP0	em+esse
teRas	terras	NCFP000	terra
	,	Fc	,
cada	cada	DI0CN0	cada
coal	qual	PR0CS000	qual
lhe	lhe	PP3CSD00	lhe
escreve	escreve	VMIP3S0	escrever
no	no	SPS00+DA0MS0	em+o
grao	grau	NCMS000	grau
do	do	SPS00+DA0MS0	de+o
parentesco	parentesco	NCMS000	parentesco
que	que	PR0CN000	que
tem	tem	VMIP3S0	ter
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
tambem	também	RG	também
fazia	fazia	VMII0S0	fazer
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
	.	Fp	.
aguora	Agora	RG	agora
	,	Fc	,
visto	visto	VMP00SM	ver
o	o	DA0MS0	o
querer	querer	NCMS000	querer
vmce	VM	NP00000	VM
que	que	CS	que
ho	o	PP3MSA00	o
trate	trate	VMSP0S0	tratar
como	como	SPS00	como
primo	primo	NCMS000	primo
	,	Fc	,
asim	assim	RG	assim
sera	será	VSIF3S0	ser
	,	Fc	,
sendo	sendo	VSG0000	ser
seu	seu	DP3MS0	seu
gosto	gosto	NCMS000	gosto
	.	Fp	.
no	No	SPS00+DA0MS0	em+o
que	que	PR0CN000	que
Respta	respeita	VMIP3S0	respeitar
ao	ao	SPS00+DA0MS0	a+o
pano	pano	NCMS000	pano
de	de	SPS00	de
llinho	linho	NCMS000	linho
	,	Fc	,
bem	bem	RG	bem
save	sabe	VMIP3S0	saber
vmce	VM	NP00000	VM
as	as	DA0FP0	o
teRas	terras	NCFP000	terra
em	em	SPS00	em
que	que	CS	que
o	o	PP3MSA00	o
ha	há	VMIP3S0	haver
de	de	SPS00	de
colher	colher	VMSF0S0	colher
	,	Fc	,
pouis	pois	CS	pois
as	as	DA0MS0	o
não	não	RN	não
tem	tem	VMIP3S0	ter
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
	,	Fc	,
pera	para	SPS00	para
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
laguar	lagar	NCMS000	lagar
	,	Fc	,
nam	não	RN	não
tem	tem	VMIP3S0	ter
dro	dinheiro	NCMS000	dinheiro
Nem	nem	CC	nem
vmce	VM	NP00000	VM
	,	Fc	,
pouis	pois	CS	pois
tomara	tomara	VMIM0S0	tomar
hella	ela	PP3FS000	ele
poder	poder	VMN0000	poder
guanhar	ganhar	VMN0000	ganhar
pera	para	SPS00	para
comer	comer	VMN0000	comer
he	e	CC	e
mais	mais	RC	mais
Sua	sua	DP3FS0	seu
filha	filha	NCFS000	filho
	.	Fp	.
vejo	Vejo	VMIP1S0	ver
o	o	DA0MS0	o
titallo	título	NCMS000	título
que	que	PR0CN000	que
me	me	PP1CS000	me
da	dá	VMIP3S0	dar
de	de	SPS00	de
padre	padre	NCMS000	padre
espritoal	espiritual	AQ0CS0	espiritual
	;	Fc	;
nam	não	RN	não
sei	sei	VMIP1S0	saber
se	se	CS	se
he	é	VSIP3S0	ser
materia	matéria	NCFS000	matéria
de	de	SPS00	de
llogro	logro	VMIP1S0	lograr
mas	mas	CC	mais
hiso	isso	PD0NN000	isso
nao	não	RN	não
importa	importa	VMIP3S0	importar
	.	Fp	.
no	No	SPS00+DA0MS0	em+o
que	que	PR0CN000	que
respta	respeita	VMIP3S0	respeitar
ao	ao	SPS00+DA0MS0	a+o
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
mandaba	mandava	VMII0S0	mandar
dizer	dizer	VMN0000	dizer
	,	Fc	,
me	me	PP1CS000	me
peresia	parecia	VMII0S0	parecer
que	que	CS	que
não	não	RN	não
hera	era	VMIP3S0	era
pera	para	SPS00	para
sua	sua	DP3FS0	seu
perda	perda	NCFS000	perda
	.	Fp	.
e	E	CC	e
mais	mais	NCMS000	mais
vme	VM	NP00000	VM
não	não	RN	não
o	o	PP3MSA00	o
tem	tem	VMIP3S0	ter
oservado	observado	VMP0000	observar
	,	Fc	,
porque	porque	CS	porque
nada	nada	PI0NN00N	nada
se	se	P00CN000	se
fas	faz	VMIP3S0	fazer
neste	neste	SPS00+DD0MS0	em+este
mundo	mundo	NCMS000	mundo
que	que	PR0CN000	que
se	se	P00CN000	se
não	não	RN	não
venha	venha	VMSP0S0	vir
a	a	SPS00	a
saber	saber	VMN0000	saber
tudo	tudo	PI0NN000	tudo
	,	Fc	,
que	que	CS	que
algums	alguns	DI0MP0	algum
amos	amigos	NCMP000	amigo
q	que	PR0CN000	que
de	de	SPS00	de
la	lá	RG	lá
tem	têm	VMIP3S0	ter
vindo	vindo	VMG0000	vir
desa	dessa	SPS00+DD0FS0	de+esse
teRa	terra	NCFS000	terra
me	me	PP1CS000	me
tem	têm	VMIP3S0	ter
