Ma	Minha	DP1FSS	meu
Filha	filha	NCFS000	filho
	.	Fp	.
eu	Eu	PP1CSN00	eu
estimei	estimei	VMIS1S0	estimar
mto	muito	RQ	muito
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
escrito	escrito	NCMS000	escrito
e	e	CC	e
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
diz	diz	VMIP3S0	dizer
,	,	Fc	,
porq	porque	CS	porque
certamte	certamente	RG	certamente
lhe	lhe	PP3CSD00	lhe
quero	quero	VMIP1S0	querer
mto	muito	RQ	muito
mto	muito	RQ	muito
bem	bem	RG	bem
,	.	Fp	.
vmce	VM	NP00000	VM
o	o	PP3MSA00	o
experimẽtará	experimentará	VMIF3S0	experimentar
.	.	Fp	.
De	De	SPS00	de
modos	modos	NCMP000	modo
de	de	SPS00	de
falarmos	falarmos	VMN01P0	falar
com	com	SPS00	com
largueza	largueza	NCFS000	largueza
,	,	Fc	,
busque	busque	VMSP0S0	buscar
ocazião	ocasião	NCFS000	ocasião
pa	para	SPS00	para
iso	isso	PD0NN000	isso
,	,	Fc	,
q	que	CS	que
so	só	RG	só
falando	falando	VMG0000	falar
nos	nós	PP1CP000	nós
,	,	Fc	,
poso	posso	VMIP1S0	poder
principiar	principiar	VMN0000	principiar
a	a	SPS00	a
cuidar	cuidar	VMN0000	cuidar
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
alma	alma	NCFS000	alma
.	.	Fp	.
Mil	Mil	Z	mil
lembas	lembranças	NCFP000	lembrança
a	à	SPS00+DA0FS0	a+o
sra	senhora	NCFS000	senhor
sua	sua	DP3FS0	seu
May	mãe	NCFS000	mãe
,	.	Fp	.
não	Não	RN	não
escrevo	escrevo	VMIP1S0	escrever
mais	mais	RC	mais
porq	porque	CS	porque
acabei	acabei	VMIS1P0	acabar
de	de	SPS00	de
pregar	pregar	VMN0000	pregar
,	.	Fp	.
estou	Estou	VMIP1S0	estar
estafado	estafado	VMP00SM	estafar
,	,	Fc	,
q	que	CS	que
certamte	certamente	RG	certamente
nem	nem	CCN	nem
isto	isto	PD0NN000	isto
podia	podia	VMII0S0	poder
.	.	Fp	.
