j	Jesus	NP00000	jesus
M	Maria	NP00000	maria
j	José	NP00000	josé
	.	Fp	.
Mto	Muito	RQ	muito
Rdo	reverendo	NP00000	reverendo
Snr	senhor	NP00000	senhor
	,	Fc	,
como	como	CS	como
com	com	SPS00	com
alguã	alguma	DI0FS0	algum
presa	pressa	NCFS000	pressa
fis	fiz	VMIS1S0	fazer
acuzação	acusação	NCFS000	acusação
de	de	SPS00	de
q	que	PR0CN000	que
entendo	entendo	VMIP1S0	entender
Vmce	VM	NP00000	VM
ja	já	RG	já
estara	estará	VMIF3S0	estar
emtregue	entregue	VMP00SM	entregar
	,	Fc	,
não	não	RN	não
me	me	PP1CS000	me
ocurreo	ocorreu	VMIS3S0	ocorrer
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
devo	devo	VMIP1S0	dever
emsinuar	insinuar	VMN0000	insinuar
	.	Fp	.
e	E	CC	e
	,	Fc	,
asim	assim	RG	assim
	,	Fc	,
discorrendo	discorrendo	NCMS000	discorrendo
	,	Fc	,
me	me	PP1CS000	me
lembro	lembro	VMIP1S0	lembrar
de	de	SPS00	de
q	que	PR0CN000	que
mais	mais	RC	mais
me	me	PP1CS000	me
acuzo	acuso	VMIP1S0	acusar
	,	Fc	,
adevertindo	advertindo	VMG0000	advertir
he	é	VSIP3S0	ser
mais	mais	RC	mais
antiguo	antigo	AQ0MS0	antigo
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
ja	já	RG	já
comfesei	confessei	VMIS1S0	confessar
,	.	Fp	.
e	E	CC	e
não	não	RN	não
me	me	PP1CS000	me
poso	posso	VMIP1S0	poder
lembrar	lembrar	VMN0000	lembrar
de	de	SPS00	de
como	como	CS	como
me	me	PP1CS000	me
ouve	houve	VMIS3S0	haver
com	com	SPS00	com
os	os	DA0MP0	o
comfesores	confessores	NCMP000	confessor
	,	Fc	,
nem	nem	CC	nem
se	se	CS	se
me	me	PP1CS000	me
comfesei	confessei	VMIS1S0	confessar
de	de	SPS00	de
tal	tal	RC	tal
	,	Fc	,
nem	nem	CC	nem
	,	Fc	,
se	se	CS	se
o	o	PP3MSA00	o
fis	fiz	VMIS1S0	fazer
	,	Fc	,
istou	estou	VMIP1S0	estar
lembrada	lembrada	VMP00SF	lembrar
a	a	SPS00	a
qm	quem	PR0CN000	quem
me	me	PP1CS000	me
acuzei	acusei	VMIS1S0	acusar
	.	Fp	.
e	E	CC	e
	,	Fc	,
asim	assim	RG	assim
	,	Fc	,
rogo	rogo	VMIP1S0	rogar
a	a	SPS00	a
Vmce	VM	NP00000	VM
pelo	pelo	SPS00+DA0MS0	por+o
amor	amor	NCMS000	amor
de	de	SPS00	de
Ds	Deus	NP00000	deus
aprezente	apresente	VMSP0S0	apresentar
o	ao	SPS00+DA0MS0	a+o
sto	santo	AQ0MS0	santo
tribunal	tribunal	NCMS000	tribunal
as	as	DA0FP0	o
pasadas	passadas	NCFP000	passada
culpas	culpas	NCFP000	culpa
	,	Fc	,
como	como	CS	como
ja	já	RG	já
dise	disse	VMIS3S0	dizer
	,	Fc	,
pa	para	SPS00	para
q	que	CS	que
tambem	também	RG	também
comsiga	consiga	VMSP0S0	conseguir
	,	Fc	,
por	por	SPS00	por
caridade	caridade	NCFS000	caridade
,	,	Fc	,
perdão	perdão	NCMS000	perdão
e	e	CC	e
asolvição	absolvição	NCFS000	absolvição
	,	Fc	,
acuzandome	acusando-me	VMG0000+PP1CS000	acusar+me
de	de	SPS00	de
q	que	CS	que
	,	Fc	,
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
q	que	CS	que
ja	já	RG	já
comfesei	confessei	VMIS1S0	confessar
no	no	SPS00+DA0MS0	em+o
outro	outro	DI0MS0	outro
papel	papel	NCMS000	papel
	,	Fc	,
o	o	PP3MSA00	o
cometi	cometi	VMIS1S0	cometer
em	em	SPS00	em
mais	mais	RC	mais
ocaziois	ocasiões	NCFP000	ocasião
,	,	Fc	,
quantas	quantas	PA000000	quantas
não	não	RN	não
istou	estou	VMIP1S0	estar
lembrada	lembrada	VMP00SF	lembrar
	.	Fp	.
e	E	CC	e
de	de	SPS00	de
mais	mais	RC	mais
me	me	PP1CS000	me
lembro	lembro	VMIP1S0	lembrar
	,	Fc	,
de	de	SPS00	de
esperar	esperar	VMN0000	esperar
revelasois	revelações	NCFP000	revelação
do	do	SPS00+DA0MS0	de+o
demonio	demónio	NCMS000	demónio
	,	Fc	,
dezejar	desejar	VMN0000	desejar
ter	ter	VMN0000	ter
com	com	SPS00	com
ele	ele	PP3MS000	ele
istreita	estreita	AQ0FS0	estreito
união	união	NCFS000	união
;	.	Fp	.
por	Por	SPS00	por
mais	mais	RC	mais
q	que	CS	que
a	a	SPS00	a
Ds	Deus	NP00000	deus
fose	fosse	VMSI0S0	ir
ofensiva	ofensiva	NCFS000	ofensiva
,	,	Fc	,
cuja	cuja	PR0CN000	cujo
emalina	maligna	VMIP3S0	malignar
porpenção	propensão	NCFS000	propensão
,	,	Fc	,
me	me	PP1CS000	me
lembro	lembro	VMIP1S0	lembrar
e	e	CC	e
me	me	PP1CS000	me
acuzo	acuso	VMIP1S0	acusar
,	,	Fc	,
tive	tive	VMIS1S0	ter
sempre	sempre	RG	sempre
,	,	Fc	,
desde	desde	SPS00	desde
menina	menina	NCFS000	menino
e	e	CC	e
agora	agora	RG	agora
no	no	SPS00+DA0MS0	em+o
perzente	presente	NCMS000	presente
,	,	Fc	,
me	me	PP1CS000	me
lembro	lembro	VMIP1S0	lembrar
mais	mais	RC	mais
de	de	SPS00	de
q	que	PR0CN000	que
me	me	PP1CS000	me
acuzo	acuso	VMIP1S0	acusar
,	,	Fc	,
de	de	SPS00	de
estimar	estimar	VMN0000	estimar
pareser	parecer	VMN0000	parecer
doente	doente	AQ0CS0	doente
pelo	pelo	SPS00+DA0MS0	por+o
demonio	demónio	NCMS000	demónio
	,	Fc	,
não	não	RN	não
estando	estando	VMG0000	estar
na	na	SPS00+DA0FS0	em+o
rialidade	realidade	NCFS000	realidade
	.	Fp	.
e	E	CC	e
emtentar	intentar	VMN0000	intentar
,	,	Fc	,
se	se	CS	se
por	por	SPS00	por
algum	algum	DI0MS0	algum
prensipio	princípio	NCMS000	princípio
	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
não	não	RN	não
expliquei	expliquei	VMIS1S0	explicar
bem	bem	RG	bem
no	no	SPS00+DA0MS0	em+o
outro	outro	DI0MS0	outro
papel	papel	NCMS000	papel
,	,	Fc	,
me	me	PP1CS000	me
ricluzarem	reclusarem	RG	reclusarem
neste	neste	SPS00+DD0MS0	em+este
comvto	convento	NCMS000	convento
	,	Fc	,
por	por	SPS00	por
padeser	padecer	VMN0000	padecer
mtos	muitos	DI0MP0	muito
discontos	descontos	NCMP000	desconto
na	na	SPS00+DA0FS0	em+o
tal	tal	RC	tal
prizão	prisão	NCFS000	prisão
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
perzenca	presença	NCFS000	presença
das	das	SPS00+DA0FP0	de+o
mais	mais	RC	mais
relegiozas	religiosas	NCFS000	religioso
	,	Fc	,
matarme	matar-me	VMN0000+PP1CS000	matar+me
	,	Fc	,
